sub,bigg,mnx,sm2
inosine,ins,MNXM334,C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O
pyridoxal,pydx,MNXM311,CC1=NC=C(C(=C1O)C=O)CO
pyridoxamine 5'-phosphate,pyam5p,MNXM366,CC1=NC=C(C(=C1O)CN)COP(=O)(O)O
pyridoxine 5'-phosphate,pdx5p,MNXM454,CC1=NC=C(C(=C1O)CO)COP(=O)(O)O
pyridoxine,pydxn,MNXM419,CC1=NC=C(C(=C1O)CO)CO
"2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone",2hpmmbq,MNXM6067,COC1=CC(=O)C(C)=C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)C1=O
riboflavin,ribflv,MNXM270,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
5-amino-6-(D-ribitylamino)uracil,4r5au,MNXM791,Nc1c(NC[C@H](O)[C@H](O)[C@H](O)CO)[nH]c(=O)[nH]c1=O
"6,7-dimethyl-8-(1-D-ribityl)lumazine",dmlz,MNXM1313,CC1=C(N(C2=NC(=O)NC(=O)C2=N1)CC(C(C(CO)O)O)O)C
D-ribose,rib__D,MNXM242,C1C(C(C(C(O1)O)O)O)O
D-xylulose 5-phosphate,xu5p__D,MNXM186,C(C(C(C(=O)CO)O)O)OP(=O)(O)O
"3-hexaprenyl-4,5-dihydroxybenzoic acid",3dh5hpb,MNXM2783,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(C(=O)[O-])cc(O)c1O
zymosterol,zymst,MNXM574,CC(CCC=C(C)C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C
S-formylglutathione,Sfglutth,MNXM952,C(CC(=O)NC(CSC=O)C(=O)NCC(=O)O)C(C(=O)O)N
L-saccharopine,saccrp__L,MNXM384,[NH3+][C@@H](CCCC[NH2+][C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-]
L-allysine,L2aadp6sa,MNXM89905,[NH3+][C@@H](CCCC=O)C(=O)[O-]
"sedoheptulose 1,7-bisphosphate",s17bp,MNXM1294,C(C(C(C(C(C(=O)COP(=O)(O)O)O)O)O)O)OP(=O)(O)O
3-dehydroshikimate,3dhsk,MNXM611,C1C(C(C(=O)C=C1C(=O)O)O)O
shikimate,skm,MNXM602,C1C(C(C(C=C1C(=O)O)O)O)O
precorrin-2,dscl,MNXM672,C[C@@]1(CC(=O)[O-])/C2=C/c3[nH]c(c(CCC(=O)[O-])c3CC(=O)[O-])Cc3[nH]c(c(CC(=O)[O-])c3CCC(=O)[O-])/C=C3\N/C(=C\C(=[NH+]2)[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-]
sirohydrochlorin,scl,MNXM863,C[C@@]1(CC(=O)[O-])c2cc3[nH]c(cc4nc(cc5[nH]c(cc(n2)[C@H]1CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]5CCC(=O)[O-])C(CC(=O)[O-])=C4CCC(=O)[O-])c(CCC(=O)[O-])c3CC(=O)[O-]
S-adenosylmethioninamine,ametam,MNXM321,C[S+](CCCN)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O
sphinganine 1-phosphate,sph1p,MNXM487,CCCCCCCCCCCCCCCC(C(COP(=O)(O)O)N)O
phytosphingosine,psphings,MNXM914,CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H]([NH3+])CO
squalene,sql,MNXM292,CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C
ubiquinol-6,s,MNXM5319,COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC
succinic semialdehyde,sucsal,MNXM172,C(CC(=O)O)C=O
sucrose,sucr,MNXM167,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O
taurocholic acid,tchola,MNXM2288,CC(CCC(=O)NCCS(=O)(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C
"5,6,7,8-tetrahydrofolyl-L-glutamic acid",thfglu,MNXM723480,Nc1nc2c(c(=O)[nH]1)N[C@@H](CNc1ccc(C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])C(=O)[O-])cc1)CN2
TDP,thmpp,MNXM256,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1
TMP,thmmp,MNXM662,Cc1nc(N)c(C[n+]2csc(CCOP(=O)([O-])[O-])c2C)c[nH+]1
thiamine,thm,MNXM322,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
4-amino-2-methyl-5-diphosphomethylpyrimidine,2mahmp,MNXM1135,Cc1nc(N)c(COP(=O)([O-])OP(=O)([O-])[O-])c[nH+]1
TRX1 disulphide,trdox,MNXM148,*[NH2+][C@H]1CSSC[C@@H](C(*)=O)NC(=O)[C@H](*)NC(=O)[C@H](*)NC1=O
O-phospho-L-homoserine,phom,MNXM1334,C(COP(=O)(O)O)C(C(=O)O)N
sedoheptulose 7-phosphate,s7p,MNXM271,C(C(C(C(C(C(=O)CO)O)O)O)O)OP(=O)(O)O
"alpha,alpha-trehalose 6-phosphate",tre6p,MNXM448,C(C1C(C(C(C(O1)OC2C(C(C(C(O2)COP(=O)(O)O)O)O)O)O)O)O)O
1-C-(indol-3-yl)glycerol 3-phosphate,3ig3p,MNXM163633,O=P([O-])([O-])OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12
3-(4-hydroxyphenyl)pyruvate,34hpp,MNXM153,C1=CC(=CC=C1CC(=O)C(=O)[O-])O
L-tyrosine,tyr__L,MNXM76,C1=CC(=CC=C1CC(C(=O)O)N)O
ergosterol,ergst,MNXM922,CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
UDP-D-galactose,udpgal,MNXM89795,C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)CO)O)O)O)O)O
urea,urea,MNXM117,C(=O)(N)N
uridine,uri,MNXM288,C1=CN(C(=O)NC1=O)C2C(C(C(O2)CO)O)O
uroporphyrinogen III,uppg3,MNXM414,O=C([O-])CCc1c2[nH]c(c1CC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CC(=O)[O-])c1CCC(=O)[O-])Cc1[nH]c(c(CCC(=O)[O-])c1CC(=O)[O-])C2
preuroporphyrinogen,hmbil,MNXM547,O=C([O-])CCc1c[nH]c(Cc2[nH]c(Cc3[nH]c(Cc4[nH]c(CO)c(CC(=O)[O-])c4CCC(=O)[O-])c(CC(=O)[O-])c3CCC(=O)[O-])c(CC(=O)[O-])c2CCC(=O)[O-])c1CC(=O)[O-]
L-valine,val__L,MNXM199,CC(C)C(C(=O)O)N
9H-xanthine,xan,MNXM174,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
xylitol,xylt,MNXM510,C(C(C(C(CO)O)O)O)O
D-xylose,xyl__D,MNXM90941,C1C(C(C(C(O1)O)O)O)O
D-xylulose,xylu__D,MNXM597,C(C(C(C(=O)CO)O)O)O
pseudouridine 5'-phosphate,s,MNXM2276,C1=C(C(=O)NC(=O)N1)C2C(C(C(O2)COP(=O)(O)O)O)O
gamma-aminobutyrate,4abut,MNXM192,[NH3+]CCCC(=O)[O-]
8-amino-7-oxononanoate,8aonn,MNXM1141,CC([NH3+])C(=O)CCCCCC(=O)[O-]
(R)-lactate,lac__D,MNXM285,CC(C(=O)O)O
fecosterol,fecost,MNXM1741,C=C(CC[C@@H](C)[C@H]1CC[C@H]2C3=C(CC[C@@]21C)[C@@]1(C)CC[C@H](O)C[C@@H]1CC3)C(C)C
GDP-alpha-D-mannose,gdpmann,MNXM82,C1=NC2=C(N1C3C(C(C(O3)COP(=O)(O)OP(=O)(O)OC4C(C(C(C(O4)CO)O)O)O)O)O)N=C(NC2=O)N
1-(sn-glycero-3-phospho)-1D-myo-inositol,g3pi,MNXM1517,O=P([O-])(OC[C@H](O)CO)O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O
myo-inositol,inost,MNXM127,C1(C(C(C(C(C1O)O)O)O)O)O
(R)-carnitine,crn,MNXM173,C[N+](C)(C)C[C@H](O)CC(=O)[O-]
(S)-lactate,lac__L,MNXM179,CC(C(=O)O)O
"N,N'-diformyldityrosine",s,MNXM147516,
dAMP,damp,MNXM432,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)O)O
stearate,ocdca,MNXM236,CCCCCCCCCCCCCCCCCC(=O)[O-]
putrescine,ptrc,MNXM118,C(CCN)CN
S-methyl-L-methionine,mmet,MNXM1119,C[S+](C)CCC(C(=O)O)N
spermidine,spmd,MNXM124,C(CCNCCCN)CN
uracil,ura,MNXM158,C1=CNC(=O)NC1=O
2'-deoxyuridine,duri,MNXM492,C1C(C(OC1N2C=CC(=O)NC2=O)CO)O
palmitoleate,hdcea,MNXM162245,CCCCCCC=CCCCCCCCC(=O)[O-]
glyoxylate,glx,MNXM69,C(=O)C(=O)[O-]
L-sorbose,srb__L,MNXM588,C1C(C(C(C(O1)(CO)O)O)O)O
pyridoxamine,pydam,MNXM548,CC1=NC=C(C(=C1O)CN)CO
kynurenic acid,kynate,MNXM1113,O=C([O-])c1cc(O)c2ccccc2n1
butanoyl-ACP,s,MNXM2645,
hexanoyl-ACP,s,MNXM23683,
acetoacetyl-ACP,actACP,MNXM1223,
3-oxo-hexanoyl-ACP,3ohexACP,MNXM25602,
3-oxo-octanoyl-ACP,3ooctACP,MNXM28031,
trans-but-2-enoyl-ACP,s,,
trans-hex-2-enoyl-ACP,thex2eACP,MNXM24502,
trans-oct-2-enoyl-ACP,toct2eACP,MNXM23766,
icosanoyl-CoA,arachcoa,MNXM1429,CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
docosanoyl-CoA,docoscoa,MNXM10780,CCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxoicosanoyl-CoA,CE2251,MNXM36762,CCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxodocosanoyl-CoA,CE2250,MNXM36756,CCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxotetracosanoyl-CoA,CE2253,MNXM36773,CCCCCCCCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-tetradec-2-enoyl-CoA,td2coa,MNXM654,CCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(S)-3-hydroxypalmitoyl-CoA,3hhdcoa,MNXM825,CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-hexadec-2-enoyl-CoA,hdd2coa,MNXM581,CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-hydroxyoctadecanoyl-CoA,CE2248,MNXM1309,CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-octadec-2-enoyl-CoA,od2coa,MNXM954,CCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-hydroxyicosanoyl-CoA,CE2247,MNXM146349,
trans-icos-2-enoyl-CoA,s,MNXM22115,CCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-hydroxydocosanoyl-CoA,CE2246,MNXM162568,CCCCCCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-docos-2-enoyl-CoA,s,MNXM97615,CCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-hydroxytetracosanoyl-CoA,CE2249,MNXM36558,CCCCCCCCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(S)-3-hydroxyhexacosanoyl-CoA,s,MNXM31741,CCCCCCCCCCCCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-hexacos-2-enoyl-CoA,hxc2coa,MNXM114303,
trans-tetracos-2-enoyl-CoA,CE2245,MNXM97616,CCCCCCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
butyrate,but,MNXM458,CCCC(=O)[O-]
hexanoate,hxa,MNXM1653,CCCCCC(=O)[O-]
oleate,ocdcea,MNXM306,CCCCCCCCC=CCCCCCCCC(=O)O
arachidate,arach,MNXM2976,CCCCCCCCCCCCCCCCCCCC(=O)[O-]
behenate,docosac,MNXM7102,CCCCCCCCCCCCCCCCCCCCCC(=O)[O-]
butanoyl-CoA,btcoa,MNXM233,CCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
hexanoyl-CoA,hxcoa,MNXM553,CCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
cis-tetradec-7-enoyl-CoA,s,,
cis-dodec-5-enoyl-CoA,s,,
cis-hexadec-7-enoyl-CoA,s,MNXM149511,CCCCCCCC/C=C\CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cis-tetradec-5-enoyl-CoA,s,MNXM103862,CCCCCCCC/C=C\CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-dec-2-enoyl-CoA,dc2coa,MNXM580,CCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
trans-dodec-2-enoyl-CoA,dd2coa,MNXM642,CCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
hexadec-2-enoyl-CoA,hdd2coa,MNXM581,CCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-but-2-enoyl-CoA,s,MNXM1364409,C/C=C/C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-hex-2-enoyl-CoA,hx2coa,MNXM753,CCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
trans-oct-2-enoyl-CoA,oc2coa,MNXM784,CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
"trans-2,cis-9-hexadecadienoyl-CoA",s,MNXM146680,CCCCCC/C=C\CCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
"trans-2,cis-7-tetradecadienoyl-CoA",s,,
"trans-2,cis-5-dodecadienoyl-CoA",s,,
"trans-2,cis-9-octadecadienoyl-CoA",lnlccoa,MNXM638,CCCCC/C=C\C/C=C\CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
"trans-2,cis-7-hexadecadienoyl-CoA",s,,
"trans-2,cis-5-tetradecadienoyl-CoA",s,,
(R)-3-hydroxydecanoyl-CoA,3hdcoa,MNXM674,CCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxylauroyl-CoA,3hddcoa,MNXM733,CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxybutanoyl-CoA,s,MNXM1058,CC(CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O
(R)-3-hydroxyhexanoyl-CoA,R_3hhcoa,,CCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxyoctanoyl-CoA,R_3hocoa,MNXM31570,CCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxyicosanoyl-CoA,s,MNXM36530,CCCCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxydocosanoyl-CoA,s,MNXM162568,CCCCCCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxytetracosanoyl-CoA,s,MNXM36558,CCCCCCCCCCCCCCCCCCCCC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxy-cis-hexadec-9-enoyl-CoA,s,,
(R)-3-hydroxy-cis-tetradec-7-enoyl-CoA,s,,
(R)-3-hydroxy-cis-dodec-5-enoyl-CoA,s,,
(R)-3-hydroxy-cis-octadec-9-enoyl-CoA,s,MNXM149457,CCCCCCCC/C=C\CCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
(R)-3-hydroxy-cis-hexadec-7-enoyl-CoA,s,,
(R)-3-hydroxy-cis-tetradec-5-enoyl-CoA,s,,
3-oxohexanoyl-CoA,3ohcoa,MNXM717,CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxooctanoyl-CoA,3oocoa,MNXM706,CCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
3-oxo-cis-hexadec-9-enoyl-CoA,s,,
3-oxo-cis-tetradec-7-enoyl-CoA,s,,
3-oxo-cis-dodec-5-enoyl-CoA,s,,
3-oxo-cis-octadec-9-enoyl-CoA,s,,
3-oxo-cis-hexadec-7-enoyl-CoA,s,MNXM150996,CCCCCCCC/C=C\CCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
3-oxo-cis-tetradec-5-enoyl-CoA,s,MNXM147795,CCCCCCCC/C=C\CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
cis-dec-3-enoyl-CoA,s,MNXM164218,CCCCCC/C=C\CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
trans-dodec-3-enoyl-CoA,dd3coa,,
cis-dodec-3-enoyl-CoA,s,MNXM3949,CCCCCCCC/C=C\CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)([O-])[O-]
trans-tetradec-3-enoyl-CoA,s,MNXM7189,CCCCCCCCCC/C=C/CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
"trans-2,trans-4-dodecadienoyl-CoA",s,MNXM2008,CCCCC/C=C\C/C=C\CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
"trans-2,trans-4-tetradecadienoyl-CoA",s,MNXM147629,CCCCCCCCC/C=C/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
"phosphatidate (1-16:0, 2-16:1)",s,MNXM66470,
"phosphatidate (1-16:0, 2-18:1)",s,MNXM66476,CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])[O-]
"phosphatidate (1-16:1, 2-16:1)",pa161,MNXM66504,
"phosphatidate (1-16:1, 2-18:1)",s,MNXM66509,
"phosphatidate (1-18:0, 2-16:1)",s,MNXM66631,
"phosphatidate (1-18:0, 2-18:1)",s,MNXM66635,CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)([O-])[O-]
"phosphatidate (1-18:1, 2-16:1)",s,MNXM66663,
"phosphatidate (1-18:1, 2-18:1)",s,MNXM51075,
"diglyceride (1-18:0, 2-18:1)",s,MNXM49514,
"diglyceride (1-18:1, 2-18:1)",12dgr181,MNXM9533,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](CO)OC(=O)CCCCCCC/C=C\CCCCCCCC
"CDP-diacylglycerol (1-16:0, 2-16:1)",s,,
"CDP-diacylglycerol (1-16:1, 2-16:1)",s,MNXM4508,
"CDP-diacylglycerol (1-18:0, 2-16:1)",s,,
"CDP-diacylglycerol (1-18:1, 2-16:1)",s,,
