"model","n_obs","p_mean","p_sd","p_min","p_max","coverage95","max_rhat"
"hill_growth",157,0.47,0.816,0.252,0.002,0.968152866242038,1.00204689549168
"loglinear_resp",157,0.52,0.698,0.636,0.65,0.949044585987261,1.00213115926944
"tpc_growth",156,0.534,0.626,0.922,0.248,0.942307692307692,1.00178928268544
"tpc_respiration",156,0.486,0.686,0.026,0.6,0.92948717948718,1.00146203482072
"cue_arrhenius",156,0.506,0.648,0.49,1,0.955128205128205,1.00289373326236
