temp_C,growth
5.0,0.006824771410899244
6.0,0.010585241128108863
7.0,0.014620315418788709
8.0,0.019738593727129584
9.0,0.025757418737612253
10.0,0.03280490278191307
11.0,0.04108105170965853
12.0,0.050767912918015565
13.0,0.06183597028270477
14.0,0.07432812020228115
15.0,0.08828298683967147
16.0,0.10371926637577543
17.0,0.12063065911916772
18.0,0.13898376101412963
19.0,0.15871880291475488
20.0,0.1797431790508713
21.0,0.2019632208036885
22.0,0.2252398482384896
23.0,0.24954089575263633
24.0,0.27480704341558215
25.0,0.3005909203843141
26.0,0.32673099900964286
27.0,0.35284012005083076
28.0,0.3781446951048251
29.0,0.4032906688137236
30.0,0.4275416153149545
31.0,0.4306004867461201
32.0,0.4306004867461203
33.0,0.4306004867461203
34.0,0.43060048674612034
35.0,0.43060048674612034
36.0,0.43060048674612034
37.0,0.4306004867461204
38.0,0.4306004867461203
39.0,0.4306004867461203
40.0,0.43060048674612034
41.0,0.4306004867461203
42.0,0.4306004867461203
43.0,0.43060048674612034
44.0,0.4306004867461203
45.0,0.3686934210456941
46.0,0.10107153348170657
47.0,0.009587400060629477
48.0,0.0009558615569025987
49.0,7.487971279959681e-05
50.0,1.3174737478696493e-05
51.0,1.3105207558316753e-05
52.0,1.2556484204494804e-05
53.0,1.1177925535488133e-05
54.0,7.791255782995672e-06
55.0,5.579385135280827e-06
56.0,3.4566594083390224e-06
57.0,3.466771686045199e-06
58.0,3.114198103063603e-06
59.0,6.353302365331561e-06
60.0,5.473646912067557e-06
