curve_id,study,strain,medium_class,medium_detail,defined,temp_C,yield_CmolX_per_Cmolglc,yield_sd,rate_per_h,rate_sd_per_h,n_wells
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,27,0.71,0.02,,,28
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,28,0.69,0.03,0.65,0.02,32
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,29,0.71,0.02,0.71,0.01,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,30,0.68,0.04,0.72,0.02,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,31,0.7,0.01,0.8,0.01,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,32,0.69,0.02,0.86,0.02,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,33,0.66,0.02,0.92,0.02,39
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,34,0.67,0.01,0.94,0.02,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,35,0.65,0.02,1.01,0.02,39
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,36,0.63,0.02,1.03,0.03,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,37,0.62,0.02,1.03,0.06,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,38,0.61,0.03,1.04,0.07,39
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,39,0.59,0.04,1.07,0.06,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,40,0.58,0.03,1.06,0.07,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,41,0.52,0.03,1.07,0.09,35
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,42,0.55,0.02,1.13,0.06,40
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,43,0.56,0.03,1.02,0.04,37
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,44,0.53,0.03,1.01,0.07,39
Noll2023_NCM3722,Katipoglu-Yazan et al. 2023 (Data in Brief 48:109037),"E. coli K-12 NCM3722 (delta motA, non-motile)",glucose_minimal,"Modified MOPS + 0.5 g/L glucose (sole C/energy source) + 5 ug/ml each of L-Met, L-His, L-Arg, L-Pro, L-Thr, L-Trp; aerobic microplate; growth-rate = semi-log OD slope (umax); rates/yields are mean +/- SD over n_wells",True,45,0.35,0.05,0.72,0.14,40
