gene,enzyme_name,enzyme_id,rxn_id,EC,parameter,ident,identifiable_from_growth,refined,top_descriptor
udk,Cytidine kinase (GTP),P0A8F4,CYTDK2No1,,Topt_i,0.0,False,False,CT_max_C
gpt,Xanthine phosphoribosyltransferase,P0A9M5,XPPTNo1,,Topt_i,0.0,False,False,CT_max_C
gpt,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),P0A9M5,HXPRTNo1,,Topt_i,0.0,False,False,CT_max_C
hpt,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),P0A9M2,HXPRTNo2,,Topt_i,0.0,False,False,CT_max_C
adk,Nucleoside-diphosphate kinase (ATP:dGDP),P69441,NDPK5No1,,Topt_i,0.0,False,False,CT_max_C
ndk,Nucleoside-diphosphate kinase (ATP:dGDP),P0A763,NDPK5No2,,Topt_i,0.0,False,False,CT_max_C
aroE,Shikimate dehydrogenase,P15770,SHK3DrNo1,,Topt_i,2.2800210364738788e-06,False,False,CT_max_C
adk,Nucleoside-diphosphate kinase (ATP:dUDP),P69441,NDPK6No1,,Topt_i,0.0,False,False,CT_max_C
ndk,Nucleoside-diphosphate kinase (ATP:dUDP),P0A763,NDPK6No2,,Topt_i,0.0,False,False,CT_max_C
adk,Nucleoside-diphosphate kinase (ATP:dADP),P69441,NDPK8No1,,Topt_i,0.0,False,False,CT_max_C
ndk,Nucleoside-diphosphate kinase (ATP:dADP),P0A763,NDPK8No2,,Topt_i,0.0,False,False,CT_max_C
pyrC,Dihydroorotase,P05020,DHORTSNo1,,Topt_i,0.0,False,False,CT_max_C
pyrF,Orotidine-5'-phosphate decarboxylase,P08244,OMPDCNo1,,Topt_i,0.0,False,False,CT_max_C
udp,Pyrimidine-nucleoside phosphorylase (uracil),P12758,PYNP2rNo1,,Topt_i,0.0,False,False,CT_max_C
proA,Glutamate-5-semialdehyde dehydrogenase,P07004,G5SDNo1,,Topt_i,0.0,False,False,CT_max_C
gltA,Citrate synthase,P0ABH7,CSNo1,,Topt_i,0.0,False,False,CT_max_C
icd,Isocitrate dehydrogenase (NADP),P08200,ICDHyrNo1,,Topt_i,0.0,False,False,CT_max_C
ltaE,Alanine transaminase,P75823,ALATA_L2No1,,Topt_i,0.0,False,False,CT_max_C
glyA,Alanine transaminase,P0A825,ALATA_L2No2,,Topt_i,0.0,False,False,CT_max_C
deoA,Deoxyuridine phosphorylase,P07650,DURIPPNo1,,Topt_i,0.0,False,False,CT_max_C
deoD,Deoxyuridine phosphorylase,P0ABP8,DURIPPNo2,,Topt_i,0.0,False,False,CT_max_C
,Acetaldehyde dehydrogenase (acetylating),P77580,ACALDNo1,,Topt_i,0.0,False,False,CT_max_C
adhE,Acetaldehyde dehydrogenase (acetylating),P0A9Q7,ACALDNo2,,Topt_i,0.0,False,False,CT_max_C
patA,Putrescine Transaminase,P42588,PTRCTANo1,,Topt_i,0.0,False,False,CT_max_C
acs,Acetyl-CoA synthetase,P27550,ACSNo1,,Topt_i,0.0,False,False,CT_max_C
metC,Cysteine Desulfhydrase,P06721,CYSDSNo1,,Topt_i,0.0,False,False,CT_max_C
tnaA,Cysteine Desulfhydrase,P0A853,CYSDSNo2,,Topt_i,0.0,False,False,CT_max_C
manA,Mannose-6-phosphate isomerase,P00946,MAN6PINo1,,Topt_i,0.0,False,False,CT_max_C
surE,Inorganic diphosphatase,P0A840,PPANo1,,Topt_i,0.0001608397728623,False,True,niche_width_C
ppx,Inorganic diphosphatase,P0AFL6,PPANo2,,Topt_i,0.0,False,False,CT_max_C
ppa,Inorganic diphosphatase,P0A7A9,PPANo3,,Topt_i,0.0,False,False,CT_max_C
ribD,5-amino-6-(5-phosphoribosylamino)uracil reductase,P25539,APRAURNo1,,Topt_i,7.82760896729568e-06,False,False,CT_max_C
tnaA,Tryptophanase (L-tryptophan),P0A853,TRPAS2No1,,Topt_i,0.0,False,False,CT_max_C
pckA,Phosphoenolpyruvate carboxykinase,P22259,PPCKNo1,,Topt_i,0.0,False,False,CT_max_C
maeA,Malic enzyme (NAD),P26616,ME1No1,,Topt_i,0.0,False,False,CT_max_C
ribB,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",P0A7J0,DB4PSNo1,,Topt_i,0.0008552473385782,False,True,niche_width_C
dadX,Alanine racemase,P29012,ALARNo1,,Topt_i,0.0002450231950005,False,True,CT_max_C
alr,Alanine racemase,P0A6B4,ALARNo2,,Topt_i,0.0,False,False,CT_max_C
ribF,Riboflavin kinase,P0AG40,RBFKNo1,,Topt_i,2.4405715375336213e-05,False,False,CT_max_C
alaA,L-alanine transaminase,P0A959,ALATA_LNo1,,Topt_i,0.0,False,False,CT_max_C
alaC,L-alanine transaminase,P77434,ALATA_LNo2,,Topt_i,0.0,False,False,CT_max_C
,Xylulokinase,P08204,XYLKNo1,,Topt_i,0.0,False,False,CT_max_C
xylB,Xylulokinase,P09099,XYLKNo2,,Topt_i,0.0,False,False,CT_max_C
rbsK,Ribokinase,P0A9J6,RBKNo1,,Topt_i,0.0,False,False,CT_max_C
glpK,Glycerol kinase,P0A6F3,GLYKNo1,,Topt_i,0.0,False,False,CT_max_C
deoB,Phosphopentomutase,P0A6K6,PPMNo1,,Topt_i,0.0001201056887308,False,False,CT_max_C
aspC,Aspartate transaminase,P00509,ASPTANo1,,Topt_i,0.0,False,False,CT_max_C
tyrB,Aspartate transaminase,P04693,ASPTANo2,,Topt_i,0.0,False,False,CT_max_C
yigB,Acid phosphatase (FMN),P0ADP0,ACP1_FMNNo1,,Topt_i,0.0,False,False,CT_max_C
,Acid phosphatase (FMN),P46891,ACP1_FMNNo2,,Topt_i,0.0,False,False,CT_max_C
ybjI,Acid phosphatase (FMN),P75809,ACP1_FMNNo3,,Topt_i,0.0,False,False,CT_max_C
ribC,Riboflavin synthase,P0AFU8,RBFSbNo1,,Topt_i,0.0015147875074348,False,True,CT_max_C
nudJ,Nucleoside diphosphatase  GDP,P0AEI6,NDP3No1,,Topt_i,0.0,False,False,CT_max_C
yibQ,Nucleoside diphosphatase  GDP,P37691,NDP3No2,,Topt_i,0.0,False,False,CT_max_C
fbp,Fructose-bisphosphatase,P0A993,FBPNo1,,Topt_i,0.0,False,False,CT_max_C
glpX,Fructose-bisphosphatase,P0A9C9,FBPNo2,,Topt_i,0.0,False,False,CT_max_C
,Fructose-bisphosphatase,P21437,FBPNo3,,Topt_i,0.0,False,False,CT_max_C
yidA,Fructose-bisphosphatase,P0A8Y5,FBPNo4,,Topt_i,0.0,False,False,CT_max_C
glgC,Glucose-1-phosphate adenylyltransferase,P0A6V1,GLGCNo1,,Topt_i,0.0,False,False,CT_max_C
glyA,D-alanine transaminase,P0A825,ALATA_D2No1,,Topt_i,0.0,False,False,CT_max_C
ltaE,D-alanine transaminase,P75823,ALATA_D2No2,,Topt_i,0.0,False,False,CT_max_C
pykA,Pyruvate kinase,P21599,PYKNo1,,Topt_i,0.0,False,False,CT_max_C
pykF,Pyruvate kinase,P0AD61,PYKNo2,,Topt_i,0.0,False,False,CT_max_C
cysG,Sirohydrochlorin dehydrogenase (NAD),P0AEA8,SHCHD2No1,,Topt_i,0.0002285017439583,False,False,CT_max_C
kdsD,Arabinose-5-phosphate isomerase,P45395,A5PISONo1,,Topt_i,0.0001035219682496,False,False,CT_max_C
gutQ,Arabinose-5-phosphate isomerase,P17115,A5PISONo2,,Topt_i,0.0,False,False,CT_max_C
ybjI,Pyrimidine phosphatase,P75809,PMDPHTNo1,,Topt_i,0.0,False,False,CT_max_C
yigB,Pyrimidine phosphatase,P0ADP0,PMDPHTNo2,,Topt_i,0.0001550272974038,False,False,CT_max_C
,Coproporphyrinogen oxidase (O2 required),P36553,CPPPGONo1,,Topt_i,0.0,False,False,CT_max_C
gor,Glutathione oxidoreductase,P06715,GTHOrNo1,,Topt_i,0.0,False,False,CT_max_C
ilvE,Isoleucine transaminase,P0AB80,ILETANo1,,Topt_i,0.0,False,False,CT_max_C
pyrD,Dihydroorotic acid (menaquinone-8),P0A7E1,DHORD5No1,,Topt_i,0.0,False,False,CT_max_C
glcE,Glycolate oxidase,P0AEP9,GLYCTO2No1,,Topt_i,0.0,False,False,CT_max_C
ilvE,Valine transaminase,P0AB80,VALTANo1,,Topt_i,0.0,False,False,CT_max_C
glcE,Glycolate oxidase,P0AEP9,GLYCTO3No1,,Topt_i,0.0,False,False,CT_max_C
leuC;leuD,2-isopropylmalate hydratase,P0A6A6,IPPMIbNo1,,Topt_i,0.0,False,False,CT_max_C
glcE,Glycolate oxidase,P0AEP9,GLYCTO4No1,,Topt_i,0.0,False,False,CT_max_C
pyrE,Orotate phosphoribosyltransferase,P0A7E3,ORPTNo1,,Topt_i,0.0,False,False,CT_max_C
ribE,Riboflavin synthase,P61714,RBFSaNo1,,Topt_i,2.6941393142456377e-07,False,False,CT_max_C
ilvB;ilvN,2-aceto-2-hydroxybutanoate synthase,P08142,ACHBSNo1,,Topt_i,0.0,False,False,CT_max_C
ilvH;ilvI,2-aceto-2-hydroxybutanoate synthase,P00893,ACHBSNo2,,Topt_i,0.0,False,False,CT_max_C
pfkA,Phosphofructokinase (s7p),P0A796,PFK_3No1,,Topt_i,0.0,False,False,CT_max_C
ilvD,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",P05791,DHAD2No1,,Topt_i,0.0,False,False,CT_max_C
ilvH;ilvI,Acetolactate synthase,P00893,ACLSNo1,,Topt_i,0.0,False,False,CT_max_C
ilvB;ilvN,Acetolactate synthase,P08142,ACLSNo2,,Topt_i,0.0,False,False,CT_max_C
trpA;trpB,Tryptophan synthase (indole),P0A877,TRPS2No1,,Topt_i,0.0,False,False,CT_max_C
aroA,3-phosphoshikimate 1-carboxyvinyltransferase,P0A6D3,PSCVTNo1,,Topt_i,7.424139658283373e-06,False,False,CT_max_C
glpA;glpB;glpC,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),P0A996,G3PD5No1,,Topt_i,0.0,False,False,CT_max_C
glpD,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),P13035,G3PD5No2,,Topt_i,0.0,False,False,CT_max_C
hxpA,Glucose-1-phosphatase,P77625,G1PPNo1,,Topt_i,0.0,False,False,CT_max_C
,Glucose-1-phosphatase,P0A8Y3,G1PPNo2,,Topt_i,0.0,False,False,CT_max_C
yidA,Glucose-1-phosphatase,P0A8Y5,G1PPNo3,,Topt_i,0.0,False,False,CT_max_C
