rank,gene,enzyme_name,enzyme_id,rxn_id,EC,control_coeff,thermal_screen,"CC[Topt_C,Topt_i]","CC[Topt_C,dCp_i]","CC[CT_max_C,Topt_i]","CC[CT_max_C,dCp_i]","CC[niche_width_C,Topt_i]","CC[niche_width_C,dCp_i]"
1,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C16:1),P0A6A8,AACPS4No1,,0.5414439666395712,0.000155639142664,0.0,-0.0,0.0005424416444697,-0.0,-0.5414439666395712,8.881784197001249e-15
2,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C16:0),P0A6A8,AACPS3No1,,0.474000248829256,0.0001320493026559,0.0,-0.0,0.0004602804408406,8.881784197001249e-15,-0.474000248829256,1.7763568394002498e-14
3,aas;acpP,Acyl-[acyl-carrier-protein] synthetase  (n-C12:0),P0A6A8,AACPS7No1,,0.2846929675203622,8.051998722769096e-05,0.0,-0.0,0.0002807400627204,-0.0,-0.2846929675203622,-1.7763568394002498e-14
4,acpP;lpxA,UDP-N-acetylglucosamine acyltransferase,P0A6A8,UAGAATNo1,,0.0528500599411234,6.799094357192992e-06,0.0,-0.0,2.3714600931867835e-05,8.881784197001249e-15,-0.0528500599411234,8.881784197001249e-15
5,sdhA;sdhB,Succinate dehydrogenase (irreversible),P07014,SUCDiNo1,,0.0401004995695153,0.0002154616668268,0.0,-0.0,3.552713678800501e-15,-0.0,-0.0401004995695153,8.881784197001249e-15
6,glnA,Glutamine synthetase,P0A9C5,GLNSNo1,,0.0186400893655402,7.000684428211127e-05,0.0,-0.0,0.000186740072138,-0.0,-0.0186400893655402,-8.881784197001249e-15
7,sucC;sucD,Succinyl-CoA synthetase (ADP-forming),P0A836,SUCOAS_REVNo1,,0.0151115715356553,0.0014202216348253,0.0,-0.0,8.11560929037114e-06,-8.881784197001249e-15,-0.0151115715356553,-1.7763568394002498e-14
8,,"Ribose-1,5-bisphosphokinase",P16690,R15BPKNo1,,0.0131904267100537,6.380080784728278e-05,0.0,-0.0,2.779622168702645e-05,8.881784197001249e-15,-0.0131904267100537,8.881784197001249e-15
9,adk,Adentylate kinase (GTP),P69441,ADK3No1,,0.0093456229956139,0.0001141411787275,0.0,-0.0,0.000780884620557,8.881784197001249e-15,0.0093456229956139,1.7763568394002498e-14
10,fadA,Acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),P21151,ACACT5rNo1,,0.0089029143694361,0.0003210663279047,0.0,-0.0,0.0001021748498679,-0.0,-0.0089029143694361,8.881784197001249e-15
11,fadA,Acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),P21151,ACACT2rNo2,,0.0089029143694325,0.0003210663279047,0.0,-0.0,0.000102174849875,-0.0,-0.0089029143694325,-0.0
12,fadA,Acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),P21151,ACACT3rNo2,,0.0089029143694325,0.0003210663279047,0.0,-0.0,0.0001021748498715,8.881784197001249e-15,-0.0089029143694325,8.881784197001249e-15
13,fadA,Acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),P21151,ACACT4rNo2,,0.0089029143694325,0.0003210663279047,0.0,-0.0,0.000102174849875,-0.0,-0.0089029143694325,-0.0
14,fadA,Acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),P21151,ACACT6rNo2,,0.0069559871876698,0.0002508553975269,0.0,-0.0,7.983288652013698e-05,-0.0,-0.0069559871876698,8.881784197001249e-15
15,fadA,Acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),P21151,ACACT7rNo2,,0.0069559871876663,0.0002508553975269,0.0,-0.0,7.983288652013698e-05,8.881784197001249e-15,-0.0069559871876663,1.7763568394002498e-14
16,fabG,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),P0AEK2,3OAR140No1,,0.0064560723920656,0.0001042243753438,0.0,-0.0,6.967069504781875e-05,8.881784197001249e-15,-0.0064560723920656,1.7763568394002498e-14
17,folE,GTP cyclohydrolase I,P0A6T5,GTPCINo1,,0.0059857536430634,0.0001270793455224,0.0,-0.0,6.160391820131395e-05,-1.4210854715202e-11,-0.0059857536430634,-6.323830348264889e-11
18,murD,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,P14900,UAMAGSNo1,,0.005512998676771,0.0005496933793879,0.0,-0.0,0.005512998676771,-8.881784197001249e-15,0.0049330514463434,-8.881784197001249e-15
19,asnA,Asparagine synthetase,P00963,ASNS2No1,,0.0054570212261069,0.0010384454965133,0.0,-0.0,0.0003690799488147,-8.881784197001249e-15,-0.0054570212261069,-8.881784197001249e-15
20,gdhA,Glutamate dehydrogenase (NADP),P00370,GLUDyNo1,,0.0040783236026591,2.836235521882599e-06,0.0,-0.0,9.898645473072064e-06,-8.881784197001249e-15,-0.0040783236026591,-0.0
21,glmS,Glutamine-fructose-6-phosphate transaminase,P17169,GF6PTANo1,,0.0018901225480298,0.0021001333502541,0.0,-0.0,0.0018901225480298,8.881784197001249e-15,0.001662323076335,8.881784197001249e-15
22,murC,UDP-N-acetylmuramoyl-L-alanine synthetase,P17952,UAMASNo1,,0.0018585087877269,5.294344845873504e-05,0.0,-0.0,2.398291095673244e-05,-8.881784197001249e-15,-0.0018585087877269,-8.881784197001249e-15
