UniqueCount	AmbigCount
1925	0
1501	0
167	0
30	0
721	0
97	0
171	0
0	0
99	0
259	0
241	0
23	0
2338	0
0	0
84	0
1404	0
565	0
42	0
114	0
74	0
97	0
275	0
23	0
3	0
21	0
1	0
8107	2
23	0
7	0
12	0
101	0
93	0
4912	1
129	0
84	0
12	0
7	0
1656	0
184	0
27	0
210	0
11	0
228	0
3338	0
1342	2
35	0
218	0
1	0
3528	2
608	0
2907	1
635	0
71	0
57	0
55	0
351	0
109	0
15	0
1192	1
186	0
1503	0
1332	0
0	0
636	0
3	0
44	0
228	0
412	0
170	0
8	0
2	0
77	0
1429	0
508	0
23856	2
1911	0
271	0
87	0
7	0
1529	0
66291	10
0	0
2424	0
693	0
6240	1
195	0
162	0
598	0
1636	0
85	0
705	0
0	0
187	0
245	0
75	0
0	0
11	0
87	0
47	0
22	0
10	0
0	0
809	0
377	0
487	0
954	0
424	0
4	0
4	0
876	0
17446	1
0	0
80	0
702	0
0	9337
39	0
201	0
54	0
4	0
0	0
3	0
62	0
3477	0
0	0
174	0
768	0
158	0
126	0
0	0
311	0
1	0
319	0
0	0
0	0
0	0
0	0
97	0
0	0
41	0
365	0
0	0
416	0
586	0
589	0
65	0
10849	2
791	0
23	0
11184	6
146	0
5724	0
419	0
1295	0
70812	13
461	0
3236	0
17	0
107	0
11	0
1	0
1075	0
7	0
126	0
122	0
123	0
1292	4
0	0
22059	4
50	0
230	0
0	0
2500	0
293	0
118	0
267	0
2076	1
219	0
466	0
121	0
3719	0
104	0
1534	0
1971	0
108	0
378	0
73	0
102	0
7	0
213	0
1270	0
253	0
6259	0
0	0
19	0
4	0
19	0
4600	1
72	0
615	0
0	66
254	0
0	0
49	0
200	0
2	0
297	0
26	0
2	0
0	0
0	0
199	0
427	0
0	0
281	0
157	0
4	0
0	0
117	0
3493	0
140	0
62	0
246	0
469	0
247	0
0	0
480	0
0	0
1221	0
0	0
583	0
386	0
15	0
2415	0
132	0
5	0
2248	0
0	0
541	0
1904	0
21	0
3	0
221	0
257	0
146	0
8	0
128	0
13	0
17	0
0	0
1325	0
13	0
0	0
29443	12
0	0
10	0
523	0
2	0
141	0
139	0
963	0
9	0
831	0
394	0
49	0
64	0
5192	0
193	0
39	0
187	0
5	0
0	0
237	0
1067	0
2	0
139	0
39	0
156	0
1	0
127	0
45	0
35	0
1825	0
112	0
0	0
64	0
62	0
577	0
0	0
11	0
11	0
566	0
260	0
13309	1
208	0
296	0
54	0
238	0
54	0
495	0
97	0
214	0
248	0
378	0
2291	0
1	0
0	0
1463	0
331	0
4709	8
35	0
0	0
129	0
529	0
8	0
653	0
35	0
175	0
47	0
2999	2
121	0
36	0
1	0
70	0
9	0
96	0
147	0
832	0
2776	0
42	0
0	0
2355	0
61	0
516	0
102	0
1	0
9	0
140	0
3	0
127	0
2	0
43	0
146	0
375	0
999	0
714	0
4	0
0	0
1179	0
1748	1
67	0
354	0
101	0
8	0
82	0
7383	0
2087	3
0	0
685	0
25	0
0	0
29	0
15	0
2558	0
0	0
3687	4
82	0
754	0
321	0
517	0
4	0
18	0
266	0
0	0
292	0
0	0
2301	0
3	0
13	0
30	0
185	0
239	0
116	0
1136	0
0	0
18	0
1134	0
1270	0
502	0
20	0
3	0
428	0
18	0
632	0
387	0
59	0
716	0
32	0
481	0
2260	0
5	0
182	0
51840	4
78	0
279	0
569	0
58	0
429	0
463	0
0	0
74	0
1903	0
533	0
204	0
20	0
466	0
490	0
3305	0
17	0
54	0
1752	0
6024	0
540	0
18928	0
15	0
42	0
323	0
0	0
60	0
486	0
1017	0
2000	0
0	0
1	0
17	0
246	0
2099	0
806	0
516	0
79	0
12	0
69	0
259	0
85	0
11	0
0	0
765	0
2	0
17	0
208	0
0	0
298	0
3	0
141	0
3547	2
25	0
3066	0
48	0
32	0
46	0
1245	0
577	2
174	0
226	0
46	0
4	0
2	0
2238	2
1	0
317	0
199	0
4	0
133	0
45	0
106	0
62	0
47	0
21	0
26	0
91	0
379	0
0	0
453	0
49	0
714	0
80	0
316	0
0	0
0	0
276	0
0	0
76	0
828	0
0	0
6	0
117	0
64	0
0	0
589	0
26	0
0	0
65	0
35	0
110	0
0	0
264	0
5848	1
6	0
0	0
452	0
114	0
3905	1
18	0
28	0
598	0
422	1
24	0
11068	0
102	0
53	0
25	0
293	0
352	0
218	0
3	0
70	0
6	0
0	0
35	0
145	0
609	0
233	0
97	0
1093	2
414	0
158	0
466	0
90	0
0	0
1217	1
70	0
4361	0
0	0
450	0
114	0
190	0
0	0
591	0
471	0
337	0
119	0
767	0
2	0
74	0
726	0
14	0
159	0
31	0
171	0
181	0
0	0
246	0
1310	0
159	0
70	0
1339	0
625	0
1766	0
134	0
0	0
1320	0
88	0
8	0
42	0
49	0
15	0
34	0
1	0
150	0
3402	0
178	0
101	0
692	0
45	0
9	0
10	0
77	0
84	0
2653	0
6	0
1066	0
0	0
80	0
0	0
0	0
16	0
84	0
31	0
1510	0
289	0
0	0
62	0
301	0
885	0
2729	0
4366	4
29	0
402	0
0	0
0	0
0	0
3736	0
4399	0
1112	0
60	0
0	0
306	0
45	0
31	0
11	0
17	0
142	0
213	0
0	0
127	0
6	0
243	0
576	0
0	0
16	0
97	0
29	0
823	0
155	0
11	0
37080	3
286	0
319	0
37	0
52	0
1866	0
10	0
598	0
4	0
14	0
19	0
43	0
7	0
1	0
48	0
48284	12
813	0
14	0
1351	0
53	0
412	0
69	0
1615	0
43	0
3	0
34	0
1111	0
82	0
146	0
1743	0
80	0
6	0
278	0
139	0
488	0
288	0
161	0
21	0
166	0
22	0
272	0
76	0
66	0
2	0
93	0
0	0
126	0
23	0
1035	0
4	0
183	0
360	0
20	0
185	0
1883	0
39	0
0	0
538	0
0	0
0	0
3	0
323	0
143	0
39	0
0	0
351	0
27	0
9	0
1023	0
484	0
0	0
0	0
1001	0
488	0
0	0
52	0
7361	7
931	0
808	0
18027	8
4	0
178	0
173	0
0	0
212	0
9	0
0	0
159	0
3552	1
820	0
1133	0
8	0
484	0
877	0
77	0
240	0
39	0
38	0
422	0
445	0
215	1
70	0
403	0
101	0
0	0
2	0
72	0
3	0
131	0
23	0
375	0
98	0
1512	0
185	0
833	0
0	0
189	0
541	0
36	0
2279	0
644	0
18	0
7	0
57	0
676	0
0	0
107	0
24	0
28448	13
363	0
976	0
852	0
4552	1
153	0
2340	0
54	0
0	0
431	0
573	0
1412	0
12	0
725	0
6	0
1349	1
447	0
343	0
128	0
753	0
943	0
6	0
29	0
3121	1
591	0
3998	1
12	0
799	0
369	0
11	0
163	0
88	0
65	0
10	0
97	0
242	0
36	0
170	0
145	0
1207	0
3	0
272	0
26	0
5	0
15403	4
1464	2
27331	4
4	0
1130	0
99	0
413	0
0	0
1177	0
166	0
47	0
378	0
281	0
3531	0
1667	0
313	0
5	0
91	0
562	0
5	0
37166	10
19	0
4	0
318	0
0	0
4	0
1572	0
648	0
61	0
17042	1
676	0
0	0
672	2
830	0
6	0
243	0
293	0
12	0
42	0
15	0
27	0
3296	0
0	0
1216	0
90	0
38	0
177	0
124	0
1825	0
3	0
0	0
78	0
13658	1
15	0
103	0
6	0
23	0
665	0
0	0
666	0
37	0
729	0
83	0
21	0
16	0
188	0
21	0
0	0
28	0
0	0
2	0
1666	0
5	0
0	0
94	0
0	0
6	0
16	0
56	0
0	0
19	0
802	0
31	0
307	0
29	0
0	0
769	0
1557	0
11	0
1797	0
147	0
33	0
541	0
201	0
63	0
149	0
1155	0
54	0
1387	4
6012	4
0	0
1208	0
0	0
54	0
46	0
35	0
43	0
2	0
148	0
351	0
225	0
3858	0
1519	0
539	0
12	0
0	0
1705	0
239	0
88	0
111	0
366	0
813	0
11	0
1103	2
515	0
44	0
8	0
1110	0
857	0
183	0
15	0
119	0
369	0
38	0
0	0
184	0
0	0
400	0
19971	6
79	0
7	0
15	0
4847	3
139	0
806	0
3395	0
672	0
15	0
1	0
60	0
943	0
64	0
76	0
68	0
0	0
87	0
3324	0
12	0
6691	4
196	0
6	0
1520	0
3	0
1244	0
64	0
0	0
380	0
5	7
514	0
646	0
16	0
130	0
7187	4
1163	0
21	0
2450	0
0	0
452	0
9	0
38	0
247	0
43	0
193	0
90	0
45	0
1245	0
10	0
179	0
874	0
54	0
26	0
87	0
100	0
1392	0
8607	0
23	0
30	0
151	0
215	0
0	0
278	0
0	0
2	0
2	0
16	0
427	0
13	0
12	9337
159	0
1430	2
770	0
0	0
887	0
154	0
45774	10
136	0
1	0
16	0
7	0
1218	0
84	0
0	0
449	0
176	0
46	0
4326	3
293	0
0	0
189	0
286	1
1	0
416	0
4	0
357	0
291	0
42	0
709	0
107	0
6635	0
9	0
5664	1
477	0
924	0
107	0
0	0
9	0
177	0
2556	1
5112	0
634	0
225	0
0	0
4	0
59	0
523	0
174	0
36	0
20	0
26	0
604	0
132	0
2	0
30	0
42	0
42	0
353	0
5	0
213	0
188	0
85	0
10	0
223	0
1825	0
70	0
6	0
147	0
32	0
1432	0
264	0
597	0
164	0
96	0
39	0
25	0
11	0
845	0
1	0
0	0
250	0
457	0
253	0
3	0
425	0
4879	0
4130	4
21	0
1	0
173	0
8	0
252	0
293	0
0	0
14	0
451	0
1069	0
0	0
513	0
160	0
4517	0
834	0
65	0
94	0
820	0
1	0
38	0
883	0
38	0
12499	11
3580	0
9017	0
260	0
497	0
75	0
0	0
0	0
436	0
152	0
81	0
273	0
198	0
1625	0
0	0
9	0
1350	0
1045	0
363	0
980	0
180	0
4613	6
146	0
21	0
0	0
3725	0
43	0
0	0
0	0
18	0
1	0
6871	3
191	0
92	0
52	0
0	0
89	0
321	0
1	0
80	0
51	0
42	0
297	0
656	0
89	0
574	1
60	0
281	0
37	0
127	0
393	0
787	0
57339	20
47	0
1187	0
31	0
185	0
115	0
1347	0
1551	0
1287	0
549	0
391	0
359	0
0	0
1	0
0	0
2	0
0	0
726	0
76	0
30	0
201	0
11	0
173	0
773	0
144	0
184	0
22941	4
58	0
17	0
467	0
933	0
8882	1
95	0
98	0
4354	0
891	0
71205	11
463	0
14	0
75	0
363	0
493	0
4508	1
1483	0
60	0
975	0
0	0
0	0
735	0
385	0
207	0
238	0
64071	12
376	0
15544	3
219	0
238	0
160	0
285	0
246	0
143	0
57	0
0	0
5	0
273	0
65	0
228	0
515	0
0	0
27	0
635	0
4712	0
372	0
41	0
44	0
309	0
12283	5
0	0
12	0
131	0
23	0
405	0
713	0
5	0
1831	1
17	0
49	0
572	0
1405	0
1584	0
221	0
263	0
529	0
33	0
183	0
351	0
112	0
0	0
61	0
34	0
87	0
74224	9
167	0
40	0
138	0
395	0
53	0
2	0
43	0
32	0
7	0
140	0
270	0
2427	0
524	0
11	0
0	0
200	0
380	0
18	0
11	0
67886	8
48	0
418	0
275	0
7	0
474	0
0	0
346	0
34	0
1560	0
177	0
1	0
0	0
777	0
12	0
690	0
19	0
0	0
1751	0
471	0
48	0
0	0
395	0
180	0
217	0
343	0
119	0
592	0
7	0
440	0
1139	0
819	0
113	0
0	0
73	0
86	0
1043	0
102	0
272	0
0	0
154	0
18	0
1077	0
55	0
32	0
0	0
171	0
201	0
295	0
103	0
76	0
12	0
1065	0
1613	1
0	0
678	0
0	0
2297	0
50	0
407	0
204	0
379	0
3	0
0	0
8788	2
59	0
42	0
563	0
1599	0
172	0
1924	0
11	0
20	0
198	0
4279	0
0	0
1830	0
38	0
74	0
311	0
68	0
13	0
23	0
188	0
5	0
0	0
234	0
6	0
1	0
0	0
112	0
0	0
21	0
16	0
635	0
128	0
0	0
6	0
1972	0
0	0
366	0
292	0
1396	3
0	0
57	0
100	0
761	0
78	0
173	2
0	0
14	0
140	0
227	0
80	0
255	0
4	0
0	0
3391	0
492	0
5949	0
48739	18
0	0
91	0
216	0
421	0
173	0
1	0
4129	0
85	0
0	0
320	0
0	0
760	0
482	0
1115	0
24	0
204	0
0	0
648	0
3111	4
155	0
56	0
6	0
0	0
31	0
1348	0
700	0
403	0
642	0
366	0
34	0
79	0
322	0
79	0
649	0
254	0
139	0
195	0
0	0
11	0
387	0
348	0
28	0
142	0
0	0
1485	0
77	0
4	0
1135	0
240	0
389	0
26	0
53451	11
110	0
74	0
25	0
0	0
904	0
31736	3
1569	0
51	0
9	0
264	0
31	0
33	0
749	0
0	0
818	0
299	0
3594	4
747	0
28	0
389	0
131	0
0	0
14	0
0	0
297	0
376	3
1309	0
10	0
242	0
81	0
188	0
357	0
196	0
1164	0
137	0
260	0
38	0
0	0
435	0
0	0
270	0
110	0
3791	0
1402	0
962	0
17	0
1507	0
26104	12
25	0
805	0
83	0
0	0
4708	0
99	0
166	0
757	0
2	0
2	0
911	0
1713	0
5	0
172	0
136	0
40	0
22	0
429	0
13	0
499	0
38	0
1446	0
0	0
978	0
6460	0
57	0
89	0
5	0
1094	2
0	0
445	0
1399	0
245	0
1496	0
873	5
0	0
253	0
647	0
304	0
16	0
323	0
91	0
