model,pooled_RMSE,pooled_MAE,n_params,boot_RMSE_median,boot_RMSE_p05,boot_RMSE_p95
scale,0.10402233784073699,0.07802575434235272,9,0.13204013827841574,0.10940254339942818,0.17204675902980326
shift,0.09692190398050951,0.0796858555083634,9,0.12841924851460465,0.09897379739605575,0.1732330433777157
mixed,0.10533783596772676,0.07961399577771762,15,0.1383725397797444,0.10316066176215738,0.1792631891176308
