dose,RMSE_scale,RMSE_shift,RMSE_mixed,fold_type
0.06,0.09790826938439415,0.09579456527743463,0.10043816564144148,extrapolation_edge
0.12,0.11062526530216688,0.11473087901158216,0.10893949343032877,interpolation_interior
0.25,0.08685928796581889,0.09878586191715413,0.11293642982141955,interpolation_interior
0.5,0.06967567147590797,0.06933077936137415,0.08669859103982368,interpolation_interior
1.0,0.11156463230373821,0.09364135114604522,0.0924736988443881,interpolation_interior
2.0,0.07221137478276578,0.07756712828336029,0.07660924917731213,interpolation_interior
4.0,0.1544673555199026,0.11860206341726079,0.1450004639706321,extrapolation_edge
