T,conc,g_obs,err_scale,err_shift,err_mixed
15,0.06,0.7895223610734926,0.13358239525666393,0.11403050950777949,0.1437442307048491
15,0.12,0.8420018385955426,0.0064225396539761,-0.02853449902302374,0.007268975444076231
15,0.25,0.8668929272618385,-0.13991327629057893,-0.2142564987003558,-0.2144146173234116
15,0.5,0.5552336660652221,0.0900798593771811,0.03927917052719254,0.038395016200244325
15,1.0,0.3655058662965721,0.15231583347248734,0.1355086952623228,0.11562435744349076
15,2.0,0.36329888014942685,-0.007465420227206254,0.024548933521699234,-0.016025534924152873
15,4.0,0.3208535170296815,-0.11409178742463238,-0.08807767750918777,-0.08799738164816545
18,0.06,0.9040332599724487,0.04878722883189479,0.0655396515570611,0.052624982469310466
18,0.12,0.9120415621997423,-0.005195831826870001,0.024273784233373674,-0.009070624749356826
18,0.25,0.8212331099782588,0.015382776118724406,0.05935396631354395,0.01230562180913286
18,0.5,0.7555591194957607,0.023130178092700904,0.06177401540235028,-0.01959031087429619
18,1.0,0.6533427641771883,0.04244238170081904,0.06707662918819313,0.018053670797947396
18,2.0,0.6568665450118389,-0.0733921121855452,-0.1064407488784227,-0.0769514563160052
18,4.0,0.5285743031145191,0.013207550661018308,-0.08850640446952385,0.08150189004135466
21,0.06,0.9910274522185241,-0.04979680770807304,-0.04212336195090116,-0.043517407377876016
21,0.12,0.8354588292425968,0.05036333403985216,0.06905303352363723,0.07125462289252238
21,0.25,0.7981456729308974,-0.0005893943279324798,0.023850722715010098,0.012543492504733411
21,0.5,0.701404416837721,0.024894579498210168,0.034535793847129126,-0.006076331986667571
21,1.0,0.6234265965109368,-0.009852579814704776,-0.009928761741404113,-0.036581136102215694
21,2.0,0.5050506155629637,0.008340256609021157,-0.013355671772379063,0.0007124396335562722
21,4.0,0.43395626538904825,-0.009644659222853902,-0.07813331050932953,0.025721416024129418
24,0.06,0.9243768129454009,0.0023227717337116482,-0.0014472394990494575,0.02811756013379596
24,0.12,1.0032294599938556,-0.14920218050162637,-0.16192514769714905,-0.1220858393239288
24,0.25,0.7498166737559108,-0.0022911326141689115,0.0036759926757521377,0.05831348833144001
24,0.5,0.5908326286065533,0.07046828266600602,0.06897621957704003,0.1070878309278227
24,1.0,0.5936954403975305,-0.08997376555819991,-0.08179989843751234,-0.10926702457980375
24,2.0,0.32394901980620405,0.09077567729300573,0.117759502339437,0.06654119952801085
24,4.0,0.28133989970030304,0.006820714835478858,0.004739848753515408,-0.06236111374758513
26,0.06,0.8365160674703349,0.09968312973365379,0.09690762648294937,0.09008081836135318
26,0.12,0.6540345814209354,0.22306242353902817,0.23183297974289352,0.24092233386524997
26,0.25,0.8223985431481877,-0.048040490085012655,-0.06876060711001197,-0.17628879995348923
26,0.5,0.7288693111211867,-0.035103280040549745,-0.08898940546259226,-0.15105266106331527
26,1.0,0.5653282052228414,0.014111757860779228,-0.017634764248901424,-0.03193617887588074
26,2.0,0.39550204223094876,0.09207957903333785,0.052732259108663526,0.14281908605545657
26,4.0,0.4522465580960758,-0.1316002693012412,-0.16425085032357883,-0.01782123823944909
27,0.06,0.8250545528656064,0.14348676356812207,0.16167589934584004,0.16911468724900303
27,0.12,0.9375256735959213,-0.0007816758195846596,0.03217815908449395,0.04753215200404359
27,0.25,0.9321453406769395,-0.04541985641146329,0.006435615184814503,0.030785445641462683
27,0.5,0.8130540685323754,0.0382091900451097,0.09356581928671215,0.12208040263497344
27,1.0,0.9615397087700509,-0.20956960068301356,-0.16787241458509927,-0.17474278114383524
27,2.0,0.799447880433188,-0.0948211913312772,-0.0944321491653034,-0.08495549494983934
27,4.0,0.5275156154810164,0.2573835478968488,0.16551262794717536,0.35061225532726037
28,0.06,1.0798155085277854,-0.1177601778112366,-0.09813832843473935,-0.08822862329397685
28,0.12,1.0303663639135663,-0.10508181424015428,-0.07048935126522882,-0.051522116498141535
28,0.25,1.0346879307424084,-0.1691831786545135,-0.11631842898438527,-0.08702940329349851
28,0.5,0.9429230956426152,-0.13059788184163024,-0.07526154266678275,-0.039157448892916946
28,1.0,0.8375313155547931,-0.09906710008138708,-0.056895532807070937,-0.03650132216934743
28,2.0,0.6384506474050153,0.07266191049750459,0.06663734887909278,0.05349325891245649
28,4.0,0.47507124097534725,0.2648118367566912,0.14957952066020241,0.070659710843332
