gene_id,ensembl_description
Mycgr3G101885,Putative P450 monooxygenase
Mycgr3G101890,Putative uncharacterized protein
Mycgr3G101893,Putative uncharacterized protein
Mycgr3G101897,Putative uncharacterized protein
Mycgr3G101913,Putative uncharacterized protein
Mycgr3G101921,Putative uncharacterized protein
Mycgr3G101925,Putative uncharacterized protein
Mycgr3G101931,Putative uncharacterized protein
Mycgr3G101933,Putative uncharacterized protein
Mycgr3G101983,Putative uncharacterized protein
Mycgr3G101989,Putative uncharacterized protein
Mycgr3G101995,Putative uncharacterized protein
Mycgr3G101997,Putative uncharacterized protein
Mycgr3G102005,Putative uncharacterized protein
Mycgr3G102012,Putative uncharacterized protein
Mycgr3G102016,Putative uncharacterized protein
Mycgr3G102019,Putative uncharacterized protein
Mycgr3G102020,Putative uncharacterized protein
Mycgr3G102025,Putative uncharacterized protein
Mycgr3G102027,Putative uncharacterized protein
Mycgr3G102031,Putative uncharacterized protein
Mycgr3G102033,Putative uncharacterized protein
Mycgr3G102037,Putative uncharacterized protein
Mycgr3G102047,Putative uncharacterized protein
Mycgr3G102049,Putative uncharacterized protein
Mycgr3G102052,Putative uncharacterized protein
Mycgr3G102063,Putative uncharacterized protein
Mycgr3G102064,Putative uncharacterized protein
Mycgr3G102067,Putative uncharacterized protein
Mycgr3G102068,Putative uncharacterized protein
Mycgr3G102072,Putative uncharacterized protein MgBmh1
Mycgr3G102079,Putative uncharacterized protein
Mycgr3G102083,Putative uncharacterized protein
Mycgr3G102085,Putative uncharacterized protein
Mycgr3G102108,Putative uncharacterized protein
Mycgr3G102119,Putative uncharacterized protein
Mycgr3G102121,Mitogen-activated protein kinase
Mycgr3G102125,Putative uncharacterized protein
Mycgr3G102127,Putative uncharacterized protein
Mycgr3G102131,Putative uncharacterized protein
Mycgr3G102133,Putative uncharacterized protein
Mycgr3G102134,Putative uncharacterized protein
Mycgr3G102136,Putative uncharacterized protein
Mycgr3G102139,Putative uncharacterized protein
Mycgr3G102145,Putative uncharacterized protein
