gene_id,ensembl_description
Mycgr3G108203,Hypothetical conserved protein with signal peptide
Mycgr3G108215,Putative uncharacterized protein
Mycgr3G108217,Putative uncharacterized protein
Mycgr3G108218,Putative uncharacterized protein
Mycgr3G108219,Putative uncharacterized protein
Mycgr3G108223,Dolichyl-phosphate-mannose-protein mannosyltransferase 2
Mycgr3G108228,Putative uncharacterized protein
Mycgr3G108236,Putative uncharacterized protein
Mycgr3G108244,Putative uncharacterized protein
Mycgr3G108245,Putative uncharacterized protein
Mycgr3G108250,Putative uncharacterized protein
Mycgr3G108252,Putative uncharacterized protein
Mycgr3G108254,Putative uncharacterized protein
Mycgr3G108264,Putative uncharacterized protein
Mycgr3G108265,Putative uncharacterized protein
Mycgr3G108267,Putative uncharacterized protein
Mycgr3G108268,Putative uncharacterized protein
Mycgr3G108272,Putative uncharacterized protein
Mycgr3G108274,Putative uncharacterized protein
Mycgr3G108279,Putative uncharacterized protein
Mycgr3G108281,ER membrane protein
Mycgr3G108288,Putative uncharacterized protein
Mycgr3G108290,Putative uncharacterized protein
Mycgr3G108294,Putative uncharacterized protein
Mycgr3G108298,Putative uncharacterized protein
Mycgr3G108301,Putative uncharacterized protein
Mycgr3G108309,Putative uncharacterized protein
Mycgr3G108314,Putative uncharacterized protein
Mycgr3G108315,Putative uncharacterized protein
Mycgr3G108321,Putative uncharacterized protein
Mycgr3G108329,Putative uncharacterized protein
Mycgr3G108330,Putative uncharacterized protein
Mycgr3G108333,Citrate synthase
Mycgr3G108336,Putative uncharacterized protein
Mycgr3G108339,Putative uncharacterized protein
Mycgr3G108345,Putative uncharacterized protein
Mycgr3G108349,Hydrophobin-like protein
Mycgr3G108350,Putative uncharacterized protein
Mycgr3G108353,Putative uncharacterized protein
Mycgr3G108354,Putative uncharacterized protein
Mycgr3G108362,Putative uncharacterized protein
Mycgr3G108367,Putative uncharacterized protein
Mycgr3G108377,Putative uncharacterized protein
Mycgr3G108384,Putative uncharacterized protein
Mycgr3G108391,Putative uncharacterized protein
Mycgr3G108392,Putative uncharacterized protein
Mycgr3G108395,Putative uncharacterized protein
Mycgr3G108397,Putative uncharacterized protein
Mycgr3G108398,Putative uncharacterized protein
Mycgr3G108399,Putative uncharacterized protein
Mycgr3G108402,Putative uncharacterized protein
Mycgr3G108403,Fatty acid synthase subunit alpha
Mycgr3G108406,Putative uncharacterized protein
Mycgr3G108416,Putative uncharacterized protein
Mycgr3G108417,Putative uncharacterized protein
Mycgr3G108421,Putative uncharacterized protein
Mycgr3G108424,Putative uncharacterized protein
Mycgr3G108425,Putative uncharacterized protein
Mycgr3G108426,Putative uncharacterized protein
Mycgr3G108441,Putative uncharacterized protein
Mycgr3G108444,Putative uncharacterized protein
Mycgr3G108445,Putative uncharacterized protein
Mycgr3G108446,Fungal transcriptional regulatory protein
Mycgr3G108448,Putative uncharacterized protein
Mycgr3G108464,Putative uncharacterized protein
Mycgr3G108469,Putative uncharacterized protein
Mycgr3G108472,Putative uncharacterized protein
Mycgr3G108479,Putative uncharacterized protein
Mycgr3G108482,Putative uncharacterized protein
Mycgr3G108483,Putative uncharacterized protein
Mycgr3G108486,Putative alpha-amylase
Mycgr3G108491,Putative uncharacterized protein
Mycgr3G108494,Putative uncharacterized protein
Mycgr3G108495,Putative uncharacterized protein
Mycgr3G108499,Putative uncharacterized protein
Mycgr3G108506,Serine carboxypeptidase
Mycgr3G108514,Putative uncharacterized protein
Mycgr3G108516,Putative uncharacterized protein
Mycgr3G108517,Putative uncharacterized protein
Mycgr3G108522,Putative uncharacterized protein
Mycgr3G108527,Putative uncharacterized protein
Mycgr3G108529,Putative uncharacterized protein
Mycgr3G108530,Putative uncharacterized protein
Mycgr3G108533,Putative uncharacterized protein
Mycgr3G108534,Putative uncharacterized protein
Mycgr3G108540,Putative uncharacterized protein
Mycgr3G108541,Putative uncharacterized protein
Mycgr3G108544,Putative ABC transporter
Mycgr3G108560,Putative uncharacterized protein
Mycgr3G108566,Putative uncharacterized protein
Mycgr3G108567,Putative uncharacterized protein
Mycgr3G108571,Putative uncharacterized protein
Mycgr3G108572,Putative uncharacterized protein
Mycgr3G108577,Putative uncharacterized protein
Mycgr3G108578,Putative uncharacterized protein
Mycgr3G108584,Putative uncharacterized protein
Mycgr3G108587,Putative uncharacterized protein
Mycgr3G108594,Putative uncharacterized protein
Mycgr3G108597,ERG1 squalene epoxidase
Mycgr3G108599,Putative uncharacterized protein
Mycgr3G108602,Putative uncharacterized protein
Mycgr3G108605,Putative uncharacterized protein
Mycgr3G108606,Putative uncharacterized protein
Mycgr3G108612,Putative uncharacterized protein
Mycgr3G108615,Putative uncharacterized protein
Mycgr3G108617,Putative uncharacterized protein
Mycgr3G108619,Putative uncharacterized protein
Mycgr3G108627,Putative uncharacterized protein
Mycgr3G108629,Putative uncharacterized protein
Mycgr3G108635,Wsc4-like protein
Mycgr3G108640,Putative uncharacterized protein
Mycgr3G108644,Putative uncharacterized protein
Mycgr3G108649,Putative uncharacterized protein
Mycgr3G108651,Putative uncharacterized protein
Mycgr3G108657,Putative uncharacterized protein MgSho1
Mycgr3G108659,Putative uncharacterized protein
Mycgr3G108665,Putative uncharacterized protein
Mycgr3G108675,Putative uncharacterized protein
Mycgr3G108679,Putative uncharacterized protein
Mycgr3G108694,Putative uncharacterized protein
Mycgr3G108699,Putative uncharacterized protein
Mycgr3G108706,Putative uncharacterized protein
Mycgr3G108713,Putative uncharacterized protein
Mycgr3G108717,Putative uncharacterized protein
Mycgr3G108724,Putative uncharacterized protein
Mycgr3G108731,Putative uncharacterized protein
Mycgr3G108732,Putative uncharacterized protein
Mycgr3G108734,Putative uncharacterized protein
Mycgr3G108738,Putative uncharacterized protein
Mycgr3G108739,Putative uncharacterized protein
Mycgr3G108740,Putative uncharacterized protein
Mycgr3G108742,Putative uncharacterized protein
Mycgr3G108745,Putative uncharacterized protein
Mycgr3G108753,Putative uncharacterized protein
Mycgr3G108755,Putative uncharacterized protein
Mycgr3G108762,Putative uncharacterized protein
Mycgr3G108767,Putative uncharacterized protein
Mycgr3G108769,Putative uncharacterized protein
Mycgr3G108770,Putative uncharacterized protein
Mycgr3G108773,Putative uncharacterized protein
Mycgr3G108774,Putative uncharacterized protein
Mycgr3G108775,Putative uncharacterized protein
Mycgr3G108776,Putative uncharacterized protein
Mycgr3G108780,Putative uncharacterized protein
Mycgr3G108793,Putative uncharacterized protein
Mycgr3G108794,Putative uncharacterized protein
Mycgr3G108796,Putative uncharacterized protein
Mycgr3G108803,Putative uncharacterized protein
Mycgr3G108813,Putative uncharacterized protein
Mycgr3G108814,Putative uncharacterized protein
Mycgr3G108816,Putative uncharacterized protein
Mycgr3G108817,Putative uncharacterized protein
Mycgr3G108818,SAP family cell cycle dependent phosphatase-associated protein
Mycgr3G108826,Putative uncharacterized protein
Mycgr3G108829,Putative uncharacterized protein
Mycgr3G108832,Putative uncharacterized protein
Mycgr3G108833,Putative uncharacterized protein
Mycgr3G108836,Putative uncharacterized protein
Mycgr3G108842,Putative uncharacterized protein
Mycgr3G108844,Putative uncharacterized protein
Mycgr3G108849,Putative uncharacterized protein
Mycgr3G108857,Putative uncharacterized protein
Mycgr3G108865,Putative uncharacterized protein
Mycgr3G108866,Putative uncharacterized protein
Mycgr3G108869,Putative uncharacterized protein
Mycgr3G108872,Putative uncharacterized protein
Mycgr3G108877,Putative uncharacterized protein
Mycgr3G108882,Putative uncharacterized protein
Mycgr3G108883,Putative uncharacterized protein
Mycgr3G108886,Putative uncharacterized protein
Mycgr3G108890,Putative uncharacterized protein
Mycgr3G108892,Putative uncharacterized protein
Mycgr3G108906,Putative uncharacterized protein
Mycgr3G108908,Putative uncharacterized protein
Mycgr3G108910,Putative uncharacterized protein
Mycgr3G108912,Putative uncharacterized protein
Mycgr3G108919,Putative uncharacterized protein
Mycgr3G108921,Putative uncharacterized protein
Mycgr3G108925,Putative uncharacterized protein
Mycgr3G108927,Putative uncharacterized protein
Mycgr3G108931,Putative uncharacterized protein
Mycgr3G108932,Putative uncharacterized protein
Mycgr3G108936,Putative uncharacterized protein
Mycgr3G108940,Putative uncharacterized protein
Mycgr3G108951,Putative uncharacterized protein
Mycgr3G108963,Putative uncharacterized protein
Mycgr3G108964,Putative uncharacterized protein
Mycgr3G108969,Putative uncharacterized protein
Mycgr3G108974,Putative uncharacterized protein
Mycgr3G108975,Putative uncharacterized protein
Mycgr3G108976,Putative uncharacterized protein
Mycgr3G108979,Putative uncharacterized protein
Mycgr3G108982,Putative uncharacterized protein
Mycgr3G108985,Putative uncharacterized protein
Mycgr3G108989,Putative uncharacterized protein
Mycgr3G108995,Putative uncharacterized protein
Mycgr3G108999,Putative uncharacterized protein
Mycgr3G109000,Putative uncharacterized protein
Mycgr3G109001,Putative uncharacterized protein
Mycgr3G109003,Putative uncharacterized protein
Mycgr3G109004,Putative uncharacterized protein
Mycgr3G109009,Putative uncharacterized protein
Mycgr3G109011,Putative uncharacterized protein
Mycgr3G109018,Putative uncharacterized protein
Mycgr3G109019,Putative uncharacterized protein
Mycgr3G109020,Putative uncharacterized protein
Mycgr3G109022,Putative uncharacterized protein
Mycgr3G109027,Putative uncharacterized protein
Mycgr3G109031,Secreted small alanine-rich-protein
Mycgr3G109040,Putative uncharacterized protein
Mycgr3G109048,Putative uncharacterized protein
Mycgr3G109049,Putative uncharacterized protein
Mycgr3G109051,Putative uncharacterized protein
Mycgr3G109052,Putative uncharacterized protein
Mycgr3G109057,Putative uncharacterized protein
Mycgr3G109061,Putative uncharacterized protein
Mycgr3G109073,Putative uncharacterized protein
Mycgr3G109076,Putative uncharacterized protein
Mycgr3G109078,Putative uncharacterized protein
Mycgr3G109091,Putative uncharacterized protein
Mycgr3G109095,Putative uncharacterized protein
Mycgr3G109098,Putative uncharacterized protein
Mycgr3G109100,Putative P450 monooxygenase
Mycgr3G109102,Putative uncharacterized protein
Mycgr3G109107,Putative uncharacterized protein
Mycgr3G109111,Glucose-methanol-choline oxidoreductase
Mycgr3G109112,Putative uncharacterized protein
Mycgr3G109115,Putative uncharacterized protein
Mycgr3G109122,"Secreted peptidase S8, subtilisin-related protease"
Mycgr3G109128,Putative uncharacterized protein
Mycgr3G109129,Putative uncharacterized protein
Mycgr3G109136,Putative uncharacterized protein
Mycgr3G109137,Putative uncharacterized protein
Mycgr3G109139,Putative uncharacterized protein
Mycgr3G109145,Putative uncharacterized protein
Mycgr3G109152,Putative uncharacterized protein
Mycgr3G109154,Putative uncharacterized protein
Mycgr3G109156,Putative uncharacterized protein
Mycgr3G109158,Putative uncharacterized protein
Mycgr3G109163,Putative uncharacterized protein
Mycgr3G109168,Putative uncharacterized protein
Mycgr3G109172,Vacuolar protein sorting-associated protein Vps5
Mycgr3G109181,Putative uncharacterized protein
Mycgr3G109184,Putative uncharacterized protein
Mycgr3G109185,Putative uncharacterized protein
Mycgr3G109186,"NCR1, Niemann-pick type C"
Mycgr3G109190,Putative uncharacterized protein
Mycgr3G109196,Putative uncharacterized protein
Mycgr3G109208,General negative regulator of transcription subunit 4
Mycgr3G109211,Putative uncharacterized protein
Mycgr3G109215,Putative uncharacterized protein
Mycgr3G109219,Putative uncharacterized protein
Mycgr3G109224,Putative uncharacterized protein
Mycgr3G109235,Putative uncharacterized protein
Mycgr3G109237,Putative uncharacterized protein
Mycgr3G109240,Putative uncharacterized protein
Mycgr3G109241,"ERG24, C-14 sterol reductase"
Mycgr3G109248,Putative uncharacterized protein
Mycgr3G109253,Putative uncharacterized protein
Mycgr3G109254,Putative uncharacterized protein
Mycgr3G109261,Putative uncharacterized protein
Mycgr3G109266,Putative uncharacterized protein
Mycgr3G109268,Putative uncharacterized protein
Mycgr3G109269,Putative uncharacterized protein
Mycgr3G109272,Putative uncharacterized protein
Mycgr3G109275,Aflatoxin regulatory protein
Mycgr3G109278,Putative uncharacterized protein
Mycgr3G109282,PWP1 periodic tryptophan protein
Mycgr3G109284,Putative uncharacterized protein
Mycgr3G109288,Putative uncharacterized protein
Mycgr3G109292,Putative uncharacterized protein
Mycgr3G109293,Putative uncharacterized protein
Mycgr3G109294,Putative uncharacterized protein
Mycgr3G109295,Putative uncharacterized protein
Mycgr3G109296,Putative uncharacterized protein
Mycgr3G109299,Putative uncharacterized protein
Mycgr3G109300,Putative uncharacterized protein
Mycgr3G109310,Putative uncharacterized protein
Mycgr3G109313,Putative uncharacterized protein
Mycgr3G109314,Putative uncharacterized protein
Mycgr3G109316,Putative uncharacterized protein
Mycgr3G109321,Putative uncharacterized protein
Mycgr3G109328,Putative uncharacterized protein
Mycgr3G109332,Putative uncharacterized protein
Mycgr3G109336,Putative uncharacterized protein
Mycgr3G10934,Putative uncharacterized protein
Mycgr3G109341,Putative uncharacterized protein
Mycgr3G109342,Putative uncharacterized protein
Mycgr3G109344,Glutaminase A L-glutamine amidohydrolase
Mycgr3G109345,Putative uncharacterized protein
Mycgr3G109348,Putative uncharacterized protein
Mycgr3G109356,Putative uncharacterized protein
Mycgr3G109370,Putative uncharacterized protein
Mycgr3G109371,Putative uncharacterized protein
Mycgr3G109373,Putative uncharacterized protein
Mycgr3G109375,Putative uncharacterized protein
Mycgr3G109386,Putative uncharacterized protein
Mycgr3G109387,Putative uncharacterized protein
Mycgr3G109391,Putative uncharacterized protein
Mycgr3G109392,Putative uncharacterized protein GLN3p
Mycgr3G109393,Putative uncharacterized protein
Mycgr3G109402,Putative uncharacterized protein
Mycgr3G109408,Putative uncharacterized protein
Mycgr3G109415,Putative uncharacterized protein
Mycgr3G109418,Putative uncharacterized protein
Mycgr3G109419,Putative ABC/SMC5 protein
Mycgr3G10942,Putative uncharacterized protein
Mycgr3G109426,Putative uncharacterized protein
Mycgr3G109427,RCC1 domain and calcium binding domain-containing protein
Mycgr3G109428,Putative ABC transporter
Mycgr3G109435,Proteoglycan-like protein
Mycgr3G109438,Putative uncharacterized protein
Mycgr3G109439,Putative uncharacterized protein
Mycgr3G109442,Putative uncharacterized protein
Mycgr3G109444,Putative uncharacterized protein
Mycgr3G109450,Phosphogluconolactonase
Mycgr3G109451,Putative uncharacterized protein
Mycgr3G109455,Putative uncharacterized protein
Mycgr3G109456,Putative uncharacterized protein
Mycgr3G109462,Putative uncharacterized protein
Mycgr3G109465,Putative uncharacterized protein
Mycgr3G109480,Putative uncharacterized protein
Mycgr3G109481,Putative uncharacterized protein
Mycgr3G109489,Putative uncharacterized protein
Mycgr3G109491,Putative uncharacterized protein
Mycgr3G109501,Putative uncharacterized protein
Mycgr3G109512,Putative uncharacterized protein
Mycgr3G109515,Putative uncharacterized protein
Mycgr3G109516,Putative uncharacterized protein
Mycgr3G109517,Putative uncharacterized protein
Mycgr3G109520,Putative alpha-mannosidase I
Mycgr3G109523,Ca2+/calmodulin-dependent protein kinase
Mycgr3G109524,Putative uncharacterized protein
Mycgr3G109529,Putative uncharacterized protein
Mycgr3G109530,Putative uncharacterized protein
Mycgr3G109531,Putative uncharacterized protein
Mycgr3G109538,Putative uncharacterized protein
Mycgr3G109542,Putative uncharacterized protein
Mycgr3G109550,Putative uncharacterized protein
Mycgr3G109553,Putative uncharacterized protein
Mycgr3G109560,Putative uncharacterized protein
Mycgr3G109561,Putative uncharacterized protein
Mycgr3G109571,Putative uncharacterized protein
Mycgr3G109573,Putative uncharacterized protein
Mycgr3G109574,Putative uncharacterized protein
Mycgr3G109580,Putative uncharacterized protein
Mycgr3G109581,Putative uncharacterized protein
Mycgr3G109582,Putative uncharacterized protein
Mycgr3G109583,Putative uncharacterized protein
Mycgr3G109593,Putative uncharacterized protein
Mycgr3G109611,Putative uncharacterized protein
Mycgr3G109619,RSC complex protein
Mycgr3G109621,Putative uncharacterized protein
Mycgr3G109622,Putative uncharacterized protein
Mycgr3G109625,Putative uncharacterized protein
Mycgr3G109626,Putative uncharacterized protein
Mycgr3G109629,Putative uncharacterized protein
Mycgr3G109632,Putative uncharacterized protein
Mycgr3G109644,Putative uncharacterized protein
Mycgr3G109648,Putative uncharacterized protein
Mycgr3G109649,Putative uncharacterized protein
Mycgr3G109652,Putative uncharacterized protein
Mycgr3G109656,Putative uncharacterized protein
Mycgr3G109660,Putative uncharacterized protein
Mycgr3G109666,Putative uncharacterized protein
Mycgr3G109668,Putative uncharacterized protein
Mycgr3G109679,Putative uncharacterized protein
Mycgr3G109694,Putative uncharacterized protein
Mycgr3G109703,Putative major facilitator superfamily transporter
Mycgr3G109704,Putative uncharacterized protein
Mycgr3G109706,Putative uncharacterized protein
Mycgr3G109708,Putative uncharacterized protein
Mycgr3G109710,Putative uncharacterized protein
Mycgr3G109711,Putative uncharacterized protein
Mycgr3G109714,Putative uncharacterized protein
Mycgr3G109716,Putative uncharacterized protein
Mycgr3G109721,Putative uncharacterized protein
Mycgr3G109725,Putative uncharacterized protein
Mycgr3G109731,Putative uncharacterized protein
Mycgr3G109733,Putative uncharacterized protein
Mycgr3G109735,Putative uncharacterized protein
Mycgr3G109741,Putative uncharacterized protein
Mycgr3G109742,Putative uncharacterized protein
Mycgr3G109759,Serine carboxypeptidase
Mycgr3G109761,Putative uncharacterized protein
Mycgr3G109763,Putative uncharacterized protein
Mycgr3G109766,Putative uncharacterized protein
Mycgr3G109769,Putative uncharacterized protein
Mycgr3G109771,Putative uncharacterized protein
Mycgr3G109777,Putative uncharacterized protein
Mycgr3G109786,Putative uncharacterized protein
Mycgr3G109795,Putative uncharacterized protein
Mycgr3G109805,Putative uncharacterized protein
Mycgr3G109813,Putative uncharacterized protein
Mycgr3G109818,Putative uncharacterized protein
Mycgr3G109829,Putative uncharacterized protein
Mycgr3G109842,Putative uncharacterized protein
Mycgr3G109847,Putative uncharacterized protein
Mycgr3G109848,Putative uncharacterized protein
Mycgr3G109856,Putative uncharacterized protein
Mycgr3G109857,Putative uncharacterized protein
Mycgr3G109863,Putative uncharacterized protein
Mycgr3G109866,Putative uncharacterized protein
Mycgr3G109870,Putative uncharacterized protein
Mycgr3G109873,Putative uncharacterized protein
Mycgr3G109874,Putative uncharacterized protein
Mycgr3G109887,Putative uncharacterized protein
Mycgr3G109897,Putative uncharacterized protein
Mycgr3G109901,Putative uncharacterized protein
Mycgr3G109902,Putative uncharacterized protein
Mycgr3G109907,Putative uncharacterized protein
Mycgr3G109911,Putative uncharacterized protein
Mycgr3G109914,Putative uncharacterized protein
Mycgr3G109919,Putative uncharacterized protein
Mycgr3G109922,Putative uncharacterized protein
Mycgr3G109924,CSN3 COP9 constitutive
Mycgr3G109934,Putative uncharacterized protein
Mycgr3G109942,Putative uncharacterized protein
Mycgr3G109944,Putative uncharacterized protein
Mycgr3G109945,Putative uncharacterized protein CDC7
Mycgr3G109947,Putative uncharacterized protein
Mycgr3G10995,"Ribosomal small subunit Rsm22, mitochondria"
Mycgr3G109954,Putative uncharacterized protein
Mycgr3G109961,Putative uncharacterized protein
Mycgr3G109965,Putative uncharacterized protein
Mycgr3G109968,Putative uncharacterized protein
Mycgr3G109969,Putative uncharacterized protein
Mycgr3G109970,Putative uncharacterized protein
Mycgr3G109971,"Serine/threonine protein kinase, CMGC family"
Mycgr3G109977,Putative uncharacterized protein
Mycgr3G109984,Putative uncharacterized protein
Mycgr3G109986,6-PHOSPHOGLUCONATE dehydrogenase
Mycgr3G109989,Putative uncharacterized protein
Mycgr3G109990,Response regulator receiver SKN7p
Mycgr3G109991,Putative uncharacterized protein
Mycgr3G109992,Putative uncharacterized protein
Mycgr3G109995,Putative uncharacterized protein
Mycgr3G109999,Putative uncharacterized protein
Mycgr3G110002,Putative uncharacterized protein
Mycgr3G110004,Putative uncharacterized protein
Mycgr3G110009,Putative uncharacterized protein
Mycgr3G110011,Putative uncharacterized protein
Mycgr3G110012,Putative uncharacterized protein
Mycgr3G110017,Putative uncharacterized protein
Mycgr3G110020,Putative uncharacterized protein
Mycgr3G110027,Putative uncharacterized protein
Mycgr3G110040,Putative uncharacterized protein
Mycgr3G110044,Major facilitator superfamily transporter
Mycgr3G110047,Aspartyl protease
Mycgr3G110048,Putative uncharacterized protein
Mycgr3G110052,Putative uncharacterized protein
Mycgr3G110058,Putative uncharacterized protein
Mycgr3G110059,Putative uncharacterized protein
Mycgr3G110066,Putative uncharacterized protein
Mycgr3G110071,Putative uncharacterized protein
Mycgr3G110075,Putative uncharacterized protein
Mycgr3G110076,Putative uncharacterized protein
Mycgr3G110078,Putative uncharacterized protein
Mycgr3G110080,Putative uncharacterized protein
Mycgr3G110081,Putative uncharacterized protein
Mycgr3G110086,Putative uncharacterized protein
Mycgr3G110088,Putative uncharacterized protein
Mycgr3G110091,Putative uncharacterized protein
Mycgr3G110093,Putative uncharacterized protein
Mycgr3G110096,Putative uncharacterized protein
Mycgr3G110099,Putative uncharacterized protein
Mycgr3G110106,Putative uncharacterized protein
Mycgr3G11011,Putative uncharacterized protein
Mycgr3G110110,Putative uncharacterized protein
Mycgr3G110121,Putative uncharacterized protein
Mycgr3G110138,Putative uncharacterized protein
Mycgr3G110139,Bmh2-like protein
Mycgr3G110144,Putative uncharacterized protein
Mycgr3G110145,Putative uncharacterized protein
Mycgr3G110147,Putative uncharacterized protein
Mycgr3G110148,Putative uncharacterized protein
Mycgr3G110152,Putative uncharacterized protein
Mycgr3G110156,Putative uncharacterized protein
Mycgr3G110159,Putative uncharacterized protein
Mycgr3G110160,Putative uncharacterized protein
Mycgr3G110162,Putative uncharacterized protein
Mycgr3G110178,Secreted FAD-dependent oxidoreductase
Mycgr3G110179,Putative P450 monooxygenase
Mycgr3G110181,Putative uncharacterized protein
Mycgr3G110184,Putative uncharacterized protein
Mycgr3G110187,Putative geranylgeranyl transferase
Mycgr3G110190,Putative uncharacterized protein
Mycgr3G110207,Putative uncharacterized protein
Mycgr3G110208,Putative uncharacterized protein
Mycgr3G110210,DNAJ domain-containing protein
Mycgr3G110212,Putative uncharacterized protein
Mycgr3G110217,FKBP peptidyl-prolyl cis-trans isomerase
Mycgr3G110220,Putative uncharacterized protein
Mycgr3G110230,Putative uncharacterized protein
Mycgr3G110231,"ERG11, lanosterol 14-alpha-demethylase"
Mycgr3G110233,Putative uncharacterized protein
Mycgr3G110255,Putative uncharacterized protein
Mycgr3G110262,Putative uncharacterized protein
Mycgr3G110267,Putative uncharacterized protein
Mycgr3G110269,Putative uncharacterized protein
Mycgr3G11027,Putative uncharacterized protein
Mycgr3G110270,Putative uncharacterized protein
Mycgr3G110271,Putative uncharacterized protein
Mycgr3G110274,Putative uncharacterized protein
Mycgr3G110276,Putative uncharacterized protein
Mycgr3G110279,Putative FRE ferric reductase-like transmembrane component
Mycgr3G110280,Serine carboxypeptidase
Mycgr3G110283,Putative uncharacterized protein
Mycgr3G110284,Putative uncharacterized protein
Mycgr3G110285,Putative uncharacterized protein
Mycgr3G110289,Glycoside hydrolase
Mycgr3G110296,Putative uncharacterized protein
Mycgr3G110299,Putative uncharacterized protein
Mycgr3G110300,Putative uncharacterized protein
Mycgr3G110301,Putative uncharacterized protein
Mycgr3G110308,Putative uncharacterized protein
Mycgr3G110313,Putative uncharacterized protein
Mycgr3G110319,Putative uncharacterized protein
Mycgr3G11032,Putative uncharacterized protein
Mycgr3G110320,Acidic nuclear protein
Mycgr3G110326,Putative uncharacterized protein
Mycgr3G110329,Putative uncharacterized protein
Mycgr3G110333,Putative uncharacterized protein
Mycgr3G110344,Putative uncharacterized protein
Mycgr3G110348,Putative uncharacterized protein
Mycgr3G110349,Putative uncharacterized protein
Mycgr3G110360,Putative uncharacterized protein
Mycgr3G110366,Peptidase M24
Mycgr3G110369,Putative uncharacterized protein
Mycgr3G110384,Putative uncharacterized protein
Mycgr3G110385,Putative uncharacterized protein
Mycgr3G110386,Putative uncharacterized protein
Mycgr3G110387,Putative uncharacterized protein
Mycgr3G110389,Putative uncharacterized protein
Mycgr3G110390,Putative uncharacterized protein
Mycgr3G110395,Putative uncharacterized protein
Mycgr3G110399,Putative uncharacterized protein
Mycgr3G110400,Putative uncharacterized protein
Mycgr3G110403,Putative P450 monooxygenase
Mycgr3G110409,Putative uncharacterized protein
Mycgr3G110410,Putative uncharacterized protein
Mycgr3G110412,Putative uncharacterized protein
Mycgr3G110417,Carboxylesterase/lipase/ esterase
Mycgr3G110421,Putative uncharacterized protein
Mycgr3G110427,"Nucleosome remodeling complex, CAF-I subunit"
Mycgr3G110431,Putative uncharacterized protein
Mycgr3G110435,Putative uncharacterized protein
Mycgr3G110436,Putative uncharacterized protein
Mycgr3G110438,Putative uncharacterized protein
Mycgr3G110440,Putative uncharacterized protein
Mycgr3G110449,Putative uncharacterized protein
Mycgr3G110450,Putative uncharacterized protein
Mycgr3G110455,Putative uncharacterized protein
Mycgr3G110457,Putative uncharacterized protein
Mycgr3G110461,Putative uncharacterized protein
Mycgr3G110462,"LYS9, Saccharopine dehydrogenase, lysine biosynthesis pathway"
Mycgr3G110463,Putative uncharacterized protein
Mycgr3G110466,Putative uncharacterized protein
Mycgr3G110474,Putative uncharacterized protein
Mycgr3G110481,Putative uncharacterized protein
Mycgr3G110482,Putative uncharacterized protein
Mycgr3G110483,Putative uncharacterized protein
Mycgr3G110490,Putative uncharacterized protein
Mycgr3G110492,Putative uncharacterized protein
Mycgr3G110502,Putative uncharacterized protein
Mycgr3G110503,Putative uncharacterized protein
Mycgr3G110504,Putative uncharacterized protein
Mycgr3G110505,Putative uncharacterized protein
Mycgr3G110506,Putative uncharacterized protein
Mycgr3G110511,Putative uncharacterized protein
Mycgr3G110515,Putative uncharacterized protein
Mycgr3G110516,Putative uncharacterized protein
Mycgr3G110524,Putative uncharacterized protein
Mycgr3G110529,Putative uncharacterized protein
Mycgr3G110531,Putative uncharacterized protein
Mycgr3G110539,Putative uncharacterized protein
Mycgr3G110557,Putative uncharacterized protein
Mycgr3G110573,"Acyltransferase, class 3"
Mycgr3G110574,Putative uncharacterized protein
Mycgr3G110575,Putative uncharacterized protein
Mycgr3G110580,Putative uncharacterized protein
Mycgr3G110581,Putative uncharacterized protein
Mycgr3G110582,Putative uncharacterized protein
Mycgr3G110592,Deacylase-like protein
Mycgr3G110595,Putative uncharacterized protein
Mycgr3G110597,Alkaline phosphatase
Mycgr3G110605,Putative uncharacterized protein
Mycgr3G110613,Putative uncharacterized protein
Mycgr3G110616,Putative ABC transporter
Mycgr3G110625,Putative uncharacterized protein
Mycgr3G110629,"ERG7, lanosterol synthase"
Mycgr3G110632,AMP-extracellular domain-containing protein
Mycgr3G110633,Putative uncharacterized protein
Mycgr3G110635,Putative uncharacterized protein
Mycgr3G110636,Putative uncharacterized protein
Mycgr3G110638,Putative uncharacterized protein
Mycgr3G110642,Putative uncharacterized protein
Mycgr3G110645,Putative uncharacterized protein
Mycgr3G110650,Putative uncharacterized protein
Mycgr3G110654,Putative uncharacterized protein
Mycgr3G110666,Putative uncharacterized protein
Mycgr3G110672,Putative uncharacterized protein
Mycgr3G110683,Ribose 5-phosphate isomerase A
Mycgr3G110699,Putative uncharacterized protein
Mycgr3G110701,Putative uncharacterized protein
Mycgr3G110702,Nuf2 like protein
Mycgr3G110705,Putative uncharacterized protein
Mycgr3G110715,Putative uncharacterized protein
Mycgr3G110722,Putative uncharacterized protein
Mycgr3G110727,Putative uncharacterized protein
Mycgr3G110734,Putative uncharacterized protein
Mycgr3G110743,Putative uncharacterized protein
Mycgr3G110754,Putative uncharacterized protein
Mycgr3G110756,Putative uncharacterized protein
Mycgr3G110759,Putative uncharacterized protein
Mycgr3G11076,Putative uncharacterized protein
Mycgr3G110760,Putative uncharacterized protein
Mycgr3G110764,Putative uncharacterized protein
Mycgr3G110767,Putative uncharacterized protein
Mycgr3G110773,Putative P450 monooxygenase
Mycgr3G110775,"Histone acetyltransferase, MYST family"
Mycgr3G110776,Putative uncharacterized protein
Mycgr3G110783,Putative uncharacterized protein
Mycgr3G110785,Putative uncharacterized protein
