variant,T,D,delta_med,lo,hi,P_neutral,ok
"primary: plain ztGEM, default NGAM",15,0,0.0,0.0,0.0,1.0,True
"primary: plain ztGEM, default NGAM",21,0,0.0,-1.6943831413568786e-13,1.3795868868255465e-13,1.0,True
"primary: plain ztGEM, default NGAM",27,0,0.0,-1.3274422171744164e-13,1.2195449453334122e-13,1.0,True
"primary: plain ztGEM, default NGAM",15,2,0.0,0.0,0.0,1.0,True
"primary: plain ztGEM, default NGAM",21,2,0.0,-1.327693549186918e-15,1.0963122194315382e-14,1.0,True
"primary: plain ztGEM, default NGAM",27,2,0.0,-1.9100833974162302e-13,1.310718409017921e-13,1.0,True
sensitivity: NGAM x0.5,15,0,0.0,0.0,0.0,1.0,True
sensitivity: NGAM x0.5,21,0,0.0,-8.04624525073422e-14,9.681058921655475e-14,1.0,True
sensitivity: NGAM x0.5,27,0,0.0,-2.6114634732081825e-14,3.193779985596583e-14,1.0,True
sensitivity: NGAM x0.5,15,2,0.0,0.0,0.0,1.0,True
sensitivity: NGAM x0.5,21,2,0.0,0.0,0.0,1.0,True
sensitivity: NGAM x0.5,27,2,0.0,-1.3907661700041056e-13,1.0275438112265065e-13,1.0,True
sensitivity: NGAM x2,15,0,0.0,0.0,0.0,1.0,True
sensitivity: NGAM x2,21,0,0.0,-3.355253776377102e-13,2.668069973247647e-13,1.0,True
sensitivity: NGAM x2,27,0,0.0,0.0,0.0,1.0,True
sensitivity: NGAM x2,15,2,0.0,-2.3916047898973623e-13,2.8981708072779054e-13,1.0,True
sensitivity: NGAM x2,21,2,0.0,0.0,0.0,1.0,True
sensitivity: NGAM x2,27,2,0.0,-1.3218471567307987e-13,1.3031505641353712e-13,1.0,True
sensitivity: enriched medium,15,0,0.0,-1.1101309374461898e-13,1.152820582387946e-13,1.0,True
sensitivity: enriched medium,21,0,0.0,-1.178011125241629e-13,1.1930639126227376e-13,1.0,True
sensitivity: enriched medium,27,0,0.0,-6.282866216832613e-14,7.000939955465463e-14,1.0,True
sensitivity: enriched medium,15,2,0.0,-1.2215067085497488e-13,1.2880486369407782e-13,1.0,True
sensitivity: enriched medium,21,2,0.0,-1.3005180413863204e-14,1.5121089187106626e-14,1.0,True
sensitivity: enriched medium,27,2,0.0,-2.298566482368097e-13,2.913899062723597e-13,1.0,True
ecZtGEM_full,15,0,-2.84930665808644e-14,,,,True
ecZtGEM_full,21,0,0.0,,,,True
ecZtGEM_full,27,0,0.0,,,,True
ecZtGEM_full,15,2,0.0,,,,True
ecZtGEM_full,21,2,0.0,,,,True
ecZtGEM_full,27,2,6.459947654314193e-15,,,,True
