temp_A,temp_B,mean_diff,sd_diff,lower_95,upper_95,prob_A_gt_B,prob_B_gt_A
15,18,0.49143104799497556,0.18204095536062703,0.1573899616611253,0.8742498019510485,1,0
15,21,0.2683497248376999,0.13525829259303135,0.05436999094485593,0.5736938033330571,1,0
15,24,0.10178599714670687,0.06372983976094103,0.020672549970442742,0.25857262221377164,1,0
15,26,0.22494716077425847,0.12523874998133275,0.043591856358560443,0.5099786300529398,1,0
15,27,0.6722853131856056,0.1682663229076877,0.3741923931874016,1.044938880925976,1,0
15,28,0.3815790138582198,0.14610233786295548,0.1203306137726913,0.6847850173698405,1,0
18,21,-0.2230813231572756,0.1894305649577093,-0.5982713329113273,0.14192448869826338,0.117375,0.882625
18,24,-0.3896450508482685,0.17151905187263114,-0.7515524159727991,-0.07061924481856273,0.00475,0.99525
18,26,-0.26648388722071703,0.19411417357314642,-0.6527010002083482,0.11844822444130096,0.081625,0.918375
18,27,0.18085426519063,0.20325618193058448,-0.20365189311230186,0.5958193275098745,0.82,0.18
18,28,-0.10985203413675554,0.1888532739761015,-0.4793535006999824,0.2527233658359798,0.277375,0.722625
21,24,-0.16656372769099304,0.1275774185914221,-0.44463625919469973,0.04780940530261986,0.075625,0.924375
21,26,-0.04340256406344142,0.15437670317351035,-0.3505466960222032,0.27185445023213467,0.3805,0.6195
21,27,0.40393558834790555,0.1777918499572094,0.07579460587989828,0.7903383044519149,0.992875,0.007125
21,28,0.11322928902051992,0.15938051291806793,-0.1981613840010923,0.42049935465178434,0.766375,0.233625
24,26,0.12316116362755167,0.123169073680803,-0.08366526783569428,0.398032597618633,0.856625,0.143375
24,27,0.5704993160388986,0.15973950650354696,0.2937319829840114,0.9306751614999086,0.999875,1.25e-4
24,28,0.27979301671151297,0.13501750325510664,0.032894050881032685,0.5492335753843959,0.98825,0.01175
26,27,0.4473381524113471,0.1821631960491858,0.10797466115957428,0.8338808429332183,0.994625,0.005375
26,28,0.15663185308396152,0.1615190498850169,-0.15876116319476347,0.4744966207333867,0.838875,0.161125
27,28,-0.2907062993273857,0.176193456838563,-0.6738837295991781,0.025365183778288038,0.037125,0.962875
