temperature,I_mean,I_median,I_lower,I_upper,prob_synergy,prob_antagonism,interpretation
15,-0.0486913148977838,-0.04675630444173494,-0.08743687877364965,-0.021067883983746614,1,0,Strong synergy
18,0.072697466681146,0.0740234843681633,-0.017410520228217367,0.15240243034614961,0.057125,0.942875,Moderate antagonism
21,0.02538802498671849,0.024807748623574363,-0.05079614043851525,0.10403112284541881,0.2645,0.7355,Additive / inconclusive
24,2.998593437045577e-20,0,-1.5860328923216524e-17,1.5860328923216524e-17,0.08625,0.088625,Additive / inconclusive
26,0.006466611394681583,0.005335238221283093,-0.06338315602277801,0.08033892072021113,0.4385,0.5615,Additive / inconclusive
27,0.1464761532271305,0.14954797523414376,0.07617117357634162,0.19804366613431534,0.001,0.999,Strong antagonism
28,0.07259188420936592,0.07430053331223066,0.0035887649199081613,0.13315932740996372,0.02025,0.97975,Strong antagonism
