temperature,n_mean,n_sd,n_median,n_lower,n_upper
15,0.48212362157803984,0.09903617029744485,0.4771150288028559,0.2990549050081115,0.6901249674592105
18,0.8567459654455649,0.31738061880934015,0.7740713794646945,0.4998834412038318,1.7122852861397184
21,0.7708721660178032,0.17286587286971658,0.7415031039369178,0.516693297261809,1.1865938043265527
24,0.9506021170053518,0.1671494654234157,0.9323302099995747,0.6776964538207816,1.3310076563170503
26,0.7018017623222773,0.14910731017288045,0.6792113869082026,0.47612734002792756,1.0506821618882218
27,2.0364805878852814,0.8241433698732163,1.9720541177792974,0.6719778982955695,3.793803367099185
28,1.3204320638175957,0.48588812647813695,1.22931385099804,0.6407891578251561,2.4783033573107263
