parameter,Estimate,Est.Error,Q2.5,Q97.5
r0_Intercept,0.036786029742417826,0.001977129420668756,0.03243255481001586,0.04036521831171427
r0_temperature18,0.0093895384133314,0.003875899139872398,0.002221773888143787,0.017461348253833324
r0_temperature21,0.015571706068041402,0.0037748678769148414,0.008539337927683242,0.023350847150195298
r0_temperature24,0.026162744106958884,0.003612699206160915,0.019637640714291922,0.033823653334225365
r0_temperature26,0.01336195026754937,0.0037492976469569975,0.0063417529458831955,0.021204417082774218
r0_temperature27,0.002568996303567685,0.0022362266698732346,8.687585318532008e-5,0.008410937014193327
r0_temperature28,0.0030091920516162455,0.0024638711155023497,1.0186322042324702e-4,0.009186503136428667
ec50_Intercept,1.1424737964249583,0.2573511457498964,0.6908422658478801,1.7012224093747697
ec50_temperature18,2.5317839703983434,1.4311230759085816,0.5870190035327169,6.06651022749429
ec50_temperature21,0.9970328098674396,0.6041652235680248,0.1801398551731552,2.4856762710357905
ec50_temperature24,0.2894988524126627,0.17301881402760572,0.0628758154597678,0.7030638145554537
ec50_temperature26,0.8010145133792641,0.5493135237780037,0.13342707910685878,2.218576527570377
ec50_temperature27,4.395269717832283,2.2353691297589937,1.9682040564012988,10.030338267085092
ec50_temperature28,1.6356257153778022,0.8264266008762514,0.4446162485196408,3.4781036492972124
n_Intercept,0.48212362157803984,0.09903617029744485,0.2990549050081115,0.6901249674592105
n_temperature18,0.37462234386752513,0.29974334115355283,0.1072862516475182,1.2067708498359133
n_temperature21,0.2887485444397633,0.16022822628681713,0.10741755636601799,0.6968729681551719
n_temperature24,0.46847849542731196,0.18590925841755185,0.16188205556504306,0.8802869546368404
n_temperature26,0.21967814074423753,0.11898299918772451,0.10294756245812911,0.5414232825004235
n_temperature27,1.5543569663072414,0.8162490613736605,0.21549993549570035,3.2870363395248456
n_temperature28,0.8383084422395558,0.48182450721939935,0.1620449218880569,1.980541071261868
