temperature,conc,n,mean_rate,se_rate,conc_plot
15,0,3,0.042024045105163034,0.004657800776667324,0.03
15,0.06,3,0.03317892331328727,0.0020934293771609214,0.06
15,0.12,3,0.035384323243769264,0.0031533157543405434,0.12
15,0.25,3,0.03643034747659827,0.0031542147457514443,0.25
15,0.5,3,0.023333164626629897,0.006064614494049719,0.5
15,1,2,0.015360035011448829,0.00549192023797727,1
15,2,3,0.015267288526054745,0.003048111853085422,2
15,4,2,0.0134835626718055,0.0031134924214543994,4
18,0,3,0.04726302598429883,0.0021453903609431504,0.03
18,0.06,3,0.042727347456748166,9.342015913903848e-4,0.06
18,0.12,3,0.0431058440530069,0.0018730964069228026,0.12
18,0.25,3,0.038813961816069,0.0014711132043856575,0.25
18,0.5,3,0.03571001029740213,8.871673973828209e-4,0.5
18,1,3,0.030878956039960135,0.002530749999867313,1
18,2,3,0.031045500585111133,0.00305111006267091,2
18,4,3,0.0249820210227342,0.0016925640066277772,4
21,0,3,0.05244143789292817,0.0038052151252622873,0.03
21,0.06,3,0.051970904585704567,0.0028949716052612813,0.06
21,0.12,3,0.0438126623058241,9.576868335083147e-4,0.12
21,0.25,3,0.04185590673651507,0.0016938347144556333,0.25
21,0.5,3,0.03678265616342083,0.0028044635079472607,0.5
21,1,3,0.03269338714172793,0.0031618770033695525,1
21,2,3,0.0264855804888303,6.766651165145066e-4,2
21,4,3,0.022757290539646834,0.002031781900689046,4
24,0,3,0.0646691034468157,0.0028100288734385676,0.03
24,0.06,3,0.0597786197402039,0.0012716558264451664,0.06
24,0.12,3,0.06487794972923566,0.0135833140371382,0.12
24,0.25,3,0.0484899720412682,0.002115157719874996,0.25
24,0.5,3,0.03820861637911123,0.0013592988098077082,0.5
24,1,3,0.0383937518509707,0.002911482084127458,1
24,2,3,0.020949492673341966,0.0020260400664467554,2
24,4,3,0.018193999077435668,7.357122079084105e-4,4
26,0,3,0.05385744126148953,0.0055319740027879125,0.03
26,0.06,2,0.045052614968075805,0.0067968243208420985,0.06
26,0.12,3,0.0352246290518609,0.004882007067388778,0.12
26,0.25,3,0.0442922812311381,0.008138649435763647,0.25
26,0.5,3,0.039255036111011665,0.01038631394182952,0.5
26,1,3,0.030447130606252534,0.001015314857982326,1
26,2,3,0.021300728008252535,7.85411598095229e-4,2
26,4,3,0.024356842438370302,0.002365437785497046,4
27,0,3,0.04135065878488307,0.0018567183018462048,0.03
27,0.06,2,0.03411654929445995,0.013990653171235148,0.06
27,0.12,3,0.03876730423093257,0.0015818472969928844,0.12
27,0.25,2,0.0385448239202507,0.0012411214285220973,0.25
27,0.5,3,0.033620321361543165,0.0022782179527270174,0.5
27,1,2,0.0397603004054662,0.0080040723278158,1
27,2,3,0.03305769652009077,0.007107461381635726,2
27,4,2,0.02181311821945315,0.005954370891404148,4
28,0,3,0.0355010283226389,0.0010714093321877894,0.03
28,0.06,1,0.0383345609514697,NA,0.06
28,0.12,2,0.036579065467989946,0.004727250148202852,0.12
28,0.25,2,0.0367324855343789,0.004735964777678399,0.25
28,0.5,3,0.03347473952447883,0.0031788883700817707,0.5
28,1,2,0.029733222954607702,0.0010666164506968002,1
28,2,3,0.022665654516132634,0.002791923118067978,2
28,4,3,0.016865517581137034,0.0014634593094196146,4
