model,elpd_diff,se_diff,elpd_loo,se_elpd_loo,p_loo,se_p_loo,looic,se_looic
fit_ec50only,0,0,549.185860089813,18.4495189669804,17.746441667722,5.06821746235523,-1098.37172017963,36.8990379339609
fit_hill,-5.26498147653197,3.38387625710584,543.92087861328,16.7957257662582,21.754934206543,5.23032382819451,-1087.84175722656,33.5914515325163
fit_null,-10.6084779556465,3.69378329877851,538.577382134166,17.5817393342953,14.055813220887,4.39940797945603,-1077.15476426833,35.1634786685905
fit_nonly,-16.4152722065853,4.74472725832327,532.770587883227,16.4000077606699,18.301206734075,4.50580439448475,-1065.54117576645,32.8000155213398
