UniqueCount	AmbigCount
808	0
15	0
195	0
7	0
187	0
61	0
71	0
0	0
88	0
170	0
121	0
18	0
1559	0
0	0
31	0
248	0
183	0
65	0
47	0
27	0
90	0
414	0
8	0
0	0
120	0
0	0
2765	0
0	0
9	0
21	0
141	0
54	0
1027	0
26	0
61	0
1	0
23	0
440	0
108	0
48	0
786	0
24	0
83	0
947	0
921	0
53	0
75	0
0	0
2071	0
244	0
812	0
172	0
27	0
47	0
12	0
198	0
73	0
2	0
417	0
90	0
1639	0
282	0
19	0
313	0
0	0
0	0
52	0
147	0
47	0
0	0
0	0
95	0
535	0
192	0
2648	0
1108	0
105	0
65	0
7	0
19	0
8941	0
0	0
629	0
161	0
4006	0
171	0
81	0
908	0
228	0
57	0
222	0
0	0
103	0
716	0
146	0
0	0
0	0
20	0
121	0
37	0
28	0
0	0
375	0
401	0
157	0
404	0
74	0
2	0
0	0
419	0
2494	0
1	0
62	0
303	0
0	3218
0	0
25	0
19	0
0	0
0	0
0	0
18	0
2836	0
0	0
61	0
334	0
63	0
80	0
0	0
115	0
0	0
109	0
0	0
0	0
0	0
0	0
38	0
0	0
22	0
192	0
0	0
214	0
197	0
271	0
122	0
3081	0
398	0
64	0
2002	0
34	0
3274	0
104	0
131	0
9192	0
214	0
2053	0
0	0
48	0
9	0
0	0
329	0
35	0
29	0
86	0
73	0
879	0
0	0
7889	0
11	0
104	0
0	0
227	0
241	0
87	0
81	0
0	0
96	0
293	0
33	0
332	0
72	0
930	0
559	0
102	0
322	0
120	0
39	0
99	0
77	0
315	0
350	0
1696	0
0	0
31	0
0	0
4	0
2584	0
21	0
239	0
0	276
187	0
0	0
110	0
38	0
0	0
553	0
0	0
17	0
0	0
0	0
29	0
185	0
1	0
138	0
138	0
2	0
0	0
95	0
21588	0
77	0
146	0
177	0
140	0
110	0
13	0
186	0
0	0
843	0
0	0
135	0
45	0
16	0
266	0
217	0
12	0
533	0
0	0
218	0
595	0
2	0
4	0
78	0
141	0
98	0
0	0
96	0
22	0
0	0
0	0
632	0
17	0
0	0
4027	0
0	0
61	0
147	0
0	0
107	0
57	0
541	0
29	0
798	0
116	0
0	0
45	0
1323	0
146	0
12	0
272	0
0	0
0	0
322	0
217	0
0	0
82	0
25	0
113	0
17	0
71	0
21	0
19	0
571	0
518	0
11	0
44	0
7	0
241	0
0	0
9	0
6	0
268	0
177	0
3064	0
220	0
307	0
194	0
560	0
89	0
133	0
27	0
55	0
131	0
54	0
601	0
0	0
0	0
69	0
208	0
725	0
19	0
0	0
50	0
278	0
0	0
416	0
94	0
133	0
11	0
1088	0
75	0
12	0
0	0
16	0
0	0
3	0
119	0
527	0
1263	0
11	0
2	0
514	0
25	0
28	0
74	0
1	0
16	0
53	0
0	0
27	0
0	0
134	0
37	0
220	0
308	0
57	0
13	0
36	0
324	0
546	0
40	0
92	0
38	0
0	0
73	0
1817	0
400	0
9	0
239	0
23	0
0	0
24	0
22	0
1056	0
0	0
2520	0
76	0
541	0
454	0
228	0
0	0
0	0
153	0
0	0
171	0
0	0
660	0
16	0
51	0
18	0
92	0
35	0
143	0
584	0
0	0
50	0
589	0
266	0
499	0
9	0
7	0
339	0
4	0
184	0
97	0
34	0
4364	0
47	0
422	0
657	0
0	0
249	0
8842	0
224	0
82	0
140	0
101	0
100	0
118	0
1	0
37	0
1608	0
694	0
57	0
6	0
364	0
105	0
990	0
13	0
8	0
526	0
1311	0
193	0
33509	0
11	0
25	0
111	0
0	0
46	0
228	0
1064	0
923	0
0	0
24	0
0	0
77	0
635	0
435	0
225	0
53	0
19	0
41	0
1270	0
84	0
2915	0
0	0
279	0
0	0
43	0
104	0
0	0
77	0
0	0
44	0
1354	0
8	0
1695	0
183	0
1	0
360	0
316	0
281	0
276	0
18	0
24	0
0	0
6	0
465	0
0	0
115	0
145	0
0	0
83	0
95	0
212	0
101	0
16	0
5	0
0	0
47	0
271	0
0	0
299	0
10	0
176	0
139	0
388	0
0	0
0	0
293	0
0	0
12	0
264	0
0	0
0	0
70	0
6	0
0	0
249	0
68	0
0	0
17	0
41	0
181	0
13	0
149	0
693	0
10	0
0	0
447	0
47	0
626	0
7	0
5	0
2374	0
292	0
46	0
2340	0
542	0
112	0
66	0
135	0
161	0
210	0
0	0
0	0
0	0
0	0
298	0
60	0
106	0
57	0
88	0
260	0
85	0
185	0
189	0
89	0
0	0
515	0
26	0
717	0
0	0
225	0
42	0
92	0
0	0
156	0
203	0
96	0
41	0
515	0
10	0
413	0
185	0
12	0
87	0
15	0
123	0
27	0
0	0
151	0
340	0
0	0
22	0
291	0
232	0
474	0
142	0
0	0
2378	0
60	0
0	0
7	0
5	0
14	0
0	0
0	0
68	0
155	0
96	0
122	0
259	0
18	0
0	0
0	0
67	0
12	0
994	0
11	0
301	0
33	0
44	0
0	0
0	0
62	0
57	0
11	0
410	0
23	0
0	0
56	0
181	0
439	0
427	0
15	0
0	0
158	0
0	0
0	0
0	0
1506	0
427	0
564	0
69	0
0	0
73	0
39	0
36	0
18	0
21	0
38	0
165	0
0	0
154	0
12	0
122	0
354	0
0	0
0	0
79	0
32	0
299	0
140	0
47	0
4131	0
97	0
147	0
40	0
39	0
453	0
8	0
206	0
0	0
79	0
30	0
40	0
0	0
0	0
64	0
4888	0
419	0
158	0
321	0
103	0
123	0
67	0
967	0
7	0
0	0
5	0
516	0
55	0
127	0
306	0
7	0
10	0
43	0
25	0
326	0
236	0
159	0
42	0
60	0
9	0
90	0
2	0
33	0
0	0
57	0
0	0
55	0
16	0
365	0
14	0
58	0
95	0
9	0
111	0
713	0
17	0
0	0
229	0
0	0
0	0
5	0
43	0
102	0
150	0
0	0
136	0
67	0
0	0
440	0
326	0
0	0
0	0
1423	0
138	0
0	0
89	0
3820	0
623	0
339	0
3968	0
8	0
229	0
127	0
0	0
80	0
18	0
0	0
113	0
1129	0
171	0
1691	0
0	0
2507	0
699	0
12	0
317	0
2	0
7	0
49	0
269	0
72	0
16	0
231	0
30	0
0	0
0	0
55	0
0	0
210	0
234	0
123	0
103	0
305	0
108	0
323	0
0	0
84	0
212	0
18	0
661	0
294	0
14	0
0	0
22	0
354	0
0	0
14	0
15	0
10252	0
105	0
285	0
400	0
1479	0
96	0
915	0
39	0
0	0
152	0
281	0
775	0
0	0
430	0
22	0
416	0
19	0
346	0
28	0
432	0
230	0
13	0
226	0
674	0
127	0
1343	0
0	0
529	0
108	0
0	0
90	0
172	0
0	0
0	0
72	0
65	0
10	0
170	0
28	0
612	0
15	0
86	0
32	0
12	0
3488	0
757	0
5016	0
0	0
793	0
48	0
114	0
0	0
126	0
99	0
24	0
154	0
362	0
1001	0
570	0
277	0
0	0
57	0
586	0
0	0
96	0
18	0
0	0
50	0
0	0
0	0
474	0
93	0
120	0
3351	0
232	0
0	0
501	0
163	0
0	0
439	0
244	0
0	0
236	0
45	0
44	0
1716	0
0	0
442	0
432	0
0	0
138	0
74	0
21	0
0	0
0	0
164	0
1936	0
8	0
30	0
0	0
13	0
148	0
0	0
101	0
0	0
293	0
43	0
79	0
0	0
214	0
16	0
0	0
17	0
0	0
7	0
419	0
5	0
0	0
18	0
0	0
0	0
4	0
42	0
3	0
0	0
543	0
59	0
71	0
39	0
0	0
369	0
645	0
12	0
355	0
76	0
15	0
171	0
165	0
9	0
48	0
224	0
26	0
359	0
2197	0
0	0
759	0
0	0
40	0
32	0
15	0
31	0
0	0
16	0
45	0
168	0
1664	0
539	0
144	0
45	0
0	0
1312	0
275	0
63	0
11	0
128	0
383	0
4	0
797	0
295	0
34	0
0	0
455	0
170	0
111	0
18	0
227	0
204	0
14	0
0	0
234	0
0	0
267	0
1938	0
24	0
0	0
0	0
729	0
36	0
399	0
2107	0
382	0
0	0
0	0
65	0
330	0
33	0
45	0
185	0
0	0
46	0
492	0
4	0
2358	0
43	0
5	0
281	0
0	0
27	0
78	0
0	0
165	0
1	6
227	0
554	0
2	0
253	0
1835	0
215	0
34	0
405	0
10	0
202	0
16	0
46	0
110	0
54	0
145	0
113	0
76	0
360	0
0	0
54	0
506	0
125	0
7	0
54	0
102	0
635	0
3629	0
0	0
47	0
41	0
116	0
0	0
81	0
0	0
0	0
0	0
0	0
300	0
15	0
0	3218
97	0
268	0
125	0
0	0
110	0
310	0
6374	0
14	0
0	0
22	0
8	0
557	0
27	0
0	0
257	0
104	0
54	0
487	0
131	0
0	0
128	0
112	0
25	0
189	0
0	0
109	0
198	0
150	0
383	0
120	0
6343	0
13	0
568	0
152	0
351	0
3	0
0	0
4	0
34	0
338	0
1849	0
312	0
82	0
0	0
5	0
58	0
397	0
63	0
8	0
2	0
26	0
513	0
204	0
0	0
107	0
54	0
10	0
