sample,project,temperature_C,prothioconazole_ug_mL,replicate,sequencing_id,group,readable_label,description
12129_15_0_R1_S9,12129,15,0,R1,S9,15_0,15C_0ug_rep1,"15°C, 0 µg/mL prothioconazole, replicate 1"
12129_15_0_R2_S10,12129,15,0,R2,S10,15_0,15C_0ug_rep2,"15°C, 0 µg/mL prothioconazole, replicate 2"
12129_15_0_R3_S11,12129,15,0,R3,S11,15_0,15C_0ug_rep3,"15°C, 0 µg/mL prothioconazole, replicate 3"
12129_15_0_R4_S12,12129,15,0,R4,S12,15_0,15C_0ug_rep4,"15°C, 0 µg/mL prothioconazole, replicate 4"
12129_15_0_R5_S13,12129,15,0,R5,S13,15_0,15C_0ug_rep5,"15°C, 0 µg/mL prothioconazole, replicate 5"
12129_15_0_R6_S14,12129,15,0,R6,S14,15_0,15C_0ug_rep6,"15°C, 0 µg/mL prothioconazole, replicate 6"
12129_15_0_R7_S15,12129,15,0,R7,S15,15_0,15C_0ug_rep7,"15°C, 0 µg/mL prothioconazole, replicate 7"
12129_15_0_R8_S16,12129,15,0,R8,S16,15_0,15C_0ug_rep8,"15°C, 0 µg/mL prothioconazole, replicate 8"
12129_15_2_R1_S17,12129,15,2,R1,S17,15_2,15C_2ug_rep1,"15°C, 2 µg/mL prothioconazole, replicate 1"
12129_15_2_R2_S18,12129,15,2,R2,S18,15_2,15C_2ug_rep2,"15°C, 2 µg/mL prothioconazole, replicate 2"
12129_15_2_R3_S19,12129,15,2,R3,S19,15_2,15C_2ug_rep3,"15°C, 2 µg/mL prothioconazole, replicate 3"
12129_15_2_R4_S20,12129,15,2,R4,S20,15_2,15C_2ug_rep4,"15°C, 2 µg/mL prothioconazole, replicate 4"
12129_15_2_R5_S21,12129,15,2,R5,S21,15_2,15C_2ug_rep5,"15°C, 2 µg/mL prothioconazole, replicate 5"
12129_15_2_R6_S22,12129,15,2,R6,S22,15_2,15C_2ug_rep6,"15°C, 2 µg/mL prothioconazole, replicate 6"
12129_15_2_R7_S23,12129,15,2,R7,S23,15_2,15C_2ug_rep7,"15°C, 2 µg/mL prothioconazole, replicate 7"
12129_15_2_R8_S24,12129,15,2,R8,S24,15_2,15C_2ug_rep8,"15°C, 2 µg/mL prothioconazole, replicate 8"
12129_21_0_R1_S25,12129,21,0,R1,S25,21_0,21C_0ug_rep1,"21°C, 0 µg/mL prothioconazole, replicate 1"
12129_21_0_R2_S26,12129,21,0,R2,S26,21_0,21C_0ug_rep2,"21°C, 0 µg/mL prothioconazole, replicate 2"
12129_21_0_R3_S27,12129,21,0,R3,S27,21_0,21C_0ug_rep3,"21°C, 0 µg/mL prothioconazole, replicate 3"
12129_21_0_R4_S28,12129,21,0,R4,S28,21_0,21C_0ug_rep4,"21°C, 0 µg/mL prothioconazole, replicate 4"
