gene_id,gene_name,description,EC,KEGG,lfc_drug15,se_drug15,padj_drug15,bm_drug15,lfc_drug21,se_drug21,padj_drug21,bm_drug21,lfc_drug27,se_drug27,padj_drug27,bm_drug27,lfc_temp27v15_c,se_temp27v15_c,padj_temp27v15_c,bm_temp27v15_c,lfc_temp27v21_c,se_temp27v21_c,padj_temp27v21_c,bm_temp27v21_c,lfc_temp21v15_c,se_temp21v15_c,padj_temp21v15_c,bm_temp21v15_c,lfc_int27v15_MLE,lfc_int27v15_shrunk,padj_int27v15,step,tier,in_DE_universe,vst_15_0,vst_15_2,vst_21_0,vst_21_2,vst_27_0,vst_27_2
Mycgr3G32667,,"Serine aminopeptidase, S33",2.3.1.9,map00071;map00072;map00280;map00310;map00362;map00380;map00620;map00630;map00640;map00650;map00720;map00900;map01100;map01110;map01120;map01130;map01200;map01212;map02020,1.11996076648525,0.174074458963116,3.52838654865526e-10,302.20248821332,0.75303415184412,0.178145058263945,5.0703897973711e-05,302.20248821332,-0.181030616052399,0.162368417270738,0.408345405357387,302.20248821332,0.496849939379175,0.17481216739867,0.0096974433978824,302.20248821332,0.467236968750459,0.17230490000252,0.0146084387781554,302.20248821332,0.0118361673130487,0.144050401996734,0.967770106184728,302.20248821332,-1.42190503113851,-1.40044935592755,3.64581030827716e-06,ERG10 acetoacetyl-CoA thiolase,core enzyme,True,8.091936247488304,9.043623453752755,8.113319339275474,8.737800079602133,8.500740597870404,8.300783740324194
Mycgr3G104498,ERG10,Belongs to the thiolase family,2.3.1.9,map00071;map00072;map00280;map00310;map00362;map00380;map00620;map00630;map00640;map00650;map00720;map00900;map01100;map01110;map01120;map01130;map01200;map01212;map02020,-1.2913414519761,0.177444380918139,1.16159003216386e-12,1193.12420266452,-1.2569149400921,0.1827711572326,1.81144231575155e-11,1193.12420266452,-0.45763144464326,0.179016371225835,0.0184843371044892,1193.12420266452,-0.44949150347495,0.177147022853592,0.0220626162579795,1193.12420266452,-0.735846904330333,0.176865677792156,8.42904875267322e-05,1193.12420266452,0.224107805579316,0.148629273671776,0.24077556115385,1193.12420266452,0.745994977027698,0.73574493423605,0.0271159692526629,ERG10 acetoacetyl-CoA thiolase,core enzyme,True,10.675503920110536,9.469626338008457,11.019497315221475,9.77905017352731,10.188528320017468,9.691063170169725
Mycgr3G65302,,Belongs to the thiolase family,2.3.1.9,map00071;map00072;map00280;map00310;map00362;map00380;map00620;map00630;map00640;map00650;map00720;map00900;map01100;map01110;map01120;map01130;map01200;map01212;map02020,1.73384127996166,0.220218893558491,9.543199308982382e-15,1100.00605807459,1.55316556618363,0.231369617356471,2.4387880808658497e-11,1100.00605807459,0.812703146636023,0.243073325326967,0.0003707552586832,1100.00605807459,0.381176973537349,0.218237161502375,0.119772638934958,1100.00605807459,0.657141911875762,0.217932517007381,0.0041234181996399,1100.00605807459,-0.195557523398505,0.17306661409986,0.369398048421875,1100.00605807459,-0.770208018845877,-0.755361294432946,0.0778790089742878,ERG10 acetoacetyl-CoA thiolase,core enzyme,True,9.153513246097218,10.984827540033688,8.975678171813437,10.46183160793657,9.6570429470311,10.585697283771406
Mycgr3G54740,ERG13,"This enzyme condenses acetyl-CoA with acetoacetyl-CoA to form HMG-CoA, which is the substrate for HMG-CoA reductase",2.3.3.10,map00072;map00280;map00650;map00900;map01100;map01110;map01130,-0.674665929758275,0.176202200545444,0.0002641785367926,7521.7858793614,-0.87970993090339,0.182649556423268,3.20114270820584e-06,7521.7858793614,-0.145824147835184,0.162225898549112,0.528209466242656,7521.7858793614,-0.838370511993734,0.179610027438806,1.04768724561291e-05,7521.7858793614,-0.799545229812774,0.179371468301176,2.14175432689324e-05,7521.7858793614,-0.0130363024516774,0.146319618342915,0.964853284481911,7521.7858793614,0.505908970050292,0.498675592866496,0.164477315903988,ERG13 HMG-CoA synthase,core enzyme,True,13.377772073916052,12.69231659554125,13.370266840682362,12.440520291726285,12.4687515133279,12.199108873094373
Mycgr3G64888,HMG1,3-hydroxy-3-methylglutaryl coenzyme A reductase,1.1.1.34,map00900;map01100;map01110;map01130;map04152;map04976,-0.0902000520583961,0.157346615617583,0.661395755732297,664.994002078373,-0.12557783622721,0.163122825599346,0.536301880422374,664.994002078373,0.241946654517959,0.15727948967527,0.221611138427184,664.994002078373,-0.459044803795558,0.163731773958427,0.0112748400775663,664.994002078373,-0.272906059491307,0.16141674196099,0.153088849267465,664.994002078373,-0.136323648355153,0.137779337743653,0.508759714295217,664.994002078373,0.421270396347779,0.415349270368496,0.213388430995698,HMG1/2 HMG-CoA reductase,core enzyme,True,9.688234127290343,9.591548812013702,9.505417711768262,9.38440317327455,9.221835611445687,9.495764077391398
Mycgr3G73816,ERG12,May contribute to the regulation of the isoprenoid and sterol pathway in living cells,2.7.1.36,map00900;map01100;map01110;map01130;map04146,0.379937257339112,0.122629977019599,0.0047950593184059,1195.50633223483,-0.228844759486475,0.126446603319673,0.116193126185809,1195.50633223483,0.0618962751740451,0.119240055861206,0.772840326282716,1195.50633223483,-0.338023805591137,0.126481890014567,0.0181577765985573,1195.50633223483,-0.45725125217109,0.125473858594661,0.0010554240361539,1195.50633223483,0.105109068085626,0.111510299604814,0.564733484786738,1195.50633223483,-0.316604969522353,-0.314273473448104,0.22269335575754,ERG12 mevalonate kinase,core enzyme,True,10.293675196112474,10.66341783080355,10.420483259260237,10.173423550390755,9.965682567542585,10.029909716354963
Mycgr3G75847,ERG8,Belongs to the GHMP kinase family. Mevalonate kinase subfamily,2.7.4.2,map00900;map01100;map01110;map01130,0.186428337700519,0.161605111755429,0.341284684413301,529.91993508079,0.214192007810874,0.167051285534711,0.276484141567738,529.91993508079,0.0694188360429417,0.149952875599729,0.787006826537527,529.91993508079,0.284166314052173,0.165962485821033,0.141357803093713,529.91993508079,0.31077840883656,0.164632074378423,0.105048852890919,529.91993508079,-0.0259268675421259,0.139157214428829,0.924059506725782,529.91993508079,-0.102020505335908,-0.100869740725047,0.818449774680329,ERG8 phosphomevalonate kinase,core enzyme,True,9.043319250942513,9.197991679913445,9.003158841774974,9.232306984360923,9.3341328873128,9.394481479348883
Mycgr3G77157,MVD1,Belongs to the diphosphomevalonate decarboxylase family,4.1.1.33,map00900;map01100;map01110;map01130,-0.397364148047994,0.156790383554236,0.0215980552366926,510.890764476106,-0.852905456498012,0.164165971911764,5.62408950395156e-07,510.890764476106,-0.264337331136245,0.156441921983389,0.169698227318582,510.890764476106,-0.319817337940852,0.159577992655371,0.0796840882988285,510.890764476106,-0.460290295914587,0.158073570733371,0.0089696585865517,510.890764476106,0.115843151949609,0.135047712519648,0.583771847945346,510.890764476106,0.0735908127688958,0.0734633974991865,0.865862463216864,ERG19 mevalonate-PP decarboxylase,core enzyme,True,9.401036942797742,9.05189552263382,9.55660101645665,8.767900659699212,9.09156254125392,8.802729707294292
Mycgr3G62428,IDI1,NUDIX domain,5.3.3.2,map00900;map01100;map01110;map01130,-0.588376731120201,0.226830669846491,0.0138840144472435,889.769044428002,-0.673919731975977,0.234200744815717,0.0057703076401416,889.769044428002,-0.201640660074996,0.201157896321933,0.418342988608607,889.769044428002,-0.180253896648185,0.223589676773103,0.512841469091537,889.769044428002,-0.296715399670925,0.220706592319175,0.245671297790395,889.769044428002,0.0837395497763091,0.173940835881822,0.74821927818862,889.769044428002,0.318884054075841,0.31173283615906,0.559820576947845,IDI1 IPP isomerase,core enzyme,True,10.127878608900529,9.52486990362282,10.281256089634613,9.478695037269036,9.88299015812626,9.546964596107804
Mycgr3G76129,,Polyprenyl synthetase,2.5.1.1;2.5.1.10;2.5.1.29,map00900;map01100;map01110;map01130,0.255169935038452,0.279468561821759,0.428730309016794,48.2711867080745,0.68092761903732,0.301763729393797,0.0267191750952313,48.2711867080745,-0.0634061439732457,0.223602989731595,0.849095495728928,48.2711867080745,0.262187194316228,0.278881040438409,0.414955338131585,48.2711867080745,0.686914168593321,0.288175899280694,0.0161340265274343,48.2711867080745,-0.25256817299815,0.21043714421669,0.233675754889094,48.2711867080745,-0.446952441018892,-0.426691477766242,0.524206259808311,ERG20 FPP synthase,core enzyme,True,6.673353024600011,6.812867065478334,6.403865022982799,6.7538533407183365,6.838243511882316,6.760519900258478
