contrast,n_genes,mean_lfc,median_lfc,frac_up,sign_test_p,n_padj05
drug15,34,-0.10845357089959282,-0.050112673953897,0.4411764705882353,0.6075913612730801,19
drug21,34,-0.1251901285735045,-0.354819777008817,0.29411764705882354,0.024306510109454393,21
drug27,34,-0.05198435095582889,-0.09172453597533894,0.35294117647058826,0.12144948495551944,5
temp27v15_c,34,-0.09207366932698269,-0.0403687234296064,0.35294117647058826,0.12144948495551944,14
int27v15_MLE,34,0.022483827572514978,-0.0411478486376306,0.47058823529411764,0.8641662404406816,4
