,Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
dTopt,0.8193365776101958,0.3571428571428572,0.5000000000000001,0.7380952380952381,0.4523809523809524,0.5476190476190477,-0.11904761904761905,-0.11904761904761905,-0.023809523809523815
topt_scale,0.024098134635593994,-0.5000000000000001,0.3571428571428572,-0.3571428571428572,-0.261904761904762,-0.4047619047619048,0.30952380952380953,0.30952380952380953,-0.023809523809523815
dCp_scale,-0.277128548309331,-0.7142857142857144,0.523809523809524,-0.6666666666666669,-0.9285714285714287,-0.8571428571428572,0.7619047619047621,0.7619047619047621,0.7857142857142858
budget_scale,0.4337664234406919,0.7619047619047621,-0.28571428571428575,0.6190476190476191,0.7619047619047621,0.6666666666666669,-0.8333333333333335,-0.8333333333333335,-0.8095238095238096
