temp_C,growth
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.009731655595876744
29.0,0.020456386718682367
30.0,0.03121651073161791
31.0,0.04175274711992412
32.0,0.05179694582524974
33.0,0.06108320869312082
34.0,0.06935914691893638
35.0,0.07639665449821827
36.0,0.08200160587358522
37.0,0.08602194677984457
38.0,0.08835373945554705
39.0,0.08894484386837627
40.0,0.08779605978928569
41.0,0.0846461131082287
42.0,0.07969965867732665
43.0,0.07343199295321097
44.0,0.06417189780812908
45.0,0.05378865930195053
46.0,0.0416562386682896
47.0,0.02890413020803885
48.0,0.016249382449792227
49.0,0.003938048856254493
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
