medium,temp_C,f_metab,f_bio,f_chaperone,f_other
LB,16,0.2854,0.3277,0.077,0.3099
LB,25,0.2855,0.3228,0.0667,0.325
LB,30,0.2849,0.3408,0.0766,0.2978
LB,37,0.2802,0.3594,0.0874,0.2729
LB,43,0.2713,0.2838,0.2041,0.2408
Glucose,25,0.5163,0.1811,0.0605,0.2421
Glucose,30,0.4826,0.1909,0.057,0.2695
Glucose,37,0.4836,0.1835,0.0661,0.2667
Glycerol,25,0.5016,0.1768,0.0648,0.2567
Glycerol,30,0.498,0.1592,0.0626,0.2802
Glycerol,37,0.4824,0.1453,0.058,0.3143
