,f_metab,f_bio,f_chaperone,f_other
16,0.9890556846547269,0.0,0.0,0.010944315345272994
25,0.9884635260041296,0.0,0.0,0.011536473995870359
30,0.9865363056831434,0.0,0.0,0.013463694316856498
37,0.9898028940862573,0.0001575689967506382,0.0,0.010039536916991974
43,0.9917486757997486,0.00012148218448982344,0.0,0.008129842015761713
