,f_metab,f_bio,f_chaperone,f_other
16,0.944676795681331,0.0,0.0,0.05532320431866907
25,0.946927097428055,0.0,0.0,0.05307290257194509
30,0.9379764207103258,0.0,0.0,0.06202357928967407
37,0.9190073162430168,0.0196417929842112,0.0,0.061350890772772046
43,0.9247768521526041,0.010192503403862496,0.0,0.06503064444353342
