conc,log_resp,leverage,loo_slope
0.06,-2.5075228175942774,0.06738114356805702,0.0038258959311264426
0.06,-2.1348784322404564,0.06738114356805702,0.013654480497349322
0.12,-2.042000738503643,0.06452050651501505,0.016337107390687795
0.12,-1.93399447127738,0.06452050651501505,0.019001732872545928
0.12,-1.1222325130362438,0.06452050651501505,0.039028733663167926
0.25,-2.2809288340397815,0.05894770114487115,0.011823983822601128
0.25,-1.3531983367756082,0.05894770114487115,0.03133234655482753
0.25,-2.467263034198813,0.05894770114487115,0.00790573905556879
0.5,-2.3230694974823427,0.0506355430411856,0.013874294525329407
0.5,-1.1312766569287538,0.0506355430411856,0.03077159481793292
0.5,-1.8642441538927863,0.0506355430411856,0.02037954388467979
1.0,-1.4492352172022618,0.04350376091448817,0.020524046975325644
1.0,-1.3573381542041205,0.04350376091448817,0.02060123755216231
1.0,-1.3108549838391894,0.04350376091448817,0.020640281920029955
2.0,-1.730078800460829,0.06721033298378795,0.01705594840976291
2.0,-1.9107209638170708,0.06721033298378795,0.02180250515757727
2.0,-1.0935973120514257,0.06721033298378795,0.000331749321698287
4.0,-1.970640761309626,0.2665040224131661,0.036800244187591175
4.0,-2.07295854295369,0.2665040224131661,0.047281331604482585
4.0,-2.17488671302188,0.2665040224131661,0.05772250852957338
0.0,-2.5184819432292773,0.07042403727544792,0.0024859228073787995
0.0,-2.5584209309833565,0.07042403727544792,0.0013638191755549248
0.0,-1.6604161371712727,0.07042403727544792,0.026593663425396222
