gene,contrib,d,h27,drug21_lfc,heat27_lfc,name,desc,KEGG
Mycgr3G106329,0.3576891962427667,0.0712833833486403,5.01784819181972,6.95831814165648,5.01784819181972,,,
Mycgr3G40724,0.2769311159450288,0.056037803719197796,4.94186241367907,5.80218276009619,4.94186241367907,,Fungal hydrophobin,
Mycgr3G95416,0.2667644492860064,-0.056419512692773635,-4.72823029753276,-7.21733419778078,-4.72823029753276,,,
Mycgr3G108147,0.24397087373071957,0.05351402632033167,4.55900799297599,4.57211649059674,4.55900799297599,,,
Mycgr3G97426,0.23691688873959324,-0.04022376659495507,-5.8899727398803,-3.38584649983086,-5.8899727398803,,Serine hydrolase (FSH1),
Mycgr3G18811,0.2148732392181947,0.060779864604518855,3.53527011973994,6.12336312803768,3.53527011973994,,,
Mycgr3G103091,0.20990989017730155,-0.054439759805988176,-3.85581955036863,-4.20603506765806,-3.85581955036863,,,
Mycgr3G87994,0.20794281108767626,0.034496758310203726,6.02789425075252,4.84496712679235,6.02789425075252,,KR domain,
Mycgr3G106332,0.1986260684133979,0.04917376583406097,4.03926900948913,4.15819158282846,4.03926900948913,,Domain of unknown function (DUF3328),
Mycgr3G68068,0.19585894532285691,-0.042524973618912644,-4.6057393727753,-5.27831413090584,-4.6057393727753,,Belongs to the peptidase S10 family,
Mycgr3G111505,0.17612641643143825,0.03585244025668471,4.91253636211274,4.22456160665395,4.91253636211274,,,
Mycgr3G32167,0.1718256125554831,0.0303181805374011,5.66741174799443,4.03821156077755,5.66741174799443,,Alpha/beta hydrolase family,
Mycgr3G78344,0.16451785033809976,0.04680107112013672,3.51525822808175,4.58677813990935,3.51525822808175,,"Oxidoreductase, short chain dehydrogenase reductase family",
Mycgr3G108482,0.15892217477476023,-0.043144928414371314,-3.68344972666183,-2.52533878883068,-3.68344972666183,,,
Mycgr3G38680,0.15793841430093936,0.024094141380538663,6.55505468348042,4.25227520126421,6.55505468348042,,,
Mycgr3G91471,0.1517796427796344,-0.03754719621583278,-4.04236955289973,-2.45433569993091,-4.04236955289973,,,
Mycgr3G97526,0.15090279439469545,-0.03558088977522845,-4.24111918920461,-2.74851132547718,-4.24111918920461,,,
Mycgr3G96021,0.1416556948803238,0.022709345227525664,6.23777099080008,0.350375935166236,6.23777099080008,,,
Mycgr3G89517,0.13015036777011982,0.037403171348358334,3.47966129818113,3.68018550483251,3.47966129818113,,,
Mycgr3G68710,0.12884591175706195,0.024666585204213592,5.22350015984589,3.15217051123211,5.22350015984589,,KR domain,map00061;map00333;map00780;map01040;map01100;map01130;map01212
Mycgr3G44760,0.12347999369601946,0.08653109479125753,1.4270014032978,7.63707679076201,1.4270014032978,CYP-16,Cytochrome P450,
Mycgr3G98045,0.12074042692013351,0.030770556869738425,3.92389476184218,4.20240210773581,3.92389476184218,,,
Mycgr3G45546,0.12046589755225755,-0.028953196460007772,-4.16071150274042,-3.32124507699563,-4.16071150274042,,Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family,
Mycgr3G95327,0.12028440579992211,0.028875252687942908,4.16565725328346,5.45735605877931,4.16565725328346,,Domain of Unknown Function (DUF913),
Mycgr3G95227,0.12021955232155883,0.03200885855671594,3.75582128642744,2.79329178434503,3.75582128642744,,Prion-inhibition and propagation,
Mycgr3G104522,0.11575114723855233,0.03671155425441954,3.15298955844719,3.90862507662903,3.15298955844719,,,
Mycgr3G45905,0.11471396298311225,0.03144558878416304,3.64801447257002,3.91565971475927,3.64801447257002,,Glycoside hydrolase family 18 protein,map00520;map01100
Mycgr3G96865,0.11008303976635221,-0.03869241434609913,-2.84508066055719,-3.89960327057894,-2.84508066055719,,,
