temp_C,growth
5.0,0.00662583015483687
6.0,0.010363765201124647
7.0,0.014395623862860219
8.0,0.019518874675887248
9.0,0.025544391597014514
10.0,0.0326005308779485
11.0,0.040886968492507766
12.0,0.05058601036717717
13.0,0.06166905885739969
14.0,0.07417922274125742
15.0,0.08815521268322124
16.0,0.10361575653567885
17.0,0.12054591913337405
18.0,0.1389218945371852
19.0,0.15868399138567976
20.0,0.17973961309825803
21.0,0.20199502801092015
22.0,0.22531102596921812
23.0,0.24965529518041701
24.0,0.2749683591421006
25.0,0.30080240824736376
26.0,0.32694417105586115
27.0,0.3530332446893683
28.0,0.37829533686373706
29.0,0.40337685098588305
30.0,0.4275416153149545
31.0,0.4339648286460408
32.0,0.4373291705459614
33.0,0.4406935124458819
34.0,0.44405785434580236
35.0,0.4474221962457229
36.0,0.45078653814564357
37.0,0.4541508800455641
38.0,0.4382424497964724
39.0,0.4223340195473807
40.0,0.40642558929828915
41.0,0.39051715904919737
42.0,0.37460872880010576
43.0,0.3587002985510142
44.0,0.35870029855101415
45.0,0.3502669769953068
46.0,0.09591054577856485
47.0,0.009097591524284503
48.0,0.0009069839652669369
49.0,7.104574238863111e-05
50.0,1.249896546484881e-05
51.0,1.2431421765665795e-05
52.0,1.1908909972649409e-05
53.0,1.0599031769220751e-05
54.0,7.385343687955079e-06
55.0,5.286023292649414e-06
56.0,3.2720054531842635e-06
57.0,3.2755885291219412e-06
58.0,2.92834978528133e-06
59.0,2.6714011067888138e-06
60.0,2.3123434621288174e-06
