UniqueCount	AmbigCount
603	0
117	0
210	0
19	0
282	0
79	0
48	10
0	0
73	0
140	0
158	0
59	0
1319	0
0	0
39	0
180	0
302	0
30	0
97	0
30	0
161	0
330	0
12	0
5	0
205	0
12	0
2579	0
24	0
8	0
8	0
145	0
79	0
877	0
24	0
109	0
0	0
29	0
430	0
109	0
31	0
820	0
0	0
71	0
1241	0
810	0
33	0
140	0
6	0
2126	0
146	0
849	0
138	0
114	0
68	0
33	0
216	0
85	0
0	0
387	0
106	0
1044	0
290	0
10	0
294	0
0	0
18	0
65	0
110	0
75	0
0	0
0	0
114	0
630	0
363	0
1544	0
1299	0
93	0
75	0
0	0
40	0
9215	0
0	0
614	0
147	0
4237	0
135	0
143	0
924	0
191	0
57	0
234	0
0	0
235	0
451	0
69	0
0	0
17	0
34	0
99	0
24	0
5	0
0	0
292	0
677	0
153	0
489	0
136	0
0	0
0	0
302	0
2412	0
0	0
70	0
274	0
0	3053
22	0
16	0
22	0
0	0
0	0
9	0
72	0
3070	0
0	0
42	0
294	0
42	0
106	0
0	0
163	0
0	0
186	0
0	0
0	0
0	0
0	0
93	0
8	0
39	0
133	0
0	0
192	0
187	0
270	0
79	0
3004	0
489	0
59	0
1756	0
133	0
3755	0
124	0
301	0
9876	0
304	0
2116	0
1	0
100	0
27	0
0	0
419	0
13	0
6	0
18	0
53	0
794	0
0	0
8536	0
20	0
184	0
0	0
192	0
271	0
96	0
55	0
22	0
128	0
232	0
8	0
323	0
76	0
667	0
530	0
92	0
245	0
114	0
114	0
8	0
79	0
352	0
484	0
1850	0
0	0
45	0
0	0
12	0
2196	0
56	0
316	0
0	345
220	0
0	0
47	0
124	0
0	0
765	0
31	0
0	0
0	0
0	0
96	0
87	0
0	0
124	0
112	0
9	0
0	0
129	0
12325	0
63	0
80	0
244	0
137	0
138	0
13	0
400	0
0	0
809	0
0	0
183	0
47	0
18	0
455	0
266	0
11	0
497	0
0	0
202	0
938	0
4	0
0	0
70	0
240	0
39	0
8	0
68	0
84	0
0	0
0	0
647	0
15	0
0	0
3180	0
0	0
120	0
147	0
0	0
171	0
55	0
359	0
63	0
746	0
182	0
28	0
61	0
1325	0
151	0
20	0
277	0
17	0
0	0
324	0
238	0
0	0
53	0
17	0
29	0
0	0
49	0
25	0
73	0
569	0
306	0
15	0
34	0
20	0
260	0
0	0
12	0
5	0
144	0
106	0
3172	0
130	0
179	0
178	0
837	0
102	0
171	0
28	0
56	0
120	0
10	0
550	0
12	0
14	0
219	0
165	0
834	0
4	0
0	0
63	0
267	0
9	0
401	0
42	0
121	0
21	0
873	0
90	0
9	0
19	0
38	0
0	0
54	0
107	0
