parameter,emergent,posterior_median,ci5,ci95,demanded_correction,constrained_by_curve
dTopt,0.0,2.7076,-0.2736,5.1444,+2.7 K,True
topt_scale,1.0,0.9613,0.8129,1.1191,x0.96,False
dCp_scale,1.0,1.2002,0.7942,1.7684,x1.20,False
dTm,0.0,-5.5801,-7.2412,-2.8239,-5.6 K,True
tm_scale,1.0,1.0067,0.7964,1.2907,x1.01,False
kcat_scale,1.0,1.2462,0.8612,2.6402,x1.25,True
kappa_scale,1.0,1.0949,0.4499,2.7785,x1.09,False
sigma,0.45,0.8669,0.6712,0.9863,"0.867 (nom 0.450, lit 0.4-0.5)",True
f_metab,0.28,0.2807,0.2291,0.3297,0.281 (meas 0.280),False
f_maint,0.36,0.3408,0.2958,0.3904,0.341 (meas 0.360),False
ngam_scale,1.0,0.9946,0.4135,2.2677,x0.99,False
ngam_steepness,1.0,0.9802,0.4307,2.212,x0.98,False
sigma_disc,,0.2016,0.1413,0.308,x0.20,
