temp_C,growth
5.0,0.0
6.0,0.0
7.0,0.0
8.0,0.0
9.0,0.0
10.0,0.0
11.0,0.0
12.0,0.0
13.0,0.0
14.0,0.0
15.0,0.0
16.0,0.0
17.0,0.0
18.0,0.0
19.0,0.0
20.0,0.0
21.0,0.0
22.0,0.0
23.0,0.0
24.0,0.0
25.0,0.0
26.0,0.0
27.0,0.0
28.0,0.00973165559587678
29.0,0.02045638671868222
30.0,0.03121651073161764
31.0,0.041752747119924084
32.0,0.0517969458252499
33.0,0.061083208693120984
34.0,0.06935914691893634
35.0,0.07639665449821822
36.0,0.08200160587358524
37.0,0.08602194677984464
38.0,0.0883537394555466
39.0,0.0889448438683759
40.0,0.08779605978928536
41.0,0.08464611310822881
42.0,0.07969965867732662
43.0,0.07343199295321097
44.0,0.0641718978081291
45.0,0.05378865930195053
46.0,0.0416562386682896
47.0,0.02890413020803885
48.0,0.016249382449792227
49.0,0.003938048856254493
50.0,0.0
51.0,0.0
52.0,0.0
53.0,0.0
