"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","description"
"Mycgr3G45613",668.367851236688,-5.00086453266512,0.310535366406518,-16.1040096351491,2.39095559745276e-58,2.20183100969425e-54,"","Clock-controlled protein 6"
"Mycgr3G104082",2705.64507088748,-7.35147621961735,0.495303810384479,-14.8423574894584,7.79670594653357e-50,3.58999325308138e-46,NA,NA
"Mycgr3G110931",1011.09386432464,-4.14643117837294,0.286501871329849,-14.4726146434107,1.80478941556146e-47,5.54010190930182e-44,"","RING-like zinc finger"
"Mycgr3G81692",572.52260218261,-5.6698945344619,0.397175368888842,-14.275544201858,3.10851687006503e-46,7.15658296410721e-43,NA,NA
"Mycgr3G41244",278.791455980616,-5.04025804636612,0.364032211212775,-13.8456375318395,1.35176076440294e-43,2.07472747989778e-40,"","Sugar (and other) transporter"
"Mycgr3G50464",1109.28909558534,-6.17840515829036,0.445939747671058,-13.8547980765504,1.18991014388717e-43,2.07472747989778e-40,"CDR1","Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily"
"Mycgr3G53676",313.099020207116,-2.30077342350475,0.168742079390138,-13.6348528583986,2.48491538307213e-42,3.26908368038733e-39,"DPS1","Uncharacterised conserved protein (DUF2156)"
"Mycgr3G39840",433.84370202857,-4.00377148720499,0.299128838691693,-13.3847726107465,7.42241764370592e-41,8.54413051011098e-38,"RDH1","KR domain"
"Mycgr3G107497",1086.38147108345,-3.24495014408763,0.243469578128455,-13.3279490975073,1.59214648391796e-40,1.62911966337783e-37,"","basic region leucin zipper"
"Mycgr3G78052",109.239366590321,3.5244265666463,0.270087829573362,13.049186896772,6.42292294034373e-39,5.91486973576254e-36,NA,NA
"Mycgr3G45389",372.703654445418,-6.43138760407135,0.494206145367486,-13.0135727051493,1.02438450004581e-38,8.57596078265627e-36,"","KR domain"
"Mycgr3G109275",148.704476165744,-10.0350819130734,0.776673541700214,-12.9205919530948,3.44480983674249e-38,2.64360448221346e-35,"","GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain"
"Mycgr3G88011",535.360898060228,-2.31030294732066,0.179664655358828,-12.8589729722104,7.65874809363893e-38,5.42533932264007e-35,"","Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily"
"Mycgr3G91855",769.945196627103,2.965052026809,0.231062673922853,12.8322414714156,1.08188219412727e-37,7.11646651837003e-35,"","Peptidase A4 family"
"Mycgr3G32957",1465.14218818421,-4.24608970657697,0.334312703088314,-12.7009523340048,5.84145079262185e-37,3.58626135661697e-34,"","O-methyltransferase"
"Mycgr3G108994",2030.51122226764,2.86539777898843,0.228793858256686,12.5239278747321,5.52326537100762e-36,3.17898442510057e-33,"","Belongs to the tannase family"
"Mycgr3G43288",291.539737015719,-3.70335540218247,0.29668678748166,-12.4823738651031,9.31669130695987e-36,5.04690648504667e-33,"","Secretory lipase"
"Mycgr3G102502",3596.66127669944,-3.04056047088649,0.248986418251546,-12.2117523206212,2.690316414028e-34,1.37639576982132e-31,"","Transposase"
"Mycgr3G92897",109.706852705791,4.39037720308631,0.359848106759265,12.2006399939834,3.08390486063496e-34,1.49471999271512e-31,"",""
"Mycgr3G102016",2480.2111621235,3.05137318153911,0.253437030851662,12.0399657906547,2.19046464792064e-33,1.00859944713506e-30,"","Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family"
