"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","description"
"Mycgr3G95227",669.481369833587,3.79723476996352,0.233901186245373,16.2343544764243,2.88264394025006e-59,2.65462680457628e-55,"","Prion-inhibition and propagation"
"Mycgr3G45613",668.367851236688,-4.24804649526791,0.310346082175549,-13.6880944830648,1.19604828443846e-42,5.5072043256969e-39,"","Clock-controlled protein 6"
"Mycgr3G106332",1728.13167327794,4.11420799735949,0.308373469420523,13.3416405927873,1.32510844562042e-40,4.06764122523949e-37,"","Domain of unknown function (DUF3328)"
"Mycgr3G68710",446.246148282832,5.37300118138366,0.403617838904098,13.3121003669521,1.96868414279056e-40,4.53240306773957e-37,"","KR domain"
"Mycgr3G68068",2748.92886796358,-4.71895793618451,0.364728392780021,-12.9382796338279,2.73689715043746e-38,5.04081717167572e-35,"","Belongs to the peptidase S10 family"
"Mycgr3G111413",191.319333173649,2.76210767060136,0.217466943528309,12.7012759998707,5.81733990097634e-37,8.92864719134852e-34,"",""
"Mycgr3G74111",575.724645079871,2.97536772535805,0.239383629166271,12.429286562831,1.81244667389339e-35,2.38440305998346e-32,"","Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily"
"Mycgr3G109275",148.704476165744,-9.62137523676916,0.776272941531894,-12.3943199897994,2.80515185731268e-35,3.22908043174906e-32,"","GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain"
"Mycgr3G81692",572.52260218261,-4.82912737364829,0.396996507040985,-12.164155825053,4.82406548986103e-34,4.93609101068114e-31,NA,NA
"Mycgr3G16590",133.911246806999,3.69563682341912,0.306769953848852,12.0469321622025,2.0130355901099e-33,1.85380447493221e-30,"","AMP-binding enzyme"
"Mycgr3G69366",404.336726161095,2.44695366244046,0.204482874970725,11.9665456718113,5.31976297939608e-33,4.45360884338713e-30,"","Epoxide hydrolase N terminus"
"Mycgr3G109435",135.983625782875,-3.44975031938781,0.289805640860168,-11.9036686420204,1.13256446538659e-32,8.69148846812096e-30,"",""
"Mycgr3G105608",183.775139016713,-4.62985345256286,0.389473774835688,-11.8874588013432,1.37527506653066e-32,9.74223699052374e-30,NA,NA
"Mycgr3G109922",203.562180274252,2.95295307265495,0.248646192414252,11.8761242389557,1.57502249018725e-32,1.03602729372388e-29,NA,NA
"Mycgr3G38161",110.063307659082,5.62457400130897,0.474828315172475,11.8454898783067,2.27087481409076e-32,1.39416574419745e-29,"lcc1","Belongs to the multicopper oxidase family"
"Mycgr3G32167",160.529871497429,5.90725426937731,0.498976133603153,11.8387511376957,2.46090046152974e-32,1.41640202188921e-29,"","Alpha/beta hydrolase family"
"Mycgr3G108147",91.9322737501306,4.69321753322007,0.398327584617472,11.7823061079918,4.81572205637171e-32,2.60870496571336e-29,"",""
"Mycgr3G68128",325.360370093052,3.55552709332833,0.310307990485692,11.458058452711,2.14264143372026e-30,1.09619916461833e-27,"","Belongs to the cytochrome P450 family"
"Mycgr3G100372",234.185805946479,2.51767846963332,0.220123680253151,11.437563040641,2.71402013796081e-30,1.31544270792006e-27,"","Methyltransferase domain"
"Mycgr3G108336",3842.69198548392,-3.55154449037894,0.311512689294117,-11.400962504695,4.13521741038931e-30,1.90406085661376e-27,"",""
"Mycgr3G106329",28168.3830540061,5.21032657446056,0.463581267171409,11.2392949056202,2.61462275619204e-29,1.14657433151298e-26,NA,NA
"Mycgr3G91471",713.45314482505,-4.1503355946116,0.369927763691111,-11.2193136119329,3.27804784572163e-29,1.37216102778411e-26,"",""
"Mycgr3G97426",71.7966737893816,-6.19915458174284,0.560222407059427,-11.0655241625943,1.84381708588954e-28,7.38248327998119e-26,"","Serine hydrolase (FSH1)"
"Mycgr3G99683",118.999327188469,3.84910550971881,0.357844821505422,10.7563538114816,5.53157183302328e-27,2.12251020876298e-24,"","Alpha/beta hydrolase of unknown function (DUF1100)"
"Mycgr3G102956",3561.17347756526,1.28875438572896,0.120052259005888,10.7349449015012,6.97605717786584e-27,2.56970042203866e-24,"","Superoxide dismutase"
"Mycgr3G99032",664.475302687072,1.90330715961536,0.177820041644321,10.7035581704699,9.79434658664639e-27,3.46908221986256e-24,"","L-lysine 6-monooxygenase (NADPH-requiring)"
"Mycgr3G18775",222.06937314198,3.95671160271308,0.37238098487354,10.6254394382054,2.26940806267295e-26,7.74036253672415e-24,"SCD1","Scytalone dehydratase"
"Mycgr3G101874",405.699790322668,1.50048025615785,0.14168785841998,10.5900411855351,3.31445992322723e-26,1.0901021940357e-23,"","KR domain"
"Mycgr3G88598",117.550669123339,2.08185861068296,0.19732274274732,10.5505254067387,5.05138240715012e-26,1.5893469183615e-23,NA,NA
"Mycgr3G91982",130.907663910954,4.40658592178325,0.417756881807581,10.5482066572225,5.17758796295419e-26,1.5893469183615e-23,"",""
"Mycgr3G98063",47.3329060349177,7.48170446253457,0.712648276602283,10.498453035213,8.78072740695329e-26,2.60844253840751e-23,NA,NA
"Mycgr3G61630",1386.59520246516,3.06483156441495,0.292760523334085,10.4687323601943,1.20242361043198e-25,3.46034969639629e-23,"","Protein of unknown function (DUF3759)"
