comparison,scope,n,spearman_rho,direction_concordance,slope_OLS_origin,slope_major_axis,median_pairwise_ratio
drug@21C vs drug@15C,all_genes,9209,0.7322170557916365,0.770441958953198,0.8436427085141556,1.2307253999027468,0.7963920525097922
drug@21C vs drug@15C,15C_significant,1922,0.8451368212343464,0.9542143600416233,0.8559391983979895,0.9900967964013079,0.8339325638907211
drug@27C vs drug@15C,all_genes,9209,0.5540767885108077,0.687913997176675,0.2460361216216575,0.2848520948988867,0.1745494692699004
drug@27C vs drug@15C,15C_significant,1922,0.7467800611453574,0.8631633714880333,0.2590277272619004,0.28667273657846376,0.1827991642651111
