,Ribosome (map03010),Ribosome biogenesis (map03008),OXPHOS (map00190),TCA (map00020),AOX,ABC transporters,Glutathione,Xenobiotic P450 (map00980),FA degradation (map00071),Ergosterol (map00100),cond
12129_15_0_R1_S9,0.9997853735633389,1.0893052212885777,0.3769618112057116,0.6432592192020952,-1.491147184548815,0.12417708394116639,-0.3956748001232478,-0.7218426837494721,-0.7975677543741662,0.06532538797721353,15_0
12129_15_0_R2_S10,0.8849739474520393,1.3103508938898198,-0.100811506317412,0.14829835763749488,-1.7382696348990128,0.3625047716557827,-0.6093711695837579,-1.0561031320692067,-1.037537654873419,-0.2779644189028199,15_0
12129_15_0_R3_S11,0.22703112237457412,0.5488142570909444,-0.5396740056211341,0.1579021008527921,0.15065008969695579,0.2018622851925449,-0.23248787886040465,-0.35965982765959564,-0.1304561041114714,0.03585535870832678,15_0
12129_15_0_R4_S12,1.0841508724789366,0.8692947081238516,0.349119602382537,0.11799123088040536,-1.5093897174533395,0.021158640772258316,-0.39010275588930493,-0.6155484753951518,-0.7194764672020889,0.3803826547863631,15_0
12129_15_0_R5_S13,1.3244612732551384,1.0087555228142868,0.6730833643786369,0.417712688814171,-1.7022182323242652,0.17504093961652584,-0.480036455382601,-0.8684164991890108,-0.8308395647242723,0.2802180297299545,15_0
12129_15_0_R6_S14,0.7064287477505229,0.44501292883819066,0.16990265033304897,0.2293367889387556,-1.1095764347100772,-0.17806940426525356,-0.3601979008465795,-0.347893356338181,-0.22787103544337078,0.6008158829683122,15_0
12129_15_0_R7_S15,0.07857948339421215,0.19492337061069298,-0.2888986522674867,0.21481232406039807,0.4499041017580906,0.19886646129991653,0.19483963211270003,0.3307733343388836,0.06696031869176428,-0.5613725511490689,15_0
12129_15_0_R8_S16,1.1523683181397408,1.1123410863930039,0.595858929310551,0.7620973544279743,-1.3207615522062774,0.1688297217042047,-0.3619330894348773,-0.7382634401025272,-0.7801441349523436,0.2991747974684303,15_0
12129_15_2_R1_S17,-1.151407962992822,-0.47996050227834974,-0.828410286710322,-0.6292085993804701,0.601642832568021,-0.13693829326372034,-0.050809252653436485,0.2783691439044334,0.5140714279944453,0.29013261765159765,15_2
12129_15_2_R2_S18,-0.9439938480904329,-0.5516620422005205,-0.6382770069951232,-0.6541106650008341,0.5637933684417074,-0.009448176829957437,0.013538278026997983,0.3386670833677774,0.49584545122321483,0.40185494032828734,15_2
12129_15_2_R3_S19,-0.8065111337676559,-0.7203508392422349,-0.9935524841354363,-0.9765557818500881,0.19761628843175325,-0.4323511015277179,-0.17093224329327877,0.4729402676160101,0.5329604411836446,-0.011589670388947246,15_2
12129_15_2_R4_S20,-0.6750730695102852,-0.5055911779798272,-0.6197327101630019,-0.48726139677212515,0.4226845941322832,0.0886200108444199,0.2194876633487312,0.5032730033824859,0.6864855090088436,0.09208755699320793,15_2
12129_15_2_R5_S21,-1.0908034648317533,-0.5374778237687928,-0.9106534838944733,-0.7597014316952743,0.42673113234618054,0.027446645136996763,-0.11414036658105242,0.21443424206862566,0.3182915204618758,0.5135888250500472,15_2
12129_15_2_R6_S22,-1.042221574177207,-0.49923683017480025,-1.0012214987064612,-0.5629562654934332,0.6642172563481015,0.2135530901657126,-0.1381466570682007,0.2973317865893197,0.36151203008394506,-0.2482878606287354,15_2
12129_15_2_R7_S23,-0.9171499885181392,-0.6083784320832668,-0.6190213541443149,-0.7034093405982608,0.40447695818518786,0.05387502503130704,0.16097897067944178,0.4782885253704216,0.6366123732217344,0.4132248192213733,15_2
12129_15_2_R8_S24,-0.8736348167907669,-0.4850325866569376,-0.5366141762435648,-0.3662813582092296,0.44485924913771663,0.010383435150931578,0.07478115617997227,0.48081968110215495,0.6833801779413325,0.3304065544651164,15_2
12129_21_0_R1_S25,1.0041097746926828,0.5855871657005162,0.5900943218530591,0.6547811012427055,-1.226876161111651,-0.19024259108796773,-0.45764603058335546,-0.7082734874009087,-0.5661549303489349,0.5773902478755458,21_0
12129_21_0_R2_S26,0.827986927248305,0.33697539867326437,0.5481664548710425,0.7263849592621298,-1.0733668275009811,-0.13049080396707688,-0.387912350561224,-0.4906648291121019,-0.17112351085656863,-0.20632884923645203,21_0
12129_21_0_R3_S27,1.071495755235501,0.4958933529410748,0.8478311751532375,0.6054488871993805,-0.565167699207049,-0.18654814505543127,-0.18286386381024605,-0.46598418231806743,-0.47737272086332233,0.06376282327731471,21_0
12129_21_0_R4_S28,0.773553520939104,0.3137288294609014,0.5080527043381906,0.23130338666014738,-1.4033683324734054,-0.23906970984543766,-0.3798717824674293,-0.34026041619503633,-0.23128242369363486,0.6709023064214227,21_0
12129_21_0_R5_S29,1.48011835379262,0.43139074964717367,1.3777743305032133,0.6450724894183523,-1.6334758381462697,-0.4315827537917803,-0.2387691880334254,-0.480579278673733,-0.5704921755760248,0.524116359643048,21_0
12129_21_0_R6_S30,1.499822150741209,0.5497691562170408,1.3279113792880577,0.7251091079101674,-1.4808872284770893,-0.34099754924678116,-0.29470375533421406,-0.6389881931587719,-0.6600261345582815,0.4427778713192421,21_0
12129_21_0_R7_S31,0.8082673551953202,0.3414590369887278,0.5136344050828716,0.7150929849058908,-0.002600683255843691,-0.08637132284407843,-0.07590075691007422,-0.26136894565421376,-0.3597990632176909,-0.07775472699540464,21_0
12129_21_0_R8_S32,1.2582527806287014,0.6367858511055856,1.0200277882799935,0.7465783131789798,-1.5520336046511152,-0.363038040876075,-0.4469118242769714,-0.8490789288330859,-0.7199611667722746,0.35209369934567336,21_0
12129_21_2_R1_S33,-0.35601460376281985,-0.4376121163414969,-0.07788223731725546,-0.4073781584711187,0.46353164411645986,0.15876939246733726,-0.06927412367317565,0.03596061696154761,-0.14757207348093418,0.32572272597691954,21_2
12129_21_2_R3_S34,-0.8794763011065522,-0.3569133228985941,-0.6706697532326931,-0.47259492764782685,0.7641503797630236,0.18970479296265638,-0.07491850160742501,0.14255413491384786,0.33830516050965875,0.12481553587219923,21_2
12129_21_2_R4_S35,-0.5171957147840082,-0.4944511528855117,-0.23865921171586135,-0.3971178553186644,0.7187028422629044,-0.2214759360520749,0.12756176328597482,0.5859626354506825,0.23861313101393528,-0.17626572361340356,21_2
12129_21_2_R5_S36,-0.832245588615765,-0.15862001737440093,-0.2710415556719901,-0.13411139594911306,1.2310961954707937,0.37522162775107615,0.6004795083052769,0.8520215523562222,0.16367884541971509,-1.0550170967556722,21_2
12129_21_2_R6_S37,-0.5254139540317075,-0.70144491213771,-0.16309367142513648,-0.23072690953971528,0.6732544649016047,-0.15431190127856223,0.03947191012963144,0.25570274216006444,0.49373113554719616,0.17112054593126413,21_2
12129_21_2_R7_S38,-0.4705612190663549,-0.4805964174724074,0.05937453326246041,-0.17424719031935662,0.9249362946347346,-0.07030403313293264,0.1114954218290062,0.3896490119225829,0.524461899948462,0.06322429004481728,21_2
