kegg_id,kegg_name,n_genes,meanLFC_15,NES_15,FDR_15,meanLFC_21,NES_21,FDR_21,meanLFC_27,NES_27,FDR_27,retention_21v15,retention_27v15
map03010,Ribosome,117,-1.2273578821725553,-3.3126617344675124,0.0,-1.186638234478693,-3.650909755369916,0.0,-0.3707968213893979,-3.316175377163993,0.0,0.9668233297839876,0.302109781323967
map03020,RNA polymerase,27,-1.0951680542034825,-2.406659009390042,0.0,-0.7538642793407385,-2.1614899604930966,0.0,-0.2457601252826791,-1.7386518866750702,0.0237378175427384,0.6883548843917158,0.2244040303580813
map03008,Ribosome biogenesis in eukaryotes,72,-1.0455527117504466,-2.539472554090977,0.0,-0.6721860645991927,-2.4196369108769296,0.0,-0.1792294698519391,-1.959850278034693,0.00330274404857,0.6429002163590875,0.1714207881034292
map03040,Spliceosome,94,-0.8838212937987958,-2.825545255899975,0.0,-0.7785168919963515,-3.176683261347117,0.0,-0.1633248742050644,-2.3507794975690044,0.0,0.8808532872637292,0.18479400230681217
map03013,Nucleocytoplasmic transport,88,-0.7495596725697904,-2.7484104686610413,0.0,-0.5260937830750083,-2.5120212390062635,0.0,-0.1202258726172727,-1.9106901848803304,0.006710337114555,0.7018704478475322,0.16039533210890378
map00240,Pyrimidine metabolism,71,-0.735647151552748,-2.3647157609547715,0.0,-0.4292955058606987,-2.252246497787423,0.0,-0.2191205963582929,-2.256300098809206,0.0,0.5835617047582858,0.2978610002034125
map03030,DNA replication,32,-0.6954220547081914,-1.9989601826228964,0.0004808608952143,-0.0446724398136414,-0.7942909351080475,0.9274692578688296,-0.1412391621741568,-1.778888944611987,0.019550309093367,0.06423788188941831,0.20309847986259608
map03018,RNA degradation,52,-0.6616708744654332,-2.3592916585821646,0.0,-0.5991014202921205,-2.4771355663349386,0.0,-0.1490076320318431,-1.9638387826319512,0.0037745646269372,0.9054371945510481,0.22519901930431355
map03430,Mismatch repair,23,-0.6352889021331293,-1.7543430367761912,0.0118939470408128,-0.059399714757929,-0.7672331671092146,0.9520930474681898,-0.1579352457160019,-1.7133399303781982,0.0269400298863753,0.0935003186085586,0.24860381660327738
map00020,Citrate cycle (TCA cycle),33,-0.5880961462815362,-2.326829555097921,0.0,-0.4248929957599565,-2.4160353440127005,0.0,-0.1518626505594519,-2.06741790699659,0.001258188208979,0.7224889985192144,0.2582275900287085
map03015,mRNA surveillance pathway,48,-0.5739704253057202,-2.1614957269065176,0.0,-0.5734227927941741,-2.162581165456975,0.0,-0.0936087504340402,-1.6689839477399355,0.0363550171962899,0.9990458872314643,0.16308984976739932
map00230,Purine metabolism,110,-0.5553964570300888,-2.3403792229546587,0.0,-0.3429552765710958,-2.3453776196942804,0.0,-0.1908637870842331,-2.4480604676234377,0.0,0.6174963347893955,0.3436532312518749
map00190,Oxidative phosphorylation,84,-0.5512647314373427,-2.4726780733057825,0.0,-0.4830977469480431,-2.8088466749324503,0.0,-0.1026854422461598,-2.13871885625885,0.0005032752835916,0.8763443757565189,0.1862724683627455
map00670,One carbon pool by folate,16,-0.4715784241297509,-1.5045399943857416,0.0891734305511848,-0.433822994167109,-1.480699865184455,0.1128227167208564,-0.2136480159706492,-1.7729558909431662,0.0192323054801086,0.9199381735237027,0.4530487508306057
map00970,Aminoacyl-tRNA biosynthesis,38,-0.3740166992393554,-1.9148510612990364,0.0021559477499721,-0.1943995850891231,-1.6572131374569643,0.0348035606719764,-0.1086946640418612,-1.5298890693785427,0.089878401189244,0.5197617793121995,0.29061446791791795
map00300,Lysine biosynthesis,12,-0.3575301155876822,-1.1956623754236104,0.4057037111806467,-0.3248082793141592,-1.110683121856187,0.4792743932586453,-0.1869059839375237,-1.697141086111681,0.0299868189806678,0.9084780977967765,0.5227699032578028
map03420,Nucleotide excision repair,40,-0.3430604825271947,-1.7179548262595767,0.0159920594865583,-0.0098840972590322,-0.703944645269704,0.9877874248640396,-0.0674286709791447,-1.4092319521941674,0.1568830539195971,0.02881152963529887,0.1965503880902388
map03060,Protein export,22,-0.2162165358368432,-1.2801857077089758,0.2748806960286217,-0.5109756364293768,-2.1097951744703693,0.0003792695714253,-0.062582306750724,-1.0718825730360324,0.4814211014400134,2.3632588250093813,0.28944274085469834
map00400,"Phenylalanine, tyrosine and tryptophan biosynthesis",21,-0.1821892919485103,-1.0818085825505996,0.5723429039492569,-0.0801629576581011,-1.03903022051561,0.5359694075978126,-0.1672493718956512,-1.6341382173578476,0.0442163284869787,0.43999818431017595,0.9179978148381993
map00563,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,23,-0.1803916904657865,-0.9477383268928568,0.802575568952878,-0.4277411681162241,-1.8252936161044968,0.00885865356115,-0.0873752972641914,-1.3567661763627543,0.1869743932373745,2.3711799973256,0.48436431322629686
map00983,Drug metabolism - other enzymes,34,-0.1359349560742905,-1.3665876140973687,0.2131985358571557,0.3208486515147084,0.9424360490170822,0.7409666483872576,-0.1296110936539121,-1.7349734752536077,0.022961934813868,-2.3603101128701565,0.953478762174151
map00030,Pentose phosphate pathway,28,-0.0976156959284364,-1.3339044203775812,0.2462282561152047,-0.1868634595590153,-1.8283508227418133,0.0092775172087132,-0.1040495944655686,-1.864542650132489,0.0091847739255472,1.9142767746695963,1.0659104919136058
map00270,Cysteine and methionine metabolism,45,-0.0887523973011748,-1.3239798843659083,0.2486345232888081,0.0552268245726922,-1.3844299647568057,0.160004350445084,-0.0692953057547099,-1.854979777045738,0.0096079826867492,-0.6222572713758253,0.7807710874508698
map00565,Ether lipid metabolism,15,-0.0405295813431464,-0.7351562530826969,0.8915847941410675,-0.4442634331408159,-1.682279281708044,0.0299385917943912,0.0894608497284759,-0.8838073948030969,0.680402593147224,10.961461194958565,-2.2072976518323655
map04141,Protein processing in endoplasmic reticulum,88,-0.0260331120826599,0.8088588142148234,0.8587544943786373,-0.1535849216968325,-1.822738512163258,0.0084197844856435,0.0367597776522863,1.0984224519273655,0.6575220664589824,5.899598987980086,-1.4120393111498646
map00010,Glycolysis / Gluconeogenesis,53,0.1481452416546191,-0.9955814354340956,0.7086687443221964,0.1758334353119794,-1.187543289636248,0.377955673267232,-0.0481211857166858,-1.8076859789089077,0.0148885604729189,1.1868989739266256,-0.324824376262276
map00710,Carbon fixation by Calvin cycle,19,0.1645031684890508,-0.8653508936732338,0.7911437479672062,0.2411800492216231,0.9093543224707696,0.777235726036763,-0.0442737878931629,-1.6595176371320923,0.0370536427544336,1.4661118775817126,-0.26913638381445354
map04146,Peroxisome,76,0.3397333043886186,1.9444342290259349,0.0049168093419377,0.3919632147536724,1.5006752738094178,0.1290906112681874,0.105588139761927,1.5198229019426988,0.4721295060080107,1.153737975318747,0.3107971411632504
map00910,Nitrogen metabolism,21,0.365523419479288,1.2892996441038702,0.2688170953678658,0.890897255594036,1.768619396312441,0.0472605812852086,0.2048935621439618,1.4449363643960562,0.4598130841121495,2.437319219827767,0.5605483841113273
map00982,Drug metabolism - cytochrome P450,30,0.6098243484023735,1.990583171738052,0.0020486705591407,0.9426462900178788,1.9315466585241128,0.0094222044967346,0.0782150796834786,1.1522621622298457,0.5932240930293889,1.5457668958076811,0.12825837454405942
map00980,Metabolism of xenobiotics by cytochrome P450,36,0.6144281883337852,2.208022191051433,0.0,0.8309213735499974,2.0602302013667737,0.0017947056184256,0.0808479658509957,1.2948019441397347,0.3937670862737618,1.352349044732634,0.1315824491552712
map00680,Methane metabolism,30,0.6144442614642573,1.7076898722018228,0.047938891083893,0.5985169919564228,1.547250488619045,0.1004287352310683,0.0488876287875367,-0.9161064713001248,0.6458699472759226,0.9740785771684499,0.07956397651275082
