"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","description"
"Mycgr3G104082",2705.64507088748,-6.1094050961216,0.511269612302922,-11.9494782187482,6.5334134522243e-33,6.01662044815336e-29,NA,NA
"Mycgr3G50464",1109.28909558534,-5.36138657665541,0.460084761167995,-11.6530409810677,2.21414000004437e-31,1.01950076302043e-27,"CDR1","Belongs to the ABC transporter superfamily. ABCG family. PDR (TC 3.A.1.205) subfamily"
"Mycgr3G104754",2577.69639245957,2.25737483542243,0.211443261332805,10.676031107321,1.31786204948646e-26,2.42723832274416e-23,NA,NA
"Mycgr3G107497",1086.38147108345,-2.68950798669665,0.251293138137119,-10.7026718144174,9.88851059772781e-27,2.42723832274416e-23,"","basic region leucin zipper"
"Mycgr3G32957",1465.14218818421,-3.6889146529367,0.345132363487643,-10.6884055023393,1.15336739298043e-26,2.42723832274416e-23,"","O-methyltransferase"
"Mycgr3G99917",2745.52630481834,3.83372145808148,0.364680570469553,10.5125465092513,7.56235015067842e-26,1.16069470895996e-22,NA,NA
"Mycgr3G97451",176.253868129228,-5.38437098212696,0.518101517692005,-10.3925018519784,2.68223458941883e-25,3.52867119056543e-22,"","Lipocalin-like domain"
"Mycgr3G39840",433.84370202857,-3.09749390889397,0.308734022612236,-10.0328881238475,1.09272667717313e-23,1.19815407432647e-20,"RDH1","KR domain"
"Mycgr3G90715",612.569097979114,-3.28311198504996,0.327457839855774,-10.0260601074507,1.17096174057316e-23,1.19815407432647e-20,"","von Willebrand factor type A domain"
"Mycgr3G45389",372.703654445418,-5.04024152982885,0.509491249655002,-9.89269498395078,4.47807287307215e-23,4.12385730881214e-20,"","KR domain"
"Mycgr3G97077",3518.72279650321,-5.90208655690103,0.599345743066783,-9.84754897348687,7.02358673355443e-23,5.88001911175479e-20,"",""
"Mycgr3G91855",769.945196627103,2.29146490024048,0.235645529688654,9.72420271781971,2.37760640710161e-22,1.82461478358323e-19,"","Peptidase A4 family"
