rxn_id,enzyme_id,group,u_sub_29C,u_opt_39C,u_supra_43.95C
SHK3DrNo1,P15770,default,1.4367678921650427e-07,1.4477716989371106e-07,1.2149421284326798e-07
DURIPPNo1,P07650,default,5.518045355571159e-05,0.002382924329234697,0.0
PPANo1,P0A840,default,0.0001728387648329576,0.00012810128431257713,0.00012059473988418596
APRAURNo1,P25539,default,1.85626025202775e-06,1.373139947494872e-06,1.1355149079673732e-06
DB4PSNo1,P0A7J0,default,0.0005002076597475276,0.0003496157094170983,0.00028231475077624026
ALARNo1,P29012,default,5.80101134906597e-05,4.334640997816945e-05,0.0016550489996660707
RBFKNo1,P0AG40,default,2.2852906454996688e-06,2.069119652568866e-06,1.6672714606746288e-06
PPMNo1,P0A6K6,default,0.0,3.06526465829173e-05,2.1465231003307522e-05
RBFSbNo1,P0AFU8,default,0.00024037292865746655,0.00017851526217167775,0.0006170604058723543
PYKNo1,P21599,default,0.0,0.0012058937459444455,0.0
SHCHD2No1,P0AEA8,default,5.222271658673007e-07,5.534662191317095e-07,1.1878019429961446e-05
A5PISONo1,P45395,default,0.0,0.0,7.550464816422571e-06
A5PISONo2,P17115,default,1.0625326039589348e-05,9.531779662226077e-06,0.0
PMDPHTNo2,P0ADP0,default,1.3053840384183558e-05,1.217636070455311e-05,9.811796511445128e-06
RBFSaNo1,P61714,default,2.5233956860868107e-07,1.5872529667252876e-07,1.1115212541355853e-07
PSCVTNo1,P0A6D3,default,1.0460976830335912e-06,8.146126566054181e-07,7.640043723787911e-07
POXNo1,P07003,default,0.0014478416603029751,0.0018586043589641744,0.0
CHORSNo1,P12008,default,1.8556308740852448e-06,1.4073460734384624e-06,1.0280131394265963e-06
ACKrNo1,P0A6A3,default,0.00023064276800148766,0.0,0.0
ACKrNo3,P11868,default,0.0,0.0018220979693512624,1.9660259908325244e-05
DMATTNo1,P22939,default,3.972231817706808e-05,3.411220991042536e-05,4.035350400000661e-05
GRTTNo1,P22939,default,3.972231817706808e-05,3.411220991042536e-05,4.035350400000661e-05
UPP3SNo1,P09126,default,6.746494163176668e-08,4.816827644433974e-08,3.461709413901593e-08
UPPDC1No1,P29680,default,7.512519585204802e-05,5.351539656737811e-05,3.7632413979238315e-05
MOATNo1,P0AC75,default,0.0001546308991016819,0.00011845931469370153,8.576809031683593e-05
UDCPDPSNo1,P60472,default,1.7556262924637595e-06,1.2325899136412317e-06,9.361105560447485e-07
ECOAH6No1,P77399,default,6.135122291821053e-06,5.004135915969669e-06,3.7268193525794882e-06
USHDNo1,P43341,default,3.801015923098816e-05,3.361605821492767e-05,2.617830592660992e-05
ENONo1,P0A6P9,default,0.00046190833440118786,0.012338142342681295,2.0816923116146605e-05
ECOAH4No1,P77399,default,7.852257535220519e-06,6.404723831801096e-06,4.7699041602986025e-06
LPADSSNo1,P10441,default,1.6398120568315954e-06,1.3782086752698537e-06,1.070720737623546e-06
GLUTRSNo1,P04805,default,0.00022466389942237994,0.00016631727471777606,0.00011830520145802168
TDSKNo1,P27300,default,0.0007777962770636786,0.0005577562822442515,0.00039557123510852905
PGINo1,P0A6T1,default,5.666368912611422e-06,0.0,0.0
URIK1No1,P0A8F4,default,7.083432302437894e-05,0.0,4.394032947281019e-05
URIK2No1,P0A8F4,default,0.0,5.240893165690592e-05,0.0
RPENo1,P0AG07,default,7.370435045609074e-08,0.0,0.0
DHQTiNo1,P05194,default,2.0149060003289137e-07,1.5019574423190052e-07,1.0718621070453152e-07
TALANo1,P0A870,default,4.289736927260277e-06,0.0,0.0
TKT1No2,P33570,default,1.1599090675139024e-06,0.0,0.0
PUNP5No1,P45563,default,6.02776947910185e-06,0.0,0.0
PUNP5No2,P0ABP8,default,0.0,2.5850703704236168e-06,2.8456162271842813e-06
ALDD2yNo4,P0AFP4,default,0.0011592166849282261,0.0,0.0
TMDSNo1,P0A884,default,5.0177805385028726e-05,3.3719771630511976e-05,2.783153018009118e-05
PPCDCNo1,P0ABQ0,default,6.945883681708008e-05,6.770993681232864e-05,0.01543931052050347
FUMNo2,P14407,default,0.0,0.0,0.006201607972011935
FUMNo3,P05042,default,0.007827379844764408,0.0,0.0
FMNATNo1,P0AG40,default,2.2852906454996688e-06,2.069119652568866e-06,1.6672714606746288e-06
SERD_LNo5,P0AGF6,default,0.00014380486647721353,0.0,7.299045161741614e-05
ACCOACNo1,P0A9Q5,default,0.00022554657001207064,0.00016500334758396814,0.0001168636710563094
NADKNo1,P0A7B3,default,2.7328845070795567e-07,2.1677101652859457e-07,1.602890389567878e-07
GLUTRRNo1,P0A6X1,default,0.002225540766974477,0.0020017819284130563,0.0016898186033279877
HACD6No2,P77399,default,6.135122291821053e-06,5.004135915969669e-06,3.7268193525794882e-06
ECOAH1No1,P77399,default,7.852257535220519e-06,6.404723831801096e-06,4.7699041602986025e-06
ECOAH2No1,P77399,default,7.852257535220519e-06,6.404723831801096e-06,4.7699041602986025e-06
G1SATNo1,P23893,default,0.00044812660592189423,0.0003272918614454629,0.0002607535192471603
KDOCT2No1,P04951,default,0.0001554542803178241,0.00010093564978974623,7.205798295662807e-05
ECOAH3No1,P77399,default,7.852257535220519e-06,6.404723831801096e-06,4.7699041602986025e-06
DXPSNo1,P77488,default,0.00013274624707360424,0.00011510417369745587,0.00016131262908841406
CDPMEKNo1,P62615,default,0.00019281196550191118,0.00017931492134592994,0.0001559244609275868
MECDPSNo1,P62617,default,3.927948625374805e-05,2.9010219623585582e-05,2.188147930258616e-05
XYLI2No1,P00944,default,0.0,0.0,0.00012084151319908727
UAGDPNo1,P0ACC7,default,3.0084094232472474e-05,3.9062594621420095e-05,0.004618853725712383
UAGCVTNo1,P0A749,default,0.0005476213615105328,0.000478745535946936,0.00043152761020768
GLYCLNo1,P0A6T9,default,3.4116165814888185e-06,1.7941605634480306e-06,1.1707384282584462e-06
NNDPRNo1,P30011,default,0.0,0.0,0.0008291223202464051
HACD4No2,P77399,default,7.852257535220519e-06,6.404723831801096e-06,4.7699041602986025e-06
HACD5No2,P77399,default,7.852257535220519e-06,6.404723831801096e-06,4.7699041602986025e-06
HACD7No1,P77399,default,6.135122291821053e-06,5.004135915969669e-06,3.7268193525794882e-06
