rxn_id,enzyme_id,parameter,ident,top_descriptor,identifiable_from_growth,refined
LIPAabctexNo1,P0A9V1,Topt_i,0.0,CT_max_C,False,False
DGUNCNo1,P77302,Topt_i,0.0,CT_max_C,False,False
DGUNCNo2,P76245,Topt_i,0.0,CT_max_C,False,False
DGUNCNo3,P31129,Topt_i,0.0,CT_max_C,False,False
DGUNCNo4,P75908,Topt_i,0.0,CT_max_C,False,False
DGUNCNo5,P0AA89,Topt_i,0.0,CT_max_C,False,False
XYLK2No1,P08204,Topt_i,0.0,CT_max_C,False,False
XYLK2No2,P37677,Topt_i,0.0,CT_max_C,False,False
GLDBRAN2No1,P15067,Topt_i,0.0,CT_max_C,False,False
S2FE2SRNo1,P77444,Topt_i,0.0,CT_max_C,False,False
CDGUNPDNo1,P77172,Topt_i,0.0,CT_max_C,False,False
CDGUNPDNo2,P76129,Topt_i,0.0,CT_max_C,False,False
CDGUNPDNo3,P37646,Topt_i,0.0,CT_max_C,False,False
CDGUNPDNo4,P77334,Topt_i,0.0,CT_max_C,False,False
CDGUNPDNo5,P21514,Topt_i,0.0,CT_max_C,False,False
ACACT8rNo1,P76503,Topt_i,0.0,CT_max_C,False,False
ACACT8rNo2,P21151,Topt_i,0.0,CT_max_C,False,False
CTECOAI7No1,P21177,Topt_i,0.0,CT_max_C,False,False
CLIPAabctexNo1,P0A9V1,Topt_i,0.0,CT_max_C,False,False
3AMACHYDNo1,P75895,Topt_i,0.0,CT_max_C,False,False
K2L4AabctexNo1,P0A9V1,Topt_i,0.0,CT_max_C,False,False
FDH4ppNo1,P0AAJ5,Topt_i,0.0,CT_max_C,False,False
FDH4ppNo2,P0AAJ3,Topt_i,0.0,CT_max_C,False,False
FDH5ppNo1,P0AAJ3,Topt_i,0.0,CT_max_C,False,False
FDH5ppNo2,P0AAJ5,Topt_i,0.0,CT_max_C,False,False
ACPPAT140No1,P0A6A8,Topt_i,0.0,CT_max_C,False,False
APG3PAT140No1,P60782,Topt_i,0.0,CT_max_C,False,False
LDGUNPDNo1,P77334,Topt_i,0.0,CT_max_C,False,False
MPTATNo1,P0AF03,Topt_i,0.0,CT_max_C,False,False
APG3PAT141No1,P60782,Topt_i,0.0,CT_max_C,False,False
MOADSUxNo1,P0A6B7,Topt_i,0.0,CT_max_C,False,False
APG3PAT181No1,P60782,Topt_i,0.0,CT_max_C,False,False
APH140No1,P0AB65,Topt_i,0.0,CT_max_C,False,False
APH160No1,P0AB65,Topt_i,0.0,CT_max_C,False,False
OPMEACPDNo1,P0A6Q6,Topt_i,0.0,CT_max_C,False,False
EPMEACPRNo1,P0AEK4,Topt_i,0.0,CT_max_C,False,False
AOXSr2No1,P12998,Topt_i,0.0,CT_max_C,False,False
SCYSDSNo1,P77444,Topt_i,0.0001075150008125281,niche_width_C,False,True
S2FE2SSNo1,P77444,Topt_i,2.2031927526371185e-05,CT_max_C,False,False
CCGSNo1,P77756,Topt_i,0.0,CT_max_C,False,False
SELRNo1,P0AAJ1,Topt_i,0.0,CT_max_C,False,False
OGMEACPDNo1,P0A6Q6,Topt_i,0.0,CT_max_C,False,False
EGMEACPRNo1,P0AEK4,Topt_i,0.0,CT_max_C,False,False
OPMEACPRNo1,P0AEK2,Topt_i,0.0,CT_max_C,False,False
PMEACPENo1,P13001,Topt_i,0.0,CT_max_C,False,False
REPHACCOAINo1,P77467,Topt_i,0.0,CT_max_C,False,False
ACPPAT141No1,P0A6A8,Topt_i,0.0,CT_max_C,False,False
ACPPAT161No1,P0A6A8,Topt_i,4.380554571773052e-05,CT_max_C,False,False
ACPPAT180No1,P0A6A8,Topt_i,0.0,CT_max_C,False,False
APG3PAT160No1,P60782,Topt_i,0.0005032783750656965,CT_max_C,False,True
APG3PAT161No1,P60782,Topt_i,0.0005931858887017978,CT_max_C,False,True
APG3PAT180No1,P60782,Topt_i,0.0,CT_max_C,False,False
ICYSDSNo1,P0A6B7,Topt_i,0.0,CT_max_C,False,False
