Topt_C,rmax,CTmin_C,CTmax_C,niche_width_C,B80_C,Ea_eV,Ea_kJmol,skewness
37.0,0.4459776063166479,16.980579671298564,46.93602707192435,29.955447400625786,11.496662133343456,0.9711099041222813,93.69753909923831,-0.5713899303133494
43.0,0.35870029855101415,36.29541652253915,46.95966138287882,10.664244860339672,3.4654128232093697,,,-2.507260433563832
48.0,0.0038853750445115723,43.088683931561484,53.58866985772413,10.499985926162644,4.03243100347639,6.221183719324156,600.2509111589911,-2.840536732535595
37.0,0.4541508800455639,10.470797112729164,46.832594356740785,36.36179724401162,15.31929113819601,0.9202172805993687,88.78716431863009,-0.44934831006411674
37.0,0.454150880045564,16.31956510164496,46.93653655835092,30.61697145670596,10.283580883918987,1.0979056698019976,105.93142855084574,-0.5676628411431083
45.0,0.14316985444437788,43.59648263911716,47.45457386860389,3.8580912294867247,0.9234209952579349,,,-3.4592736466083625
37.0,0.45415088004556403,6.452402890814731,46.80484909712332,40.35244620630859,17.57953533158021,0.8020471712522956,77.38552131827774,-0.41104934755506395
41.0,0.39051715904919726,32.694122783373736,47.212706446227855,14.51858366285412,5.863317682631411,2.8771681725915466,277.60357113249535,-0.6129205998606904
37.0,0.45415088004556403,5.52854085880501,46.80145752500437,41.272916666199364,18.77382246075857,0.7558319158273114,72.92644239859814,-0.37061589410178813
42.0,0.37460872880010565,37.5697327548729,47.721719190136305,10.151986435263403,4.377510883660982,6.150168719372231,593.3990288886297,-0.47343170885826685
47.0,0.0035020748516970297,43.07703344607914,52.0044498044905,8.927416358411357,2.9036082461556774,5.413652212835131,522.3362337553976,-5.046313074461024
37.0,0.454150880045564,5.0,46.74995555417001,41.74995555417001,20.40708164761586,0.7002964734540068,67.56810524120985,-0.3241539095339445
47.0,0.11614415230610249,44.09128503888856,49.340637639003575,5.249352600115017,1.070479727580178,,,-6.41376691743139
37.0,0.4541508800455641,5.0,46.80586762444024,41.80586762444024,20.576976207044503,0.6814842144541691,65.7530044316105,-0.31999210640764303
39.0,0.4158974182382026,34.64498329375522,46.86454724670789,12.219563952952676,6.82650427685045,5.858473682973311,565.2548333016799,-2.2344687914738075
37.0,0.45415088004556403,10.939745455665806,46.85861797243684,35.91887251677103,14.120728260846942,0.931798619854401,89.90458983665188,-0.4646327712276821
41.0,0.39051715904919754,37.65452457018241,47.15488099728855,9.50035642710614,4.81494767838403,,,-1.2997668992053664
37.0,0.45415088004556403,7.879933677400315,46.83267081929765,38.95273714189733,15.813290346159,0.8715228907814166,84.08888611704498,-0.47209481979021894
37.0,0.45415088004556403,6.503699782541197,46.76787683187583,40.264177049334634,17.68592446982125,0.7999938983337179,77.18741128072877,-0.40589915249499336
45.0,0.3358449312176597,42.012159277527616,49.190999562069436,7.17884028454182,2.9809625948053196,,,-0.4844887646273428
37.0,0.45415088004556403,7.88342243053606,46.823922139132094,38.940499708596036,16.137076487157326,0.8622542946057372,83.19460561503456,-0.4571388466083281
37.0,0.45415088004556403,5.0,46.77089070863423,41.77089070863423,20.027462138384358,0.7181005045748345,69.28592718390291,-0.33764959183467297
37.0,0.454150880045564,10.12247017488895,46.87826082781866,36.755790652929704,14.235831467038487,0.9251286923949326,89.26104188572506,-0.521273992741058
37.0,0.45415088004556403,12.725944767632283,46.81094018239723,34.08499541476495,15.115765312993755,1.1488084700102026,110.84278522893439,-0.4371527205214503
37.0,0.45415088004556403,5.881621438510023,46.81979025536951,40.93816881685949,17.975061224634853,0.7949630199982034,76.70200698452665,-0.40118051478423056
37.0,0.45415088004556403,20.06662056753535,46.866210889342156,26.799590321806807,11.947745330687301,1.4028835955909433,135.35722372059217,-0.35561262114442066
37.0,0.45415088004556403,10.073664605785064,46.832786804054095,36.75912219826903,13.978079143654423,0.907581729101272,87.56802313233622,-0.5175889717682148
45.0,0.01749585566115289,40.89981732372027,49.94885507419136,9.049037750471086,5.230138779381399,,,-2.0773823668833074
37.0,0.45415088004556403,11.153943156357268,46.869917242853084,35.71597408649582,13.580542129051327,0.97338567167048,93.91711653112625,-0.5131295897050384
37.0,0.45415088004556403,5.0,46.730698727601116,41.730698727601116,21.31303131935593,0.6662283092858999,64.28103842145005,-0.2976113552314247
37.0,0.45415088004556403,7.2348882218463615,46.78734573738363,39.55245751553727,16.64497155326771,0.8269621238399029,79.78944051869303,-0.44542768147098444
37.0,0.45415088004556403,5.1436704480278825,46.754076514945,41.610406066917115,19.5793742815425,0.7151590191663851,69.00211796426866,-0.3467759916702172
37.0,0.45415088004556403,5.9111810803132006,46.80050228536436,40.88932120505116,18.119550547971347,0.777672414073509,75.03372287188252,-0.39294240525317253
49.0,0.006907082294156813,44.32392935556875,53.69761406931885,9.373684713750102,3.9472778960528885,9.034061154702913,871.6513905115106,-1.4463835171515782
45.0,0.11248635559254933,42.65939548562585,49.44320221728234,6.78380673165649,1.6295757343127164,,,-4.325363821868793
37.0,0.4541508800455641,7.716479959135668,46.82384409941548,39.10736414027981,16.48299639326508,0.8398621423279654,81.03409880251374,-0.44120895989615433
37.0,0.4541508800455641,13.57364406394706,46.86825819305618,33.29461412910912,11.650520223601625,0.9725255309947933,93.83412585803264,-0.5667259755600744
37.0,0.45415088004556403,15.448679771079044,46.89521209090883,31.446532319829785,10.472223985759648,1.025045009303134,98.90146772261289,-0.5362569004576675
41.0,0.39051715904919787,39.00865198648595,46.92633429157484,7.9176823050888885,4.529895658430426,,,-2.4632853249079014
37.0,0.45415088004556403,5.490967704686557,46.82386147406815,41.3328937693816,18.585598063276116,0.755290358579038,72.87419024749849,-0.3809591263789679
37.0,0.4541508800455641,9.75282793459656,46.87568232716097,37.12285439256441,14.398166156892493,0.903644332159912,87.18812338844911,-0.5115275206044957
37.0,0.45415088004556403,7.014661703261007,46.847275392278476,39.83261368901747,17.31871036904905,0.8275300966207011,79.84424137244835,-0.4129599330075576
45.0,0.10911334955792036,42.43485556445642,47.817126580384254,5.382271015927834,1.440154995045063,,,-3.8812570207037864
37.0,0.45415088004556403,11.977804329959314,46.832401844089645,34.85459751413033,12.917457145480412,0.9773366826134714,94.29832982196079,-0.5565493695720031
37.0,0.45415088004556403,7.9976359219373405,46.837714707404174,38.84007878546684,15.992011944208752,0.8615148240868866,83.12325780202326,-0.45607674183081587
57.0,1.1658208961222182e-05,22.258829871729073,60.0,37.74117012827092,8.860019126563522,0.18170821856329453,17.532117468079473,-0.7479788798394568
46.0,0.006263847416416106,43.13989204846878,51.813844276300884,8.673952227832103,2.342539038988029,,,-5.807160007749155
37.0,0.45415088004556403,7.854328240118899,46.82157089725006,38.967242657131166,16.095818570387106,0.8524415397303139,82.24782196087934,-0.4528885106302423
45.0,0.31812152580194236,42.10872786889216,48.89540324014059,6.786675371248428,2.5583210488259027,,,-1.73570550644376
37.0,0.45415088004556403,9.506593095594535,46.83057869690307,37.323985601308536,15.016920563011272,0.9349911624133871,90.21262230545565,-0.49868017767764505
37.0,0.45415088004556403,5.0,46.571446666659234,41.571446666659234,23.767925005885974,0.5617944711964059,54.204739553385224,-0.22597816778534888
43.0,0.35870029855101415,37.004072570866434,46.9042500993795,9.900177528513069,3.6723829888354373,4.6170685157561095,445.47785574272825,-1.7050181775659898
40.0,0.4064255892982892,35.42908765151464,46.87778707528682,11.448699423772176,6.4519834767139415,5.695242466072715,549.5054693390259,-3.7681945694797343
38.0,0.43824244979647253,32.06259327536349,46.89896263298841,14.836369357624918,9.608148270140553,4.789585052241868,462.12311376555664,-1.9853390332783272
47.0,0.17801744734222175,44.20230809833413,49.76708540412066,5.564777305786528,1.260451515949562,,,-3.122081730702356
37.0,0.45415088004556403,5.0,46.67068542178846,41.67068542178846,23.879213176334588,0.5371939761712583,51.83116079088386,-0.22544811271017706
37.0,0.45415088004556403,10.827652800137779,46.82184072427246,35.994187924134685,14.852028271442443,0.9188577419367353,88.65598923076591,-0.437798782393869
43.0,0.35870029855101443,37.28662054152707,46.95262961483674,9.666009073309667,3.5273528745282405,4.571892139639621,441.1190130931288,-0.9580700813134542
46.0,0.13215758276193915,42.68629856940195,49.16662948114274,6.4803309117407935,2.4748126008280664,,,-2.3404799699468115
37.0,0.45415088004556403,10.095008956008177,46.83827717895739,36.74326822294921,13.274396451298575,0.853993001426448,82.39751474263083,-0.5553826159838758
37.0,0.45415088004556403,8.10186737187444,46.86489935181678,38.76303197994234,15.764992401377079,0.8439107064198657,81.42472450892073,-0.464919060136526
37.0,0.45415088004556403,9.75515234691271,46.81308877019851,37.0579364232858,12.328825055573272,0.8283466903638106,79.92303041975227,-0.5744780753606398
37.0,0.45415088004556403,7.48038136472522,46.80606089698135,39.32567953225613,17.160767905167514,0.826094080778991,79.70568738396095,-0.411443810092219
37.0,0.45415088004556403,10.981781994967244,46.8375463165243,35.85576432155706,13.524472311191278,0.8350614221558146,80.57090131670377,-0.46844003891985725
37.0,0.454150880045564,17.11388605399181,46.83207488027674,29.718188826284933,13.842117592076317,1.3291534482067897,128.2433704502321,-0.6085055013403483
40.0,0.3971256518532822,33.26873590003063,47.275359043573665,14.006623143543038,6.277549370815599,3.643756444569975,351.567840554334,-0.46177041131049423
37.0,0.45415088004556403,5.376317084112925,46.774610150599415,41.39829306648649,19.001180227807463,0.7515973677879607,72.51787203102138,-0.36598578447349767
