temp_C,growth
5.0,0.0065729326658179685
6.0,0.010328524341876956
7.0,0.014347209053695763
8.0,0.01945327695257995
9.0,0.025458355095007053
10.0,0.032490232105575945
11.0,0.040821829480691685
12.0,0.05050569935782445
13.0,0.061571325038196206
14.0,0.07406174170935831
15.0,0.08801556504433938
16.0,0.10345145407273412
17.0,0.12035445933752899
18.0,0.1387007786907695
19.0,0.1584307847267186
20.0,0.17945201199022195
21.0,0.2016708412765457
22.0,0.22494827831383093
23.0,0.24925209574795834
24.0,0.2745229251179997
25.0,0.30031365332111454
26.0,0.3264112633861752
27.0,0.35245620844010433
28.0,0.3781581731260892
29.0,0.4032309245378216
30.0,0.42738745176979986
31.0,0.43396482864604086
32.0,0.4373291705459614
33.0,0.4406935124458819
34.0,0.44405785434580236
35.0,0.4474221962457229
36.0,0.45078653814564357
37.0,0.4541508800455641
38.0,0.4382424497964724
39.0,0.4223340195473807
40.0,0.40642558929828915
41.0,0.39051715904919737
42.0,0.37460872880010576
43.0,0.3587002985510142
44.0,0.35870029855101415
45.0,0.3501850221881961
46.0,0.0959045187366603
47.0,0.009097535741067397
48.0,0.0009069833846213206
49.0,7.104573893163571e-05
50.0,1.2498965340612776e-05
51.0,1.2431421592198145e-05
52.0,1.190891020100973e-05
53.0,1.059903434848268e-05
54.0,7.382083858552592e-06
55.0,5.270125578246533e-06
56.0,3.245674917564657e-06
57.0,3.2491059649645096e-06
58.0,2.9080271335824012e-06
59.0,5.937361573783433e-06
60.0,5.074147116017702e-06
