EFMGRG_id_original,Mycgr3G_id,match_confidence
Mycgr3G100746,Mycgr3G100746,unique
Mycgr3G100756,Mycgr3G100756,unique
Mycgr3G100764,Mycgr3G100764,unique
Mycgr3G100770,Mycgr3G100770,unique
Mycgr3G100791,Mycgr3G100791,unique
Mycgr3G100794,Mycgr3G100794,unique
Mycgr3G100796,Mycgr3G100796,unique
Mycgr3G100832,Mycgr3G100832,unique
Mycgr3G100838,Mycgr3G100838,unique
Mycgr3G100839,Mycgr3G100839,unique
Mycgr3G100840,Mycgr3G100840,unique
Mycgr3G100846,Mycgr3G100846,unique
Mycgr3G100850,Mycgr3G100850,unique
Mycgr3G100851,Mycgr3G100851,unique
Mycgr3G100854,Mycgr3G100854,unique
Mycgr3G100869,Mycgr3G100869,unique
Mycgr3G100872,Mycgr3G100872,unique
Mycgr3G100874,Mycgr3G100874,unique
Mycgr3G100879,Mycgr3G100879,unique
Mycgr3G100881,Mycgr3G100881,unique
Mycgr3G100890,Mycgr3G100890,unique
Mycgr3G100894,Mycgr3G100894,unique
Mycgr3G100895,Mycgr3G100895,unique
Mycgr3G100896,Mycgr3G100896,unique
Mycgr3G100899,Mycgr3G100899,unique
Mycgr3G100901,Mycgr3G100901,unique
Mycgr3G100915,Mycgr3G100915,unique
Mycgr3G100939,Mycgr3G100939,unique
Mycgr3G100940,Mycgr3G100940,unique
Mycgr3G100955,Mycgr3G100955,unique
Mycgr3G100958,Mycgr3G100958,unique
Mycgr3G100962,Mycgr3G100962,unique
Mycgr3G100967,Mycgr3G100967,unique
Mycgr3G100974,Mycgr3G100974,unique
Mycgr3G100978,Mycgr3G100978,unique
Mycgr3G100985,Mycgr3G100985,unique
Mycgr3G100988,Mycgr3G100988,unique
Mycgr3G100990,Mycgr3G100990,unique
Mycgr3G100994,Mycgr3G100994,unique
Mycgr3G10100,Mycgr3G10100,unique
Mycgr3G101007,Mycgr3G101007,unique
Mycgr3G101009,Mycgr3G101009,unique
Mycgr3G101025,Mycgr3G101025,unique
Mycgr3G101026,Mycgr3G101026,unique
Mycgr3G101027,Mycgr3G101027,unique
Mycgr3G101035,Mycgr3G101035,unique
Mycgr3G101041,Mycgr3G101041,unique
Mycgr3G101059,Mycgr3G101059,unique
Mycgr3G101063,Mycgr3G101063,unique
Mycgr3G101067,Mycgr3G101067,unique
Mycgr3G101069,Mycgr3G101069,unique
Mycgr3G101073,Mycgr3G101073,unique
Mycgr3G101077,Mycgr3G101077,unique
Mycgr3G101079,Mycgr3G101079,unique
Mycgr3G10108,Mycgr3G10108,unique
