gene_id,15C_0ug_rep1 (12129_15_0_R1_S9),15C_0ug_rep2 (12129_15_0_R2_S10),15C_0ug_rep3 (12129_15_0_R3_S11),15C_0ug_rep4 (12129_15_0_R4_S12),15C_0ug_rep5 (12129_15_0_R5_S13),15C_0ug_rep6 (12129_15_0_R6_S14),15C_0ug_rep7 (12129_15_0_R7_S15),15C_0ug_rep8 (12129_15_0_R8_S16),15C_2ug_rep1 (12129_15_2_R1_S17),15C_2ug_rep2 (12129_15_2_R2_S18),15C_2ug_rep3 (12129_15_2_R3_S19),15C_2ug_rep4 (12129_15_2_R4_S20),15C_2ug_rep5 (12129_15_2_R5_S21),15C_2ug_rep6 (12129_15_2_R6_S22),15C_2ug_rep7 (12129_15_2_R7_S23),15C_2ug_rep8 (12129_15_2_R8_S24),21C_0ug_rep1 (12129_21_0_R1_S25),21C_0ug_rep2 (12129_21_0_R2_S26),21C_0ug_rep3 (12129_21_0_R3_S27),21C_0ug_rep4 (12129_21_0_R4_S28),21C_0ug_rep5 (12129_21_0_R5_S29),21C_0ug_rep6 (12129_21_0_R6_S30),21C_0ug_rep7 (12129_21_0_R7_S31),21C_0ug_rep8 (12129_21_0_R8_S32),21C_2ug_rep1 (12129_21_2_R1_S33),21C_2ug_rep3 (12129_21_2_R3_S34),21C_2ug_rep4 (12129_21_2_R4_S35),21C_2ug_rep5 (12129_21_2_R5_S36),21C_2ug_rep6 (12129_21_2_R6_S37),21C_2ug_rep7 (12129_21_2_R7_S38),21C_2ug_rep8 (12129_21_2_R8_S39),27C_0ug_rep1 (12129_27_0_R1_S40),27C_0ug_rep2 (12129_27_0_R2_S41),27C_0ug_rep4 (12129_27_0_R4_S42),27C_0ug_rep5 (12129_27_0_R5_S43),27C_0ug_rep6 (12129_27_0_R6_S44),27C_0ug_rep7 (12129_27_0_R7_S45),27C_0ug_rep8 (12129_27_0_R8_S46),27C_2ug_rep1 (12129_27_2_R1_S47),27C_2ug_rep2 (12129_27_2_R2_S48),27C_2ug_rep3 (12129_27_2_R3_S49),27C_2ug_rep4 (12129_27_2_R4_S50),27C_2ug_rep6 (12129_27_2_R6_S51),27C_2ug_rep7 (12129_27_2_R7_S52),27C_2ug_rep8 (12129_27_2_R8_S53)
Mycgr3G62978,153.6524,231.4511,365.5272,228.4443,209.69,369.9597,253.6148,144.0411,378.3217,350.9913,220.8927,262.9146,434.5407,451.3267,384.8533,350.94,112.6195,56.2902,195.6777,410.557,134.4314,135.4385,211.796,142.6138,433.1278,691.7214,501.4326,222.9296,658.8745,583.4397,293.9318,195.6612,169.6299,203.0537,211.7226,281.6561,68.7045,298.4648,249.2639,292.8026,218.5514,508.2308,336.0067,397.753,88.8545
Mycgr3G62993,373.0901,313.2173,312.3857,324.487,344.9967,369.3697,354.8169,356.9291,406.6958,395.2911,635.0665,319.2534,491.5619,401.6592,328.7289,394.5652,569.7221,357.3205,424.7769,412.8591,503.4148,451.1062,450.1357,433.1233,466.7103,410.1357,466.6328,175.0102,523.6577,562.2916,353.1828,379.1337,531.2095,376.6996,374.3875,435.0186,281.5538,409.8917,359.3757,438.042,698.4142,576.3998,628.027,451.8626,653.0269
Mycgr3G63016,332.6068,355.4192,262.8349,242.1647,344.9967,233.6588,292.6325,350.0932,218.8861,158.4572,200.184,136.3993,197.6079,261.2944,180.9727,215.2174,204.7627,102.7908,189.748,264.7517,267.7379,199.9584,216.22,190.1517,269.5209,290.0027,305.2886,318.7685,255.6827,187.8452,135.9289,221.3217,220.6464,252.0667,194.9397,159.2611,167.0463,266.6286,229.9036,228.8973,199.5469,232.8547,139.29,185.1118,173.4268
Mycgr3G63029,209.3169,189.9086,260.6805,223.6422,236.6096,313.9052,282.8781,232.4189,512.0854,601.4559,510.8143,490.2467,622.3174,511.7915,481.0666,594.2714,236.0793,161.5285,256.5911,303.1215,274.4876,305.0032,233.9157,297.6779,791.3409,848.583,403.3606,545.8651,819.9054,890.7097,613.4228,363.0959,359.0287,459.3215,329.2028,544.8792,339.4812,367.1118,744.1617,755.2448,513.1207,727.5867,620.696,720.512,741.8814
Mycgr3G63214,5.5204,2.6376,10.7719,12.3483,5.6673,2.9502,6.0965,1.9531,8.1069,0.0,0.0,3.9536,0.0,0.0,8.0178,20.3584,3.6135,0.0,2.6953,5.3718,1.1249,5.3322,7.7419,4.1501,1.7222,6.1214,0.0,0.0,22.1264,2.488,0.0,1.9245,2.5508,1.4004,11.6189,4.4239,0.0,16.913,6.0501,26.724,0.0,14.1738,0.0,12.3408,3.2116
Mycgr3G63277,131.1106,162.873,155.8338,98.7867,140.974,118.0095,93.8863,156.248,74.3132,30.6691,6.9029,58.3156,125.8399,62.6243,83.614,68.8308,135.5047,83.2116,96.4912,95.1571,92.8083,92.7807,80.7369,106.3944,66.3039,107.8902,44.2906,56.2533,71.2961,83.3485,108.0461,130.227,86.0904,84.0222,49.0577,32.4421,107.7718,101.478,91.9615,81.3341,14.2534,121.4894,92.86,84.4869,39.6098
Mycgr3G63336,1864.0702,1928.7592,1284.013,1532.5663,1704.4393,1026.0924,1281.4866,1988.7444,636.3911,560.5637,635.0665,633.5648,487.6294,757.9697,518.8647,524.4711,1029.8358,1412.1503,1168.6755,970.7562,1082.2012,1239.2089,967.7364,1146.1921,712.1207,687.1303,844.6845,937.5545,569.1398,700.3765,902.7075,890.4188,759.5084,952.2519,1191.5849,776.3976,1056.1636,1001.847,758.682,1041.0759,1137.8926,1308.7111,1122.8732,819.2382,967.7644
Mycgr3G63387,0.9201,1.3188,0.0,4.8021,1.4168,0.0,0.0,0.4883,0.0,1.7038,0.0,0.0,0.0,2.1595,4.5816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.659,1.1319,0.0,0.7652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9493,0.0
Mycgr3G63400,1120.6503,1240.9999,899.0964,1157.3139,1153.2948,1125.8104,701.0987,1147.4464,1690.2871,1317.0692,1587.6662,1090.2059,1456.0064,742.8535,1124.7796,1208.9011,1355.0472,1184.542,1171.9098,1164.9074,1452.872,1517.0178,1178.4264,1586.1065,1223.6077,1150.0633,917.4476,885.4681,1708.6485,1183.0516,845.78,1157.2878,1325.7917,850.0248,1026.3381,734.3704,657.408,781.9779,1170.0885,916.751,669.9075,1275.639,984.805,956.8855,793.2671
Mycgr3G63409,170.2137,168.1482,253.4992,259.3152,196.9385,329.2464,396.2732,181.6383,809.3381,749.6901,220.8927,701.7645,786.4991,317.4403,684.9472,671.8272,324.6091,168.8707,267.9113,438.9506,276.175,269.2773,285.897,289.7549,659.5943,733.8062,487.1963,154.1756,936.6836,843.4374,241.6514,304.0767,390.2764,221.2585,305.9649,202.0256,157.6163,252.7002,323.0751,412.4799,285.067,454.2355,299.3514,692.9825,231.2357
Mycgr3G63422,737.8995,698.3097,486.8908,806.7583,758.7093,743.4597,654.7653,761.2208,456.6883,509.4485,524.6201,617.7504,416.8445,447.0078,445.5593,446.9153,769.0645,543.323,784.3279,752.0483,896.5846,939.0047,786.9079,814.9358,632.9005,442.2732,563.123,395.8563,510.1361,701.6205,510.0239,705.6633,804.1479,526.5393,577.0731,747.6422,656.0608,679.505,701.8111,579.7956,501.2429,508.9057,476.5186,432.8768,606.9938
Mycgr3G63449,374.4702,379.8172,288.6875,249.0249,261.404,305.6445,207.2814,385.249,177.0005,269.2069,158.7666,239.193,262.4941,250.4971,95.0679,188.0728,496.8506,472.3484,350.9261,390.6047,313.8608,348.1943,410.8732,446.7055,210.9668,209.6589,158.1806,262.5153,200.3667,175.4051,217.2539,357.9638,392.1895,282.8748,193.6487,308.1996,237.098,223.8486,312.1849,188.2302,313.5737,269.3016,293.2422,237.3228,219.4599
Mycgr3G63492,99.828,111.4394,121.3636,107.019,102.0113,136.891,162.1672,126.9515,252.6648,155.0495,55.2232,187.7961,147.4686,198.6701,162.6463,192.9201,152.3675,163.9759,139.6158,139.6661,121.4945,138.1046,130.5062,136.9545,207.5225,211.1893,101.2356,160.426,211.4299,125.6448,269.5343,136.0006,204.0661,159.6422,189.7757,224.1452,218.2379,185.0482,261.3641,139.4298,154.4113,180.2093,129.5153,182.2639,205.5429
Mycgr3G63510,686.8354,453.0111,851.6999,439.7381,408.7537,464.9573,1168.0915,428.2172,547.2153,681.5365,1214.9098,891.5374,699.9842,820.594,883.1009,766.833,621.515,1054.8298,873.8113,661.4955,823.4629,563.0829,1073.9109,538.3858,975.614,716.9723,969.6472,2333.469,746.1508,823.5333,1382.525,552.9834,657.4754,1568.4149,1346.5039,1817.493,2447.767,1411.7387,902.6743,1308.3164,4834.2618,1241.8919,1147.3101,1043.271,2193.528
Mycgr3G63538,8.7407,5.9346,0.0,4.1161,4.2505,1.7701,0.0,6.8359,4.0534,0.0,0.0,0.0,0.0,0.0,0.0,8.725,3.0112,0.0,2.1562,10.7435,5.0623,1.5997,7.7419,2.2637,3.4444,0.0,0.0,22.918,0.0,0.0,15.1032,2.566,8.2902,4.2011,0.0,2.9493,1.3471,0.0,14.5202,18.5906,0.0,8.0993,0.0,8.5436,5.3527
Mycgr3G63549,705.2368,678.5276,550.8042,489.1315,619.8605,562.3152,435.2909,540.5205,966.0714,1029.12,835.2505,1160.3824,1140.4237,881.0588,918.6082,851.175,589.5961,790.5105,686.7586,773.5353,774.5276,688.9234,680.1804,870.3967,677.6771,746.0491,417.5968,318.7685,578.9737,473.967,343.8886,506.1531,366.6812,452.3196,506.0686,377.5077,251.9166,355.1732,735.6916,727.3589,456.1073,573.7001,328.6756,720.512,270.8456
Mycgr3G63560,29.4424,52.093,5.745,38.4171,35.4206,38.3531,0.0,31.7379,32.4276,42.596,0.0,34.594,36.3756,0.0,53.8336,28.114,36.7368,56.2902,35.5778,29.9285,17.4367,22.9286,38.1565,33.5784,23.2494,53.5625,11.0726,0.0,17.2094,70.9085,39.5007,53.887,35.7116,28.0074,63.2586,40.5526,32.3315,36.8107,48.4008,47.6385,38.0089,33.7471,13.4403,27.5294,33.1866
Mycgr3G63574,1455.5573,1222.5366,1422.6117,1721.2215,1613.7626,1608.4692,1831.3918,1593.2416,1266.0264,1300.0308,1201.104,1557.7194,1304.6054,1509.461,1500.4697,1604.4358,1800.7071,1879.6039,2211.7507,1998.2997,2468.7011,2355.2435,1937.1318,1980.3694,2305.9967,1919.0678,2393.2727,1500.0872,2371.2108,2679.5931,1614.8821,2190.7639,2889.448,2226.589,2500.6501,2296.0135,2799.3725,2843.3751,2257.8956,2280.8394,2152.2561,2209.0828,2520.661,1996.3592,2925.7745
Mycgr3G63621,117.3095,119.3523,76.8397,88.4964,80.0506,76.1161,136.5618,77.1475,118.9011,102.2305,0.0,112.6777,109.1267,51.827,29.7803,60.1058,68.6557,168.8707,88.4053,48.346,73.6842,77.3173,84.0548,75.8343,86.97,53.5625,52.1996,143.7584,73.7546,69.6644,118.5021,54.5285,57.3936,133.0352,103.2793,129.7683,88.9117,103.4678,150.0424,192.8779,156.7869,99.2164,18.3276,89.2334,158.4393
Mycgr3G63646,117.7695,79.788,86.1754,54.8815,69.4244,52.5142,224.3516,65.9171,67.5574,105.6382,386.5622,127.5037,107.1605,343.3538,34.3619,79.4947,119.2442,276.5563,194.0605,121.2486,231.1771,147.7026,215.114,102.2443,170.4956,97.1777,139.1989,691.7069,173.3233,126.8888,513.5093,175.1328,213.6317,606.3604,373.0965,621.5605,559.0662,387.0094,415.0366,321.8505,1632.0088,195.733,386.1022,311.3675,542.7617
Mycgr3G63662,256.7007,212.9878,236.2641,333.4052,316.6602,305.6445,212.1586,255.8561,318.8711,350.9913,448.6883,274.7754,230.051,310.9619,421.506,376.1457,389.6513,369.5575,347.1527,466.5769,430.2931,367.9235,293.6389,383.3216,254.8824,252.5089,216.7074,87.5051,248.3072,350.8102,355.5064,288.0389,351.3763,256.2678,299.51,200.551,230.3622,313.3881,354.5356,267.2405,185.2936,325.3217,301.7951,224.0327,292.2563
Mycgr3G63665,145.3717,150.3443,168.7601,148.8661,155.1422,120.3697,90.2284,155.2715,144.5729,141.4188,234.6985,153.2021,111.093,252.6566,143.1746,181.2867,101.1769,58.7376,130.4518,105.1333,103.4953,119.4418,101.1976,129.0315,231.633,179.0518,281.5615,145.8418,158.5724,125.6448,90.6193,137.9251,95.0183,107.8285,209.1406,165.1596,59.2745,152.2171,118.5819,182.4207,97.3979,130.2637,195.4948,210.7426,56.7384
Mycgr3G63693,232.7788,181.3363,188.8677,145.436,142.3908,103.2583,90.2284,158.6894,66.2063,184.0148,331.339,96.8633,156.3167,159.7999,187.8451,76.5864,117.4374,156.6337,142.311,108.2029,124.8694,91.181,155.9438,138.0863,72.3315,61.9795,30.0543,12.5007,33.1896,21.1481,49.9568,23.0944,18.4935,58.8156,56.8036,97.3262,67.3574,23.8772,29.0405,72.0387,125.9046,49.9457,58.6484,28.4787,16.058
Mycgr3G63697,116.8494,150.3443,99.1017,112.5071,141.6824,118.5995,71.9388,135.2522,59.4505,115.8612,0.0,81.0489,137.6373,32.3919,56.1244,44.5946,151.7653,63.6324,127.7565,102.0637,107.9951,115.176,143.778,104.8853,105.914,74.9875,98.072,116.6735,38.1065,58.4684,88.2957,127.6609,124.9905,127.4337,160.0829,162.9477,111.8132,85.5599,58.0809,59.2577,71.2668,110.6904,86.7508,110.1178,49.2447
Mycgr3G63707,164.6933,158.2572,150.0888,166.0166,157.9759,102.6682,140.2197,151.8535,62.1528,49.4114,75.9319,20.7564,66.8524,64.7837,92.7771,68.8308,134.3002,95.4486,137.9986,97.4593,112.4949,102.9119,121.1053,101.4897,101.6085,86.4652,129.7081,89.5885,97.1102,72.1525,73.1925,85.9626,105.2216,43.4115,107.1523,118.7085,87.5646,93.519,81.0713,112.7058,38.0089,76.2684,135.6245,104.422,105.9831
Mycgr3G63728,224.4981,245.958,245.5998,277.8377,272.7386,276.1422,197.5269,297.8478,222.9396,282.8376,69.029,302.4506,344.0933,157.6404,292.0762,242.3619,313.1665,254.5297,222.6305,270.1235,260.9882,278.3421,232.8097,272.0225,232.4941,286.1768,170.8351,110.4231,202.8252,221.4334,316.0057,203.3593,265.2859,140.037,197.5217,176.9567,220.9322,236.7821,143.9923,139.4298,273.1892,282.8004,169.8361,230.6777,165.9331
