UniqueCount	AmbigCount
309	0
147	0
85	0
35	0
275	0
27	0
49	0
0	0
57	0
140	0
97	0
0	0
1006	0
0	0
34	0
63	0
141	0
74	0
134	0
7	0
33	0
246	0
11	0
12	0
47	0
0	0
1975	0
0	0
0	0
0	0
90	0
10	0
565	0
17	0
0	0
0	0
10	0
337	0
135	0
35	0
1219	0
0	0
52	0
242	0
430	0
0	0
45	0
0	0
1922	0
140	0
1141	0
192	0
9	0
36	0
24	0
97	0
57	0
0	0
269	0
108	0
1842	0
367	0
0	0
314	0
0	0
7	0
37	0
41	0
49	0
0	0
0	0
32	0
658	0
220	0
1266	0
597	0
31	0
62	0
0	0
169	0
5673	0
0	0
356	0
236	0
1454	0
74	0
32	0
291	0
502	3
29	0
276	0
0	0
345	0
50	0
29	0
0	0
0	0
20	0
9	0
5	0
0	0
0	0
149	0
446	0
116	0
315	0
87	0
3	0
19	0
498	0
1521	0
0	0
74	0
244	0
0	11906
30	0
15	0
17	0
0	0
0	0
21	0
55	0
2664	0
0	0
62	0
233	0
61	0
37	0
0	0
129	0
0	0
13	0
0	0
0	0
0	0
0	0
119	0
0	0
33	0
34	0
0	0
189	0
158	0
126	0
73	0
2359	0
414	0
29	0
959	0
61	0
1030	0
77	0
99	0
5103	0
219	0
1703	0
18	0
45	0
0	0
0	0
442	0
0	0
0	0
60	0
12	0
574	0
0	0
8527	0
29	0
68	0
0	0
54	0
118	0
22	0
67	0
5	0
17	0
86	0
13	0
289	0
41	0
546	0
431	0
82	0
240	0
58	0
37	0
9	0
63	0
147	0
291	0
2440	0
0	0
12	0
8	0
10	0
482	0
8	0
179	0
0	30
94	0
0	0
9	0
27	0
0	0
201	0
13	0
10	0
0	0
0	0
54	0
33	0
0	0
79	0
108	0
0	0
0	0
115	0
834	0
9	0
19	0
277	0
57	0
116	0
0	0
137	0
0	0
141	0
0	0
39	0
60	0
7	0
616	0
131	0
17	0
484	0
0	0
178	0
953	0
0	0
0	0
41	0
1022	0
41	0
0	0
117	0
26	0
0	0
0	0
539	0
0	0
0	0
10208	0
0	0
53	0
54	0
0	0
167	0
28	0
255	0
37	0
738	0
20	0
61	0
24	0
329	0
0	0
29	0
219	0
0	0
0	0
329	0
300	0
3	0
122	0
19	0
60	0
0	0
16	0
23	0
25	0
551	0
95	0
5	0
51	0
16	0
100	0
0	0
3	0
12	0
144	0
77	0
2009	0
56	0
157	0
8	0
83	0
36	0
118	0
8	0
37	0
106	0
28	0
729	0
0	0
0	0
41	0
45	0
1223	0
21	0
0	0
40	0
208	0
0	0
69	0
16	0
77	0
29	0
