cond,AOX_share_minimal,AOX_min_share_minimal,PO_minimal,AOX_share_rich,AOX_min_share_rich,PO_rich
15_0,0.0,0.0,1.282,0.0,0.0,1.225
15_2,0.139,0.0,0.39,0.346,0.0,0.367
21_0,0.0,0.0,1.155,0.0,0.0,1.038
21_2,0.245,0.0,0.27,0.583,0.0,0.236
27_0,0.038,0.0,0.504,0.424,0.0,0.431
27_2,0.422,0.0,0.071,0.716,0.0,0.068
