subsystem,15_0,15_2,21_0,21_2,27_0,27_2
,0.002697631756101926,0.6974355967734489,0.0038271524404795976,2.3178240441947895,0.38901026045294296,6.510805955776343
Citrate cycle (TCA cycle),4.008114250999939,2.79364211974552,6.859914427436808,5.489061247669512,5.376958110697025,9.577996622113425
Exchange reaction,7.506690495497237,8.088470989162264,10.669377207536229,15.01638171862454,16.449612858629294,23.921646924133846
Glutathione metabolism,0.004839959159370502,2.738438655546307,0.36598932298454356,5.067988781709982,5.585263340982508,8.029495355263625
"Glycine, serine and threonine metabolism",0.6625533823613585,0.4061506155601233,1.0409783816320337,0.7703456299092408,0.8095728700302235,1.2721492140099904
Glycolysis / gluconeogenesis,10.944346834678553,4.478810010796118,8.48196362079932,8.23571175343881,9.188376204662667,12.901384959823192
Growth,3.215577502895111,1.4148622487345865,4.558916648373811,2.092331231455934,3.4151201823287876,1.8609347323750975
Lysine metabolism,0.604786304606207,0.3609610595814139,0.8953685978327048,0.7035174946864027,0.7004954400746974,1.2127117807456027
Oxidative phosphorylation,20.18174120538991,9.511797520941261,31.679889843600073,13.686205661785497,23.341493065225947,10.858125212539687
Pentose phosphate pathway,1.2039969831915123,7.368787611143313,2.599170858444387,13.442940492122265,15.224803934549586,20.761222270963316
Purine metabolism,2.462887359012821,1.1376041811231108,3.8855166211927967,1.5974547684560276,2.8312745541497875,1.1272888966988883
Pyruvate metabolism,0.16339930216610027,0.037931733739999716,0.82619385427103,0.05609471482075578,0.09155825322029788,0.04989105049076905
Starch and sucrose metabolism,0.4626066298468711,0.2953955267379614,0.5324815757642919,0.5216979120096682,0.6276238172323041,0.7575010289456295
"Transport [c, e]",8.283326428379928,8.61520993436382,11.527953132794934,15.965055381085541,17.550254204764045,25.35240239729729
"Transport [c, m]",16.080266648705553,8.42156287793913,25.338469409920812,13.811762001577591,18.961338485438162,16.980267671153076
Vitamin b6 metabolism,0.0,2.7336577829730997,0.3505854092417338,5.060919099964663,5.573724148506658,8.023207528503608
