cond,mu_pred,mu_obs,error_fold,n_binding_caps,binding_examples
15_0,0.07600634946023448,0.0368758887946687,2.0611394584534874,1,r_0226
15_2,0.09532838140112941,0.016225484503837,5.875225567445223,1,r_0226
21_0,0.052281154564670564,0.0522811542244703,1.00000000650713,1,r_0226
21_2,0.056343860135101384,0.0239946242139442,2.3481868118758786,1,r_0226
27_0,0.050128756818176294,0.0391642222744127,1.2799630353167282,0,
27_2,0.036321112839627856,0.0213409946373291,1.7019409571518251,0,
