temp_C,growth
5.0,0.08740108544450832
6.0,0.0972019038503065
7.0,0.1073314667996065
8.0,0.11768508255501646
9.0,0.1281458543280123
10.0,0.13858693220289148
11.0,0.1488741982553189
12.0,0.15886929994018653
13.0,0.16843319253225678
14.0,0.1774295278492575
15.0,0.18572877030273446
16.0,0.19320725199438094
17.0,0.19975523473647142
18.0,0.205278021770742
19.0,0.20969824352976255
20.0,0.21295737130816872
21.0,0.21505968190651475
22.0,0.21602428718133124
23.0,0.21578206447194062
24.0,0.2143475380708796
25.0,0.21175947725637084
26.0,0.20807656229249522
27.0,0.20337380144567824
28.0,0.1977449726478966
29.0,0.19128083208848462
30.0,0.1840685212730872
31.0,0.1761937285341888
32.0,0.1676950340949783
33.0,0.15843278108848302
34.0,0.1474752158397619
35.0,0.128533014632565
36.0,0.04826710795628971
37.0,0.0007526328802488456
38.0,1.524769716076295e-05
39.0,8.5213928423253e-06
40.0,6.249519560257559e-06
41.0,4.182743160222417e-06
42.0,2.275689054594516e-06
43.0,1.2431385766241226e-06
44.0,0.0
45.0,0.0
