temp_C,growth
5.0,0.0012699349097747756
6.0,0.0014592933900712637
7.0,0.0016651968690163678
8.0,0.0018868337256945206
9.0,0.0021231887943026473
10.0,0.0023728579561908803
11.0,0.0026340473335172546
12.0,0.0029045249546913025
13.0,0.0031818779591689735
14.0,0.0034632078672521445
15.0,0.0037454010875280345
16.0,0.0040251340262709686
17.0,0.004298941464826502
18.0,0.004563291952023456
19.0,0.004814667771927373
20.0,0.005049646809653518
21.0,0.00526498352173829
22.0,0.005457686228934774
23.0,0.005625088086972728
24.0,0.005764909346555139
25.0,0.005875308872849498
26.0,0.005954923336884833
27.0,0.006002892992506792
28.0,0.0060188734865079686
29.0,0.006003033689140821
30.0,0.00595604005133417
31.0,0.0058790284698989805
32.0,0.005773565052781107
33.0,0.005641597507545323
34.0,0.005485399117404414
35.0,0.005307507415199887
