cond,,AOX_share,PO,glut_flux,CUE
15_0,0.025,0.0,1.0294,0.0044,0.2975
15_0,0.5,0.0,1.2822,0.005,0.3782
15_0,0.975,0.0,1.2861,0.6101,0.4432
15_2,0.025,0.0,0.1483,1.2187,0.1395
15_2,0.5,0.1348,0.3945,2.6914,0.2035
15_2,0.975,0.3528,0.7648,4.2972,0.2979
21_0,0.025,0.0,0.7704,0.0066,0.3212
21_0,0.5,0.0,1.1219,0.5287,0.3826
21_0,0.975,0.0,1.2825,2.7041,0.4313
21_2,0.025,0.0197,0.1164,3.6501,0.1157
21_2,0.5,0.2414,0.2757,4.8867,0.1679
21_2,0.975,0.3803,0.5256,6.7041,0.2234
27_0,0.025,0.0,0.3242,3.3176,0.1864
27_0,0.5,0.0467,0.4957,5.634,0.2305
27_0,0.975,0.1952,0.7172,7.0347,0.2795
27_2,0.025,0.3018,-0.0,6.0837,0.0645
27_2,0.5,0.4227,0.0685,8.1474,0.0986
27_2,0.975,0.4734,0.2086,12.4131,0.1417
