T_C,mu,EC50_obs,sigma_fit,EC50_pred
15.0,0.0368758887946687,1.1216198870402725,2283.236584729547,1.5315914778132182
18.0,0.0460221219248238,3.419863463170839,2225.4540648364073,1.492822565260222
21.0,0.0522811542244703,2.042922082464762,2373.538524171109,1.5921791434264578
24.0,0.0628786503924659,1.40364567911142,2381.8329898856896,1.5977442765594034
26.0,0.0501313605128722,1.8480735387139289,3379.4317516797373,2.2670785186536597
27.0,0.0391642222744127,4.997360186623364,4597.9625728110395,3.0846460967886373
28.0,0.039601428755438,2.659228726638492,4831.364981733461,3.2412463557926823
