temp_C,growth
5.0,0.05511467032203419
6.0,0.06290462505599069
7.0,0.07126772289153163
8.0,0.08015800734836334
9.0,0.08951445805000846
10.0,0.09926113407176128
11.0,0.10930791533596362
12.0,0.11955175117737527
13.0,0.1298783980551585
14.0,0.14016460596598668
15.0,0.1502806919110869
16.0,0.16009341999548027
17.0,0.1694695817613184
18.0,0.17827857545231873
19.0,0.1863964717499093
20.0,0.19370549737352116
21.0,0.2001013675349689
22.0,0.20549411857275185
23.0,0.20981032095554375
24.0,0.2129943789081806
25.0,0.21505540858418531
26.0,0.21600404647029797
27.0,0.21577621885189863
28.0,0.21438377053572208
29.0,0.21185935764381233
30.0,0.20824772733973188
31.0,0.2035893804995706
32.0,0.19788557980908134
33.0,0.19091308024882786
34.0,0.18147138946388758
35.0,0.1616807561019467
36.0,0.06283678855646878
37.0,0.0010133462715255675
38.0,1.5475677573540488e-05
39.0,8.375614895818084e-06
40.0,6.257104280494371e-06
41.0,4.070706114466375e-06
42.0,2.3448577861069864e-06
43.0,1.219740921047652e-06
44.0,0.0
45.0,0.0
