setting,CAP,r_heldout,mu_15_0,mu_15_2,mu_21_0,mu_21_2,mu_27_0,mu_27_2
default,235.12623939756304,-0.22143799557110433,0.07600634946023448,0.09532838140112941,0.052281154564670564,0.056343860135101384,0.050128756818176294,0.036321112839627856
pct90,115.73781563062221,-0.1016772848406919,0.07599537036220395,0.08533106002280093,0.05228115550240167,0.045675462122415224,0.042905661861890015,0.029482374077475924
pct99,533.9287369688973,-0.2896063437224281,0.07640786634953592,0.10387665587949373,0.05228115453219247,0.06001296859304754,0.054720371921795345,0.04030291912958938
clip1.2,235.12623939756304,-0.22143799557110433,0.07600634946023448,0.09532838140112941,0.052281154564670564,0.056343860135101384,0.050128756818176294,0.036321112839627856
log-expr,15.972547692246735,0.20950124471631454,0.056630331437020356,0.0562548183096815,0.0522811473510694,0.048660031603449866,0.05239564514588499,0.048561466797567725
