cond,cyp51_fraction,mu,rel_growth
15_0,1.0,3.1714977017404085,0.9999999999999093
15_0,0.5,1.585748850870205,0.49999999999995487
15_0,0.2,0.634299540348082,0.19999999999998194
15_0,0.1,0.317149770174041,0.09999999999999097
15_0,0.05,0.1585748850870205,0.049999999999995486
15_0,0.02,0.0634299540348082,0.019999999999998193
27_0,1.0,9.147438969060042,0.999999999999789
27_0,0.5,4.573719484530024,0.49999999999989475
27_0,0.2,1.8294877938120098,0.19999999999995793
27_0,0.1,0.9147438969060049,0.09999999999997897
27_0,0.05,0.45737194845300244,0.04999999999998948
27_0,0.02,0.18294877938120097,0.019999999999995792
