temp_C,growth
5.0,0.07092429121738357
6.0,0.07985551475646349
7.0,0.08925695218800321
8.0,0.09905072330430172
9.0,0.10914464207054621
10.0,0.11943360539385006
11.0,0.12980154554122117
12.0,0.14012355581928324
13.0,0.15026876508288495
14.0,0.16010321780686468
15.0,0.16949349438374742
16.0,0.1783093732586471
17.0,0.18642812253194035
18.0,0.19373302085114866
19.0,0.20012135372269585
20.0,0.20550487826207584
21.0,0.2098118881698405
22.0,0.2129884116724725
23.0,0.21504414682879475
24.0,0.2159940707322138
25.0,0.21577225301940836
26.0,0.21439331111847879
27.0,0.21189267313705246
28.0,0.20832372783485129
29.0,0.2037526065851029
30.0,0.1982598246430028
31.0,0.19190471828477
32.0,0.1846928280977459
33.0,0.17644280168798548
34.0,0.16608265673102368
35.0,0.1464434016614007
36.0,0.05582368524111
37.0,0.0008829799183376712
38.0,1.5325293108917352e-05
39.0,8.26325820129169e-06
40.0,6.115861704613318e-06
41.0,4.308759677286673e-06
42.0,2.4501659451100485e-06
43.0,1.3090135929930943e-06
44.0,0.0
45.0,0.0
