module,n,drug_meanLFC_15C,drug_nsig_15C,drug_meanLFC_21C,drug_nsig_21C,drug_meanLFC_27C,drug_nsig_27C,heat_meanLFC_27v15
Ribosome,117,-1.2273578821725555,111,-1.1866382344786928,110,-0.3707968213893979,66,-0.5007663522418573
Ribosome biogenesis,70,-1.0455527117504466,49,-0.6721860645991928,47,-0.18047669189095714,13,-0.5564133319192821
OXPHOS,84,-0.5512647314373427,57,-0.48309774694804314,65,-0.0927831361584991,14,0.005270637563084978
TCA,33,-0.5880961462815362,24,-0.4248929957599566,26,-0.14666516334364468,6,-0.07958011696352782
Glutathione,67,0.29925928658700407,37,0.48960787676138146,40,-0.02615820796836724,9,0.5900270461455747
ABC transporters,14,0.6780143599267479,7,0.6634692592781404,6,0.5703002777188406,3,-0.31753886074520254
Xenobiotic P450,36,0.6144281883337853,23,0.8309213735499973,26,0.0726764383659438,4,0.5549122404921931
Ergosterol,24,0.042708266992510346,12,-0.08410762366204784,13,0.01656635037256533,3,-0.12446427322627025
FA biosynthesis,14,0.285339656346695,11,0.3496058083397102,10,0.07846051171554033,2,0.5979941465407066
FA elongation,11,-0.02368543836795139,6,-0.09852448302503308,7,-0.08504670512023652,3,0.21801543664965176
Unsat. FA biosynthesis,20,0.2386858592604642,13,0.31475650191893123,12,0.02740462070250902,5,0.48841469650622094
FA degradation,36,0.6283197884596617,24,0.5831819231539592,21,0.10746885548670634,5,0.29552383408466604
Glycerophospholipid,46,0.02865501801424184,24,-0.051840753930955115,26,0.019781450970369343,6,-0.08373529695635244
Glycerolipid,40,0.34281453404649675,24,0.38546341670568157,23,0.11123485913376277,4,-0.017235521748665612
Ether lipid,13,-0.0405295813431464,9,-0.4442634331408159,8,0.08946084972847591,4,-0.3501128096571673
Sphingolipid,24,0.19949755178698866,15,0.24417131498599734,14,0.03676714969164754,2,-0.042401046456835824
GPI anchor,23,-0.1803916904657865,9,-0.42774116811622404,10,-0.08737529726419153,4,-0.08444004790979402
Peroxisome,73,0.33973330438861854,42,0.3919632147536724,41,0.10631622592761192,11,0.20566382048886933
Starch/sucrose (storage),60,0.02360983675754115,31,0.10284272671770874,30,0.0690986068716972,12,-0.160529175838746
