cond,T,dose,growth,respiration,CUE
15_0,15,0,0.0368758887946687,0.0435090444790822,0.4587413000529323
15_2,15,2,0.016225484503837016,0.06261261438675729,0.20580765812673318
21_0,21,0,0.0522811542244703,0.0758333953839491,0.4080813177290716
21_2,21,2,0.023994624213944268,0.11807434337389712,0.16889419710260348
27_0,27,0,0.0391642222744127,0.125491602518299,0.23785506722107935
27_2,27,2,0.0213409946373291,0.19314662334755922,0.09949755998890657
