module,n_genes,trait,pearson_r,pearson_p,spearman_rho,spearman_p
Ribosome,117,growth,0.9304888241820464,0.007079773171878277,0.8857142857142858,0.01884548104956266
Ribosome,117,respiration,-0.42311410498624635,0.40320295931915634,-0.14285714285714288,0.7871720116618076
Ribosome,117,CUE,0.8857199750374323,0.018843641931777903,0.7142857142857143,0.11078717201166179
Ribosome biogenesis,70,growth,0.7848414342472244,0.06445962246166154,0.7714285714285715,0.07239650145772594
Ribosome biogenesis,70,respiration,-0.5497251833167229,0.2584750892519737,-0.2571428571428572,0.6227871720116619
Ribosome biogenesis,70,CUE,0.9399794555465709,0.0052955876566895405,0.7714285714285715,0.07239650145772594
OXPHOS,84,growth,0.9614828017197954,0.0021967902772247585,0.942857142857143,0.004804664723032055
OXPHOS,84,respiration,-0.11001516926882232,0.8356430214569651,0.08571428571428573,0.8717434402332361
OXPHOS,84,CUE,0.6442540439939571,0.16732203014612582,0.6,0.208
TCA,33,growth,0.957751005074632,0.0026397596041107096,0.8857142857142858,0.01884548104956266
TCA,33,respiration,-0.24604958171302188,0.6383735970680756,-0.14285714285714288,0.7871720116618076
TCA,33,CUE,0.7748417960757529,0.07033699063199947,0.7142857142857143,0.11078717201166179
AOX,1,growth,-0.8340252843511468,0.03903530629626966,-0.7714285714285715,0.07239650145772594
AOX,1,respiration,0.7133315816468763,0.1114891423809376,0.6,0.208
AOX,1,CUE,-0.982523741931033,0.000455460598299375,-0.942857142857143,0.004804664723032055
Glutathione,67,growth,-0.48925346131185043,0.3246758515458663,-0.14285714285714288,0.7871720116618076
Glutathione,67,respiration,0.7795720883653011,0.06752756949183447,0.8857142857142858,0.01884548104956266
Glutathione,67,CUE,-0.8697920808563193,0.024327374126882205,-0.6571428571428573,0.1561749271137024
ABC transporters,14,growth,-0.8966350374592155,0.01547428128684992,-0.8857142857142858,0.01884548104956266
ABC transporters,14,respiration,-0.021419895019904673,0.9678750713215374,-0.2,0.7040000000000001
ABC transporters,14,CUE,-0.48948144327672494,0.32441577445359515,-0.5428571428571429,0.26570262390670546
Xenobiotic P450,36,growth,-0.8270008754407913,0.04230422644878116,-0.6571428571428573,0.1561749271137024
