T,Dose,Replicate,fit_start,fit_end,smooth_h
15,Control,R1,604.3,4047.4,0
15,Control,R2,580.8,3998.7,0
15,Control,R3,624.4,4042.4,0
15,0.0125,R1,428.7,4052.5,0
15,0.0125,R2,568.2,4044.8,0
15,0.0125,R3,614.4,4047.4,0
15,0.025,R1,537.8,4029.6,0
15,0.025,R2,559.2,3876.8,0
15,0.025,R3,674.7,4044.8,0
15,0.05,R1,825.2,4027.4,0
15,0.05,R2,744.9,4037.4,0
15,0.05,R3,709.7,4022.2,0
15,0.1,R1,423.6,4099.3,0
15,0.1,R2,573.8,3942,0
15,0.1,R3,624.4,4042.4,0
15,0.2,R1,438.7,4111.3,0
15,0.2,R2,569.5,3920.1,0
15,0.2,R3,562.9,3971.3,0
15,0.35,R1,493.9,4111.3,0
15,0.35,R2,609.3,4027.2,0
15,0.35,R3,657.6,4013.7,0
27,Control,R1,373,2722.8,12
27,Control,R2,365,3265.1,12
27,Control,R3,370,2952.3,12
27,0.0125,R1,372,2771.4,12
27,0.0125,R2,375,2992.4,12
27,0.0125,R3,375,3486.1,12
27,0.025,R1,376,2618.3,12
27,0.025,R2,381.1,2762.1,12
27,0.025,R3,377,2892.9,12
27,0.05,R1,375,2737.6,12
27,0.05,R2,381.1,3040.3,12
27,0.05,R3,378,2983.9,12
27,0.1,R1,375,2758.6,4
27,0.1,R2,399.1,2731,4
27,0.1,R3,374,2711.9,4
27,0.2,R1,375,2413.9,12
27,0.2,R2,376,2517.9,12
27,0.2,R3,371,2373.3,12
27,0.35,R1,373,2357.6,12
27,0.35,R2,373,3346.5,12
27,0.35,R3,361,3749.6,12
