"File","Time","T","Dose","Replicate","Oxygen"
"sham_15_Oxygen.csv",99.22,15,"Control","R1",12.05
"sham_15_Oxygen.csv",100.23,15,"Control","R1",12.07
"sham_15_Oxygen.csv",101.23,15,"Control","R1",12.05
"sham_15_Oxygen.csv",102.23,15,"Control","R1",12.07
"sham_15_Oxygen.csv",103.23,15,"Control","R1",12.07
"sham_15_Oxygen.csv",104.23,15,"Control","R1",12.07
"sham_15_Oxygen.csv",105.23,15,"Control","R1",12.07
"sham_15_Oxygen.csv",106.23,15,"Control","R1",12.05
"sham_15_Oxygen.csv",107.23,15,"Control","R1",12.05
"sham_15_Oxygen.csv",108.23,15,"Control","R1",12.05
"sham_15_Oxygen.csv",109.25,15,"Control","R1",12.03
"sham_15_Oxygen.csv",110.25,15,"Control","R1",12.03
"sham_15_Oxygen.csv",111.27,15,"Control","R1",12.03
"sham_15_Oxygen.csv",112.27,15,"Control","R1",12.05
"sham_15_Oxygen.csv",113.27,15,"Control","R1",12.07
"sham_15_Oxygen.csv",114.27,15,"Control","R1",12.03
"sham_15_Oxygen.csv",115.27,15,"Control","R1",12.03
"sham_15_Oxygen.csv",116.27,15,"Control","R1",12.03
"sham_15_Oxygen.csv",117.28,15,"Control","R1",12.03
"sham_15_Oxygen.csv",118.28,15,"Control","R1",12.03
"sham_15_Oxygen.csv",119.28,15,"Control","R1",12.03
"sham_15_Oxygen.csv",120.28,15,"Control","R1",12.05
"sham_15_Oxygen.csv",121.28,15,"Control","R1",12.02
"sham_15_Oxygen.csv",122.28,15,"Control","R1",12.03
"sham_15_Oxygen.csv",123.28,15,"Control","R1",12.02
"sham_15_Oxygen.csv",124.3,15,"Control","R1",12
"sham_15_Oxygen.csv",125.3,15,"Control","R1",12.02
"sham_15_Oxygen.csv",126.3,15,"Control","R1",12.05
"sham_15_Oxygen.csv",127.3,15,"Control","R1",12.02
"sham_15_Oxygen.csv",128.3,15,"Control","R1",12.02
"sham_15_Oxygen.csv",129.32,15,"Control","R1",12
"sham_15_Oxygen.csv",130.32,15,"Control","R1",12
"sham_15_Oxygen.csv",131.32,15,"Control","R1",12.02
"sham_15_Oxygen.csv",132.32,15,"Control","R1",11.98
"sham_15_Oxygen.csv",133.32,15,"Control","R1",12
"sham_15_Oxygen.csv",134.32,15,"Control","R1",12.02
"sham_15_Oxygen.csv",135.33,15,"Control","R1",12
"sham_15_Oxygen.csv",136.33,15,"Control","R1",12
"sham_15_Oxygen.csv",137.33,15,"Control","R1",11.98
"sham_15_Oxygen.csv",138.33,15,"Control","R1",11.98
"sham_15_Oxygen.csv",139.33,15,"Control","R1",11.98
"sham_15_Oxygen.csv",140.33,15,"Control","R1",12.02
"sham_15_Oxygen.csv",141.33,15,"Control","R1",12
"sham_15_Oxygen.csv",142.33,15,"Control","R1",11.98
"sham_15_Oxygen.csv",143.33,15,"Control","R1",11.98
"sham_15_Oxygen.csv",144.35,15,"Control","R1",11.97
"sham_15_Oxygen.csv",145.35,15,"Control","R1",11.98
"sham_15_Oxygen.csv",146.37,15,"Control","R1",12
"sham_15_Oxygen.csv",147.37,15,"Control","R1",11.98
"sham_15_Oxygen.csv",148.37,15,"Control","R1",12
"sham_15_Oxygen.csv",149.37,15,"Control","R1",11.98
"sham_15_Oxygen.csv",150.37,15,"Control","R1",11.97
"sham_15_Oxygen.csv",151.38,15,"Control","R1",11.97
"sham_15_Oxygen.csv",152.38,15,"Control","R1",11.95
"sham_15_Oxygen.csv",153.38,15,"Control","R1",11.98
"sham_15_Oxygen.csv",154.38,15,"Control","R1",11.98
"sham_15_Oxygen.csv",155.38,15,"Control","R1",11.98
"sham_15_Oxygen.csv",156.38,15,"Control","R1",11.97
"sham_15_Oxygen.csv",157.38,15,"Control","R1",11.98
"sham_15_Oxygen.csv",158.38,15,"Control","R1",11.98
"sham_15_Oxygen.csv",159.38,15,"Control","R1",11.98
"sham_15_Oxygen.csv",160.38,15,"Control","R1",11.97
"sham_15_Oxygen.csv",161.38,15,"Control","R1",11.97
"sham_15_Oxygen.csv",162.38,15,"Control","R1",11.97
"sham_15_Oxygen.csv",163.4,15,"Control","R1",11.97
"sham_15_Oxygen.csv",164.4,15,"Control","R1",11.98
"sham_15_Oxygen.csv",165.4,15,"Control","R1",11.97
"sham_15_Oxygen.csv",166.4,15,"Control","R1",11.93
"sham_15_Oxygen.csv",167.4,15,"Control","R1",11.97
"sham_15_Oxygen.csv",168.4,15,"Control","R1",11.97
"sham_15_Oxygen.csv",169.4,15,"Control","R1",11.95
"sham_15_Oxygen.csv",170.4,15,"Control","R1",11.95
"sham_15_Oxygen.csv",171.4,15,"Control","R1",11.97
"sham_15_Oxygen.csv",172.42,15,"Control","R1",11.95
"sham_15_Oxygen.csv",173.42,15,"Control","R1",11.95
"sham_15_Oxygen.csv",174.42,15,"Control","R1",11.93
"sham_15_Oxygen.csv",175.42,15,"Control","R1",11.95
"sham_15_Oxygen.csv",176.42,15,"Control","R1",11.95
"sham_15_Oxygen.csv",177.43,15,"Control","R1",11.95
"sham_15_Oxygen.csv",178.43,15,"Control","R1",11.98
"sham_15_Oxygen.csv",179.43,15,"Control","R1",11.93
"sham_15_Oxygen.csv",180.43,15,"Control","R1",11.93
"sham_15_Oxygen.csv",181.43,15,"Control","R1",11.92
"sham_15_Oxygen.csv",182.45,15,"Control","R1",11.93
"sham_15_Oxygen.csv",183.45,15,"Control","R1",11.92
"sham_15_Oxygen.csv",184.45,15,"Control","R1",11.95
"sham_15_Oxygen.csv",185.45,15,"Control","R1",11.93
"sham_15_Oxygen.csv",186.47,15,"Control","R1",11.95
"sham_15_Oxygen.csv",187.47,15,"Control","R1",11.93
"sham_15_Oxygen.csv",188.47,15,"Control","R1",11.92
"sham_15_Oxygen.csv",189.47,15,"Control","R1",11.92
"sham_15_Oxygen.csv",190.47,15,"Control","R1",11.92
"sham_15_Oxygen.csv",191.48,15,"Control","R1",11.93
"sham_15_Oxygen.csv",192.48,15,"Control","R1",11.95
"sham_15_Oxygen.csv",193.48,15,"Control","R1",11.95
"sham_15_Oxygen.csv",194.48,15,"Control","R1",11.93
"sham_15_Oxygen.csv",195.48,15,"Control","R1",11.92
"sham_15_Oxygen.csv",196.5,15,"Control","R1",11.92
"sham_15_Oxygen.csv",197.52,15,"Control","R1",11.92
"sham_15_Oxygen.csv",198.52,15,"Control","R1",11.93
"sham_15_Oxygen.csv",199.52,15,"Control","R1",11.93
